Rank,Player,SACK,INT,FR,FF,DEF TD,SFTY,SPC TD,G,FPTS,FPTS/G,ROST,Team,Week,Year
1,Buffalo Bills,2,2,2,0,1,0,0,1,17.0,17.0,51.7%,BUF,5,2021
2,Tennessee Titans,2,1,1,1,1,0,0,1,13.0,13.0,1.1%,TEN,5,2021
3,Philadelphia Eagles,3,3,0,0,0,0,0,1,12.0,12.0,43.3%,PHI,5,2021
4,Dallas Cowboys,0,2,0,0,1,0,0,1,11.0,11.0,98.7%,DAL,5,2021
5,Minnesota Vikings,4,1,1,1,0,0,0,1,9.0,9.0,33.7%,MIN,5,2021
6,Chicago Bears,3,1,0,0,0,0,0,1,9.0,9.0,46.1%,CHI,5,2021
7,Arizona Cardinals,2,1,0,0,0,0,0,1,8.0,8.0,0.4%,ARI,5,2021
8,Tampa Bay Buccaneers,3,1,1,1,0,0,0,1,8.0,8.0,6.5%,TB,5,2021
9,Carolina Panthers,2,1,1,1,0,1,0,1,8.0,8.0,1.0%,CAR,5,2021
10,Los Angeles Rams,2,2,0,0,0,0,0,1,7.0,7.0,1.4%,LAR,5,2021
11,Detroit Lions,2,1,1,1,0,0,0,1,7.0,7.0,40.6%,DET,5,2021
12,Green Bay Packers,3,2,0,0,0,0,0,1,7.0,7.0,10.2%,GB,5,2021
13,Baltimore Ravens,2,0,1,1,0,0,0,1,6.0,6.0,97.7%,BAL,5,2021
14,New Orleans Saints,2,2,0,0,0,0,0,1,6.0,6.0,64.3%,NO,5,2021
15,San Francisco 49ers,2,0,1,1,0,0,0,1,5.0,5.0,99.0%,SF,5,2021
16,Pittsburgh Steelers,2,1,0,0,0,0,0,1,5.0,5.0,91.3%,PIT,5,2021
17,New England Patriots,3,0,1,1,0,0,0,1,5.0,5.0,2.9%,NE,5,2021
18,Washington Commanders,2,1,1,1,0,0,0,1,5.0,5.0,1.0%,WAS,5,2021
19,Atlanta Falcons,2,1,0,1,0,0,0,1,5.0,5.0,11.4%,ATL,5,2021
20,Houston Texans,1,1,1,1,0,0,0,1,5.0,5.0,36.0%,HOU,5,2021
21,New York Jets,0,0,2,3,0,0,0,1,4.0,4.0,94.9%,NYJ,5,2021
22,Cincinnati Bengals,2,1,0,0,0,0,0,1,4.0,4.0,58.3%,CIN,5,2021
23,Las Vegas Raiders,2,0,0,0,0,0,0,1,3.0,3.0,6.5%,LV,5,2021
24,Indianapolis Colts,2,0,1,1,0,0,0,1,3.0,3.0,6.9%,IND,5,2021
25,Seattle Seahawks,1,1,0,0,0,0,0,1,3.0,3.0,32.1%,SEA,5,2021
26,Denver Broncos,1,0,1,1,0,0,0,1,3.0,3.0,7.8%,DEN,5,2021
27,New York Giants,2,1,1,1,0,0,0,1,2.0,2.0,3.3%,NYG,5,2021
28,Jacksonville Jaguars,3,0,0,0,0,0,0,1,2.0,2.0,19.9%,JAC,5,2021
29,Cleveland Browns,2,0,1,2,0,0,0,1,0.0,0.0,97.8%,CLE,5,2021
30,Kansas City Chiefs,0,0,0,0,0,0,0,1,-1.0,-1.0,79.3%,KC,5,2021
31,Miami Dolphins,2,0,0,0,0,0,0,1,-2.0,-2.0,77.9%,MIA,5,2021
32,Los Angeles Chargers,1,0,0,1,0,0,0,1,-3.0,-3.0,9.6%,LAC,5,2021
