Rank,Player,SACK,INT,FR,FF,DEF TD,SFTY,SPC TD,G,FPTS,FPTS/G,ROST,Team,Week,Year
1,Miami Dolphins,2,1,2,0,2,0,0,1,20.0,20.0,77.9%,MIA,18,2021
2,Washington Commanders,3,2,1,0,1,0,0,1,19.0,19.0,1.0%,WAS,18,2021
3,Minnesota Vikings,7,2,0,0,1,0,0,1,18.0,18.0,33.7%,MIN,18,2021
4,Buffalo Bills,9,0,0,1,0,0,0,1,15.0,15.0,51.7%,BUF,18,2021
5,Jacksonville Jaguars,6,1,1,2,0,0,0,1,14.0,14.0,19.9%,JAC,18,2021
6,Pittsburgh Steelers,3,2,1,1,0,0,0,1,13.0,13.0,91.3%,PIT,18,2021
7,Cincinnati Bengals,1,1,1,1,1,0,0,1,11.0,11.0,58.3%,CIN,18,2021
8,New Orleans Saints,3,1,2,3,0,0,0,1,10.0,10.0,64.3%,NO,18,2021
9,Kansas City Chiefs,1,0,1,1,1,0,0,1,9.0,9.0,79.3%,KC,18,2021
10,San Francisco 49ers,5,2,0,0,0,0,0,1,9.0,9.0,99.0%,SF,18,2021
11,Detroit Lions,4,2,1,2,0,0,0,1,9.0,9.0,40.6%,DET,18,2021
12,Cleveland Browns,4,0,0,1,0,0,0,1,8.0,8.0,97.8%,CLE,18,2021
13,Tampa Bay Buccaneers,2,1,1,1,0,0,0,1,7.0,7.0,6.5%,TB,18,2021
14,Los Angeles Rams,3,2,0,1,0,0,0,1,7.0,7.0,1.4%,LAR,18,2021
15,Seattle Seahawks,5,0,1,1,0,0,0,1,7.0,7.0,32.1%,SEA,18,2021
16,Arizona Cardinals,1,1,1,1,1,0,0,1,7.0,7.0,0.4%,ARI,18,2021
17,Las Vegas Raiders,3,1,1,0,0,0,0,1,6.0,6.0,6.5%,LV,18,2021
18,Dallas Cowboys,3,1,0,0,0,0,0,1,5.0,5.0,98.7%,DAL,18,2021
19,New York Giants,3,0,0,0,0,0,0,1,4.0,4.0,3.3%,NYG,18,2021
20,Baltimore Ravens,1,1,0,0,0,0,0,1,4.0,4.0,97.7%,BAL,18,2021
21,Chicago Bears,3,0,0,1,0,0,0,1,3.0,3.0,46.1%,CHI,18,2021
22,Tennessee Titans,2,0,0,0,0,0,0,1,2.0,2.0,1.1%,TEN,18,2021
23,Indianapolis Colts,1,0,0,0,0,0,0,1,1.0,1.0,6.9%,IND,18,2021
24,New England Patriots,1,0,0,0,0,0,0,1,1.0,1.0,2.9%,NE,18,2021
25,Denver Broncos,1,0,0,0,0,0,0,1,1.0,1.0,7.8%,DEN,18,2021
26,Atlanta Falcons,1,0,0,0,0,0,0,1,0.0,0.0,11.4%,ATL,18,2021
27,Houston Texans,1,0,0,0,0,0,0,1,0.0,0.0,36.0%,HOU,18,2021
28,New York Jets,0,0,0,1,0,0,0,1,0.0,0.0,94.9%,NYJ,18,2021
29,Los Angeles Chargers,3,0,0,2,0,0,0,1,-1.0,-1.0,9.6%,LAC,18,2021
30,Philadelphia Eagles,1,0,0,0,0,0,0,1,-3.0,-3.0,43.3%,PHI,18,2021
31,Green Bay Packers,1,0,0,0,0,0,0,1,-3.0,-3.0,10.2%,GB,18,2021
32,Carolina Panthers,1,0,0,0,0,0,0,1,-3.0,-3.0,1.0%,CAR,18,2021
