Rank,Player,SACK,INT,FR,FF,DEF TD,SFTY,SPC TD,G,FPTS,FPTS/G,ROST,Team,Week,Year
1,Kansas City Chiefs,4,1,4,4,1,0,0,1,24.0,24.0,79.3%,KC,14,2021
2,Dallas Cowboys,5,1,3,3,1,0,0,1,22.0,22.0,98.7%,DAL,14,2021
3,Tennessee Titans,3,4,0,0,0,0,0,1,21.0,21.0,1.1%,TEN,14,2021
4,Washington Commanders,4,2,0,0,1,0,0,1,14.0,14.0,1.0%,WAS,14,2021
5,Cleveland Browns,4,0,2,2,1,0,0,1,14.0,14.0,97.8%,CLE,14,2021
6,Atlanta Falcons,1,2,1,0,1,0,0,1,13.0,13.0,11.4%,ATL,14,2021
7,Green Bay Packers,2,2,1,1,1,0,0,1,13.0,13.0,10.2%,GB,14,2021
8,Denver Broncos,2,1,1,1,0,0,0,1,10.0,10.0,7.8%,DEN,14,2021
9,San Francisco 49ers,5,0,2,1,0,0,0,1,9.0,9.0,99.0%,SF,14,2021
10,Los Angeles Rams,4,2,0,0,0,0,0,1,8.0,8.0,1.4%,LAR,14,2021
11,New Orleans Saints,3,0,0,0,0,0,0,1,7.0,7.0,64.3%,NO,14,2021
12,Seattle Seahawks,2,0,0,0,0,0,0,1,6.0,6.0,32.1%,SEA,14,2021
13,Minnesota Vikings,5,1,0,1,0,0,0,1,6.0,6.0,33.7%,MIN,14,2021
14,Los Angeles Chargers,2,1,1,1,0,0,0,1,6.0,6.0,9.6%,LAC,14,2021
15,Cincinnati Bengals,5,0,0,1,0,0,0,1,5.0,5.0,58.3%,CIN,14,2021
16,Chicago Bears,3,0,0,0,0,0,1,1,5.0,5.0,46.1%,CHI,14,2021
17,Jacksonville Jaguars,4,0,0,0,0,0,0,1,5.0,5.0,19.9%,JAC,14,2021
18,Tampa Bay Buccaneers,3,1,0,0,0,0,0,1,5.0,5.0,6.5%,TB,14,2021
19,Baltimore Ravens,0,1,0,0,0,0,0,1,3.0,3.0,97.7%,BAL,14,2021
20,New York Jets,3,0,0,0,0,0,0,1,2.0,2.0,94.9%,NYJ,14,2021
21,Arizona Cardinals,3,0,0,1,0,0,0,1,2.0,2.0,0.4%,ARI,14,2021
22,Carolina Panthers,0,0,1,1,0,0,0,1,2.0,2.0,1.0%,CAR,14,2021
23,Buffalo Bills,2,0,0,0,0,0,0,1,1.0,1.0,51.7%,BUF,14,2021
24,Pittsburgh Steelers,0,2,0,0,0,0,0,1,0.0,0.0,91.3%,PIT,14,2021
25,Las Vegas Raiders,3,0,0,0,0,0,0,1,-1.0,-1.0,6.5%,LV,14,2021
26,Houston Texans,0,0,0,0,0,0,0,1,-1.0,-1.0,36.0%,HOU,14,2021
27,New York Giants,2,0,0,0,0,0,0,1,-2.0,-2.0,3.3%,NYG,14,2021
28,Detroit Lions,1,0,0,0,0,0,0,1,-3.0,-3.0,40.6%,DET,14,2021
