Rank,Player,SACK,INT,FR,FF,DEF TD,SFTY,SPC TD,G,FPTS,FPTS/G,ROST,Team,Week,Year
1,New Orleans Saints,4,1,1,1,0,0,0,1,18.0,18.0,64.3%,NO,15,2021
2,Dallas Cowboys,1,3,1,1,0,0,0,1,16.0,16.0,98.7%,DAL,15,2021
3,Pittsburgh Steelers,4,1,3,3,0,0,0,1,16.0,16.0,91.3%,PIT,15,2021
4,Minnesota Vikings,3,0,3,3,0,0,0,1,15.0,15.0,33.7%,MIN,15,2021
5,Indianapolis Colts,1,2,0,1,0,0,1,1,14.0,14.0,6.9%,IND,15,2021
6,New York Jets,1,2,1,0,1,0,0,1,12.0,12.0,94.9%,NYJ,15,2021
7,Houston Texans,3,0,0,0,0,0,1,1,10.0,10.0,36.0%,HOU,15,2021
8,Miami Dolphins,6,0,1,1,0,0,0,1,9.0,9.0,77.9%,MIA,15,2021
9,Los Angeles Rams,3,1,0,0,0,0,0,1,9.0,9.0,1.4%,LAR,15,2021
10,San Francisco 49ers,3,0,1,1,0,0,0,1,9.0,9.0,99.0%,SF,15,2021
11,Cincinnati Bengals,3,0,1,1,0,0,0,1,9.0,9.0,58.3%,CIN,15,2021
12,Detroit Lions,2,1,0,0,0,0,0,1,8.0,8.0,40.6%,DET,15,2021
13,Seattle Seahawks,4,1,0,0,0,0,0,1,7.0,7.0,32.1%,SEA,15,2021
14,Washington Commanders,3,1,1,1,0,0,0,1,7.0,7.0,1.0%,WAS,15,2021
15,Chicago Bears,4,1,0,1,0,0,0,1,7.0,7.0,46.1%,CHI,15,2021
16,Buffalo Bills,4,1,0,1,0,0,0,1,7.0,7.0,51.7%,BUF,15,2021
17,Cleveland Browns,2,1,1,2,0,0,0,1,7.0,7.0,97.8%,CLE,15,2021
18,Tampa Bay Buccaneers,2,0,0,1,0,0,0,1,6.0,6.0,6.5%,TB,15,2021
19,New York Giants,3,0,1,2,0,0,0,1,5.0,5.0,3.3%,NYG,15,2021
20,Carolina Panthers,4,1,0,1,0,0,0,1,5.0,5.0,1.0%,CAR,15,2021
21,Tennessee Titans,3,0,0,0,0,0,0,1,4.0,4.0,1.1%,TEN,15,2021
22,Denver Broncos,3,0,0,0,0,0,0,1,4.0,4.0,7.8%,DEN,15,2021
23,Los Angeles Chargers,1,1,1,1,0,0,0,1,4.0,4.0,9.6%,LAC,15,2021
24,Arizona Cardinals,2,0,1,1,0,0,0,1,3.0,3.0,0.4%,ARI,15,2021
25,Philadelphia Eagles,2,0,0,2,0,0,0,1,3.0,3.0,43.3%,PHI,15,2021
26,Kansas City Chiefs,0,1,1,1,0,0,0,1,3.0,3.0,79.3%,KC,15,2021
27,New England Patriots,1,1,0,0,0,0,0,1,3.0,3.0,2.9%,NE,15,2021
28,Baltimore Ravens,3,0,0,0,0,0,0,1,2.0,2.0,97.7%,BAL,15,2021
29,Jacksonville Jaguars,1,1,0,0,0,0,0,1,2.0,2.0,19.9%,JAC,15,2021
30,Las Vegas Raiders,0,0,0,0,0,0,0,1,1.0,1.0,6.5%,LV,15,2021
31,Atlanta Falcons,0,0,1,0,0,0,0,1,1.0,1.0,11.4%,ATL,15,2021
32,Green Bay Packers,1,0,0,0,0,0,0,1,0.0,0.0,10.2%,GB,15,2021
