Rank,Player,TACKLE,ASSIST,SACK,PD,INT,FF,FR,DEF TD,G,FPTS,FPTS/G,ROST,Team,Week,Year
1,Terrel Bernard,8,2,2.0,0,0,0,0,0,1,29.0,29.0,51.1%,BUF,17,2023
2,Sione Takitaki,11,5,0.0,1,0,0,0,0,1,21.8,21.8,0.3%,NE,17,2023
3,Nicholas Morrow,9,5,0.0,0,0,0,0,0,1,19.8,19.8,4.0%,BUF,17,2023
4,Devin Bush Jr.,5,13,0.0,0,0,0,0,0,1,19.8,19.8,0.4%,CLE,17,2023
5,Jeremiah Owusu-Koramoah,7,4,0.0,0,0,0,0,0,1,18.5,18.5,15.8%,CLE,17,2023
6,Cody Barton,9,3,0.0,0,0,0,0,0,1,18.3,18.3,2.8%,DEN,17,2023
7,Nick Bolton,9,4,0.0,1,0,0,0,0,1,18.0,18.0,45.7%,KC,17,2023
8,Khalil Mack,5,2,1.0,0,0,0,0,0,1,18.0,18.0,36.9%,LAC,17,2023
9,Kaden Elliss,6,3,1.0,0,0,0,0,0,1,17.8,17.8,6.0%,ATL,17,2023
10,Ernest Jones IV,7,6,0.0,0,0,0,0,0,1,17.5,17.5,63.1%,TEN,17,2023
11,Harold Landry III,3,2,1.0,0,0,0,0,0,1,17.5,17.5,12.1%,TEN,17,2023
12,C.J. Mosley,4,4,0.0,0,0,1,1,0,1,17.0,17.0,42.0%,NYJ,17,2023
13,Bobby Okereke,2,7,1.5,0,0,0,0,0,1,16.8,16.8,86.0%,NYG,17,2023
14,Bobby Wagner,4,10,0.0,0,0,0,0,0,1,16.0,16.0,61.2%,WAS,17,2023
15,Eric Kendricks,5,9,0.0,1,0,0,0,0,1,15.8,15.8,11.7%,DAL,17,2023
16,David Mayo,6,2,0.0,0,0,0,0,0,1,15.5,15.5,0.0%,FA,17,2023
17,Roquan Smith,3,4,0.0,2,1,0,0,0,1,15.5,15.5,88.7%,BAL,17,2023
18,Pete Werner,8,1,0.0,0,0,0,0,0,1,15.3,15.3,1.5%,NO,17,2023
19,E.J. Speed,8,4,0.0,0,0,0,0,0,1,15.0,15.0,37.0%,IND,17,2023
20,Deion Jones,4,3,1.0,0,0,0,0,0,1,14.8,14.8,0.1%,FA,17,2023
21,Nick Niemann,6,4,0.0,0,0,0,0,0,1,14.5,14.5,0.2%,LAC,17,2023
22,Zaire Franklin,7,3,0.0,1,0,0,0,0,1,14.3,14.3,93.6%,IND,17,2023
23,Nick Herbig,1,0,1.0,0,0,1,1,0,1,13.5,13.5,0.4%,PIT,17,2023
24,Alex Singleton,7,4,0.0,0,0,0,0,0,1,13.5,13.5,72.8%,DEN,17,2023
25,Micah Parsons,5,1,0.0,0,0,0,0,0,1,13.3,13.3,73.0%,DAL,17,2023
26,David Long Jr.,6,2,0.0,0,0,0,0,0,1,13.0,13.0,1.6%,MIA,17,2023
27,Quincy Williams,5,2,0.0,0,0,1,0,0,1,13.0,13.0,41.0%,NYJ,17,2023
28,Jahlani Tavai,4,6,0.0,0,0,0,0,0,1,13.0,13.0,3.4%,NE,17,2023
29,Devin White,5,2,0.0,1,0,0,0,0,1,13.0,13.0,7.4%,PHI,17,2023
30,Quay Walker,2,4,1.0,0,0,0,0,0,1,12.5,12.5,28.4%,GB,17,2023
31,Zack Baun,3,0,1.0,1,0,0,0,0,1,12.5,12.5,0.5%,PHI,17,2023
32,Lorenzo Carter,3,0,1.0,0,0,1,0,0,1,12.5,12.5,0.2%,ATL,17,2023
33,Alex Anzalone,5,3,0.0,0,0,0,0,0,1,12.3,12.3,24.8%,DET,17,2023
34,Josey Jewell,2,7,0.0,0,0,0,1,0,1,12.3,12.3,4.9%,CAR,17,2023
35,Lavonte David,5,6,0.0,0,0,0,0,0,1,12.0,12.0,54.3%,TB,17,2023
36,T.J. Edwards,2,0,0.0,1,1,0,0,0,1,12.0,12.0,81.1%,CHI,17,2023
37,Dre Greenlaw,6,4,0.0,0,0,0,0,0,1,12.0,12.0,4.3%,SF,17,2023
38,Ivan Pace Jr.,5,6,0.0,0,0,0,0,0,1,12.0,12.0,20.2%,MIN,17,2023
39,Isaiah Simmons,3,1,1.0,0,0,0,0,0,1,11.8,11.8,5.6%,NYG,17,2023
40,Christian Harris,3,2,0.0,2,0,0,0,0,1,11.5,11.5,2.7%,HOU,17,2023
41,Khaleke Hudson,4,7,0.0,0,0,0,0,0,1,11.3,11.3,0.1%,NO,17,2023
42,Myles Jack,7,1,0.0,0,0,0,0,0,1,11.3,11.3,0.1%,FA,17,2023
43,Demario Davis,2,2,0.0,0,0,0,1,0,1,11.0,11.0,10.9%,NO,17,2023
44,Patrick Queen,3,3,0.0,1,0,0,0,0,1,10.8,10.8,36.8%,PIT,17,2023
45,Krys Barnes,4,3,0.0,0,0,0,0,0,1,10.8,10.8,0.6%,ARI,17,2023
46,Anfernee Jennings,5,0,0.0,0,0,0,0,0,1,10.0,10.0,3.7%,NE,17,2023
47,Preston Smith,1,0,1.0,0,0,1,0,0,1,9.5,9.5,1.4%,GB,17,2023
48,Willie Gay Jr.,4,1,0.0,0,0,0,0,0,1,9.3,9.3,1.2%,NO,17,2023
49,Ja'Whaun Bentley,5,2,0.0,0,0,0,0,0,1,9.0,9.0,6.5%,NE,17,2023
50,Otis Reese IV,3,6,0.0,0,0,0,0,0,1,9.0,9.0,0.1%,TEN,17,2023
51,Bradley Chubb,3,2,0.0,0,0,0,0,0,1,8.5,8.5,3.8%,MIA,17,2023
52,Derrick Barnes,3,2,0.0,0,0,0,0,0,1,8.5,8.5,0.7%,DET,17,2023
53,Foyesade Oluokun,3,3,0.0,1,0,0,0,0,1,8.3,8.3,93.6%,JAC,17,2023
54,Nate Landman,5,1,0.0,0,0,0,0,0,1,8.3,8.3,0.9%,ATL,17,2023
55,Duke Riley,5,1,0.0,0,0,0,0,0,1,8.3,8.3,0.3%,MIA,17,2023
56,Tremaine Edmunds,4,1,0.0,1,0,0,0,0,1,8.3,8.3,17.8%,CHI,17,2023
57,Robert Spillane,5,1,0.0,0,0,0,0,0,1,8.3,8.3,23.7%,LV,17,2023
58,Kyle Van Noy,1,0,1.0,0,0,0,0,0,1,8.0,8.0,2.9%,BAL,17,2023
59,Leo Chenal,3,1,0.0,0,0,0,0,0,1,7.8,7.8,0.9%,KC,17,2023
60,Azeez Al-Shaair,2,6,0.0,0,0,0,0,0,1,7.5,7.5,40.2%,HOU,17,2023
61,Drew Sanders,3,0,0.0,0,0,0,0,0,1,7.0,7.0,0.4%,DEN,17,2023
62,Devin Lloyd,3,3,0.0,0,0,0,0,0,1,6.8,6.8,18.6%,JAC,17,2023
63,Tyrel Dodson,4,1,0.0,0,0,0,0,0,1,6.8,6.8,16.3%,SEA,17,2023
64,Isaiah McDuffie,1,2,0.5,1,0,0,0,0,1,6.5,6.5,0.8%,GB,17,2023
65,Fred Warner,2,4,0.0,0,0,0,0,0,1,6.0,6.0,85.1%,SF,17,2023
66,Leonard Floyd,2,0,0.0,0,0,0,0,0,1,5.5,5.5,2.1%,SF,17,2023
67,Marquis Haynes Sr.,3,1,0.0,0,0,0,0,0,1,5.3,5.3,0.0%,FA,17,2023
68,Damone Clark,3,1,0.0,0,0,0,0,0,1,5.3,5.3,1.6%,DAL,17,2023
69,Shaquille Leonard,2,3,0.0,0,0,0,0,0,1,5.3,5.3,0.2%,FA,17,2023
70,Blake Cashman,1,5,0.0,0,0,0,0,0,1,5.3,5.3,5.1%,MIN,17,2023
71,Jack Campbell,2,3,0.0,0,0,0,0,0,1,5.3,5.3,9.8%,DET,17,2023
72,Logan Wilson,2,3,0.0,0,0,0,0,0,1,5.3,5.3,29.1%,CIN,17,2023
73,Bud Dupree,1,2,0.5,0,0,0,0,0,1,5.0,5.0,0.1%,LAC,17,2023
74,Trenton Simpson,0,1,0.0,0,0,0,1,0,1,4.8,4.8,3.8%,BAL,17,2023
75,Frankie Luvu,1,4,0.0,0,0,0,0,0,1,4.5,4.5,21.0%,WAS,17,2023
76,Jamien Sherwood,3,0,0.0,0,0,0,0,0,1,4.5,4.5,0.2%,NYJ,17,2023
77,Casey Toohill,2,2,0.0,0,0,0,0,0,1,4.5,4.5,0.1%,BUF,17,2023
78,Markus Golden,1,0,0.0,0,0,0,0,0,1,4.0,4.0,0.1%,FA,17,2023
79,Christian Rozeboom,2,1,0.0,0,0,0,0,0,1,3.8,3.8,2.9%,LAR,17,2023
80,Jordan Hicks,1,3,0.0,0,0,0,0,0,1,3.8,3.8,9.4%,CLE,17,2023
81,Divine Deablo,2,1,0.0,0,0,0,0,0,1,3.8,3.8,4.2%,LV,17,2023
