Rank,Player,CMP,ATT,PCT,YDS,Y/A,TD,INT,SACKS,ATT.1,YDS.1,TD.1,FL,G,FPTS,FPTS/G,ROST,Team,Week,Year
1,Patrick Mahomes II,22,43,51.2,340,7.9,2,1,3,6,21,1,0,1,30.7,30.7,99.9%,KC,5,2020
2,Ryan Tannehill,21,28,75.0,195,7.0,3,0,0,4,42,1,0,1,30.0,30.0,0.1%,FA,5,2020
3,Ryan Fitzpatrick,22,28,78.6,350,12.5,3,0,2,3,16,0,0,1,27.6,27.6,0.0%,FA,5,2020
4,Justin Herbert,20,34,58.8,264,7.8,4,0,3,4,8,0,0,1,27.4,27.4,65.1%,LAC,5,2020
5,Kyler Murray,27,37,73.0,380,10.3,1,1,1,9,31,1,0,1,27.3,27.3,94.7%,ARI,5,2020
6,Deshaun Watson,25,35,71.4,359,10.3,3,2,1,2,25,0,0,1,26.9,26.9,38.9%,CLE,5,2020
7,Russell Wilson,20,32,62.5,217,6.8,3,1,4,5,58,0,0,1,25.5,25.5,6.9%,PIT,5,2020
8,Jared Goff,21,30,70.0,309,10.3,2,1,1,3,0,1,0,1,25.4,25.4,73.4%,DET,5,2020
9,Derek Carr,22,31,71.0,347,11.2,3,1,1,4,1,0,0,1,25.0,25.0,7.1%,NO,5,2020
10,Drew Brees,33,47,70.2,325,6.9,1,1,2,1,1,1,0,1,22.1,22.1,35.7%,FA,5,2020
11,Ben Roethlisberger,27,34,79.4,239,7.0,3,0,1,2,-2,0,0,1,21.4,21.4,13.6%,FA,5,2020
12,Teddy Bridgewater,27,36,75.0,313,8.7,2,0,0,3,3,0,0,1,20.8,20.8,0.0%,FA,5,2020
13,Gardner Minshew II,31,49,63.3,301,6.1,2,0,3,4,18,0,1,1,19.8,19.8,3.9%,LV,5,2020
14,Carson Wentz,20,35,57.1,258,7.4,2,2,5,4,11,0,0,1,19.4,19.4,0.2%,KC,5,2020
15,Josh Allen,26,41,63.4,263,6.4,2,2,1,4,18,0,0,1,18.3,18.3,100.0%,BUF,5,2020
16,Baker Mayfield,21,37,56.8,247,6.7,2,2,1,2,17,0,0,1,17.6,17.6,31.7%,TB,5,2020
17,Kirk Cousins,27,39,69.2,249,6.4,2,1,3,1,2,0,1,1,15.2,15.2,64.2%,ATL,5,2020
18,Lamar Jackson,19,37,51.4,180,4.9,2,1,1,2,3,0,0,1,14.5,14.5,99.9%,BAL,5,2020
19,Dak Prescott,14,21,66.7,166,7.9,0,1,1,2,7,0,0,1,14.4,14.4,96.3%,DAL,5,2020
20,Tom Brady,25,41,61.0,253,6.2,1,0,3,3,0,0,0,1,14.1,14.1,2.7%,FA,5,2020
21,Joe Flacco,18,33,54.5,195,5.9,1,0,2,4,20,0,0,1,13.8,13.8,0.7%,IND,5,2020
22,Nick Foles,30,42,71.4,243,5.8,1,1,3,1,-1,0,0,1,12.6,12.6,0.0%,FA,5,2020
23,Kyle Allen,9,13,69.2,74,5.7,0,0,2,1,7,1,0,1,9.7,9.7,0.0%,PIT,5,2020
24,Daniel Jones,20,33,60.6,222,6.7,0,0,2,2,-7,0,1,1,8.2,8.2,7.4%,NYG,5,2020
25,Matt Ryan,21,37,56.8,226,6.1,0,1,2,1,-1,0,0,1,7.9,7.9,0.1%,FA,5,2020
26,Philip Rivers,21,33,63.6,243,7.4,0,2,1,1,-1,0,0,1,7.6,7.6,20.6%,FA,5,2020
27,Taysom Hill,0,1,0.0,0,0.0,0,0,0,3,13,1,0,1,7.3,7.3,45.9%,NO,5,2020
28,C.J. Beathard,9,18,50.0,94,5.2,1,0,2,0,0,0,1,1,5.8,5.8,0.0%,FA,5,2020
29,Joe Burrow,19,30,63.3,183,6.1,0,1,7,3,10,0,1,1,5.3,5.3,98.2%,CIN,5,2020
30,Andy Dalton,9,11,81.8,111,10.1,0,0,1,1,0,0,1,1,2.4,2.4,0.1%,CAR,5,2020
31,Alex Smith,9,17,52.9,37,2.2,0,0,6,1,1,0,0,1,1.6,1.6,5.0%,FA,5,2020
32,Jimmy Garoppolo,7,17,41.2,77,4.5,0,2,3,0,0,0,0,1,1.1,1.1,0.1%,LAR,5,2020
33,Matt Barkley,3,5,60.0,22,4.4,0,0,0,0,0,0,0,1,0.9,0.9,0.0%,FA,5,2020
34,Jalen Hurts,1,1,100.0,18,18.0,0,0,0,0,0,0,0,1,0.7,0.7,99.9%,PHI,5,2020
35,Robert Griffin III,0,0,0.0,0,0.0,0,0,0,1,-1,0,0,1,-0.1,-0.1,1.0%,FA,5,2020
