Rank,Player,CMP,ATT,PCT,YDS,Y/A,TD,INT,SACKS,ATT.1,YDS.1,TD.1,FL,G,FPTS,FPTS/G,ROST,Team,Week,Year
1,Justin Herbert,27,43,62.8,347,8.1,3,0,1,9,66,1,0,1,38.5,38.5,65.1%,LAC,7,2020
2,Kyler Murray,34,48,70.8,360,7.5,3,1,0,14,67,1,0,1,38.1,38.1,94.7%,ARI,7,2020
3,Tom Brady,33,45,73.3,369,8.2,4,0,0,1,1,1,0,1,36.9,36.9,2.7%,FA,7,2020
4,Joe Burrow,35,47,74.5,406,8.6,3,1,4,6,34,1,1,1,34.6,34.6,98.2%,CIN,7,2020
5,Russell Wilson,33,50,66.0,388,7.8,3,3,2,6,84,0,0,1,32.9,32.9,6.9%,PIT,7,2020
6,Baker Mayfield,22,28,78.6,297,10.6,5,1,0,1,-1,0,0,1,30.8,30.8,31.7%,TB,7,2020
7,Carson Wentz,25,43,58.1,359,8.3,2,1,3,7,14,1,0,1,28.8,28.8,0.2%,KC,7,2020
8,Aaron Rodgers,23,34,67.6,283,8.3,4,0,0,0,0,0,0,1,27.3,27.3,72.2%,NYJ,7,2020
9,Deshaun Watson,29,39,74.4,309,7.9,2,0,3,7,38,0,0,1,24.2,24.2,38.9%,CLE,7,2020
10,Drew Brees,29,36,80.6,287,8.0,2,0,1,3,2,1,1,1,23.7,23.7,35.7%,FA,7,2020
11,Daniel Jones,20,30,66.7,187,6.2,2,1,3,4,92,0,1,1,21.7,21.7,7.4%,NYG,7,2020
12,Derek Carr,24,36,66.7,284,7.9,2,1,3,2,19,0,0,1,20.3,20.3,7.1%,NO,7,2020
13,Teddy Bridgewater,23,28,82.1,254,9.1,2,0,1,2,10,0,0,1,19.2,19.2,0.0%,FA,7,2020
14,Gardner Minshew II,14,27,51.9,173,6.4,2,0,5,4,21,0,0,1,19.0,19.0,3.9%,LV,7,2020
15,Matthew Stafford,25,36,69.4,340,9.4,1,0,2,1,8,0,0,1,18.4,18.4,49.9%,LAR,7,2020
16,Matt Ryan,31,42,73.8,338,8.0,1,0,2,0,0,0,1,1,17.5,17.5,0.1%,FA,7,2020
17,Ryan Tannehill,18,30,60.0,220,7.3,2,0,2,2,5,0,0,1,17.3,17.3,0.1%,FA,7,2020
18,Jared Goff,23,33,69.7,220,6.7,2,0,1,4,1,0,0,1,16.9,16.9,73.4%,DET,7,2020
19,Kyle Allen,15,25,60.0,194,7.8,2,0,2,4,11,0,0,1,16.9,16.9,0.0%,PIT,7,2020
20,Josh Allen,30,43,69.8,307,7.1,0,0,2,11,61,0,1,1,16.4,16.4,100.0%,BUF,7,2020
21,Ben Roethlisberger,32,49,65.3,268,5.5,2,3,0,1,-1,0,0,1,15.6,15.6,13.6%,FA,7,2020
22,Drew Lock,24,40,60.0,254,6.4,0,2,3,3,8,1,0,1,15.0,15.0,0.1%,NYG,7,2020
23,Patrick Mahomes II,15,23,65.2,200,8.7,1,0,3,0,0,0,0,1,12.0,12.0,99.9%,KC,7,2020
24,Jimmy Garoppolo,20,25,80.0,277,11.1,0,2,1,1,4,0,0,1,9.5,9.5,0.1%,LAR,7,2020
25,Nick Foles,28,40,70.0,261,6.5,0,2,4,0,0,0,0,1,8.4,8.4,0.0%,FA,7,2020
26,Chad Henne,2,2,100.0,13,6.5,0,0,1,4,-2,1,0,1,6.3,6.3,0.1%,FA,7,2020
27,Andy Dalton,9,19,47.4,75,3.9,0,1,3,3,16,0,0,1,3.6,3.6,0.1%,CAR,7,2020
28,Cam Newton,9,15,60.0,98,6.5,0,3,1,5,19,0,0,1,2.8,2.8,9.1%,FA,7,2020
29,Sam Darnold,12,23,52.2,120,5.2,0,2,6,0,0,0,0,1,2.8,2.8,6.3%,MIN,7,2020
30,Jarrett Stidham,6,10,60.0,64,6.4,0,1,1,2,3,0,0,1,1.9,1.9,0.1%,DEN,7,2020
31,Ben DiNucci,2,3,66.7,39,13.0,0,0,3,1,0,0,0,1,1.6,1.6,0.0%,FA,7,2020
32,Taysom Hill,1,1,100.0,0,0.0,0,0,0,1,6,0,0,1,0.6,0.6,45.9%,NO,7,2020
33,Jalen Hurts,0,0,0.0,0,0.0,0,0,0,2,2,0,0,1,0.2,0.2,99.9%,PHI,7,2020
34,Easton Stick,1,1,100.0,4,4.0,0,0,0,1,-2,0,0,1,0.0,0.0,0.0%,LAC,7,2020
35,John Lovett,0,0,0.0,0,0.0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%,FA,7,2020
36,Brett Rypien,0,0,0.0,0,0.0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%,MIN,7,2020
37,Tim Boyle,0,0,0.0,0,0.0,0,0,0,2,-1,0,0,1,-0.1,-0.1,0.0%,MIA,7,2020
