Rank,Player,CMP,ATT,PCT,YDS,Y/A,TD,INT,SACKS,ATT.1,YDS.1,TD.1,FL,G,FPTS,FPTS/G,ROST,Team,Week,Year
1,Jalen Hurts,24,44,54.5,338,7.7,3,0,6,11,63,1,0,1,37.8,37.8,99.9%,PHI,15,2020
2,Josh Allen,28,40,70.0,359,9.0,2,0,1,3,33,2,0,1,37.7,37.7,100.0%,BUF,15,2020
3,Ryan Tannehill,21,27,77.8,273,10.1,3,0,1,3,21,2,0,1,37.0,37.0,0.1%,FA,15,2020
4,Kyler Murray,27,36,75.0,406,11.3,3,1,1,8,29,1,1,1,34.1,34.1,94.7%,ARI,15,2020
5,Lamar Jackson,17,22,77.3,243,11.0,3,1,1,10,35,1,0,1,30.2,30.2,99.9%,BAL,15,2020
6,Justin Herbert,22,32,68.8,314,9.8,2,0,1,4,14,1,0,1,28.0,28.0,65.1%,LAC,15,2020
7,Matt Ryan,34,49,69.4,356,7.3,3,0,3,1,16,0,0,1,27.8,27.8,0.1%,FA,15,2020
8,Marcus Mariota,17,28,60.7,226,8.1,1,1,0,9,88,1,0,1,26.8,26.8,0.1%,WAS,15,2020
9,Patrick Mahomes II,26,47,55.3,254,5.4,3,0,4,7,37,0,1,1,25.9,25.9,99.9%,KC,15,2020
10,Deshaun Watson,33,41,80.5,373,9.1,2,0,5,6,25,0,1,1,23.4,23.4,38.9%,CLE,15,2020
11,Tom Brady,31,45,68.9,390,8.7,2,0,3,2,-2,0,0,1,23.4,23.4,2.7%,FA,15,2020
12,Baker Mayfield,27,32,84.4,297,9.3,2,0,1,4,11,0,0,1,21.0,21.0,31.7%,TB,15,2020
13,Drew Brees,15,34,44.1,234,6.9,3,1,1,0,0,0,0,1,20.4,20.4,35.7%,FA,15,2020
14,Kirk Cousins,24,35,68.6,271,7.7,2,1,3,3,25,0,0,1,20.3,20.3,64.2%,ATL,15,2020
15,Tua Tagovailoa,20,26,76.9,145,5.6,0,1,2,3,9,2,0,1,19.7,19.7,80.1%,MIA,15,2020
16,Aaron Rodgers,20,29,69.0,143,4.9,1,0,5,5,26,1,0,1,18.3,18.3,72.2%,NYJ,15,2020
17,Ryan Finley,7,13,53.8,89,6.8,1,0,2,10,47,1,0,1,18.3,18.3,0.0%,FA,15,2020
18,Andy Dalton,19,33,57.6,209,6.3,2,0,2,2,8,0,0,1,17.2,17.2,0.1%,CAR,15,2020
19,Philip Rivers,22,28,78.6,228,8.1,2,0,1,1,-1,0,0,1,17.0,17.0,20.6%,FA,15,2020
20,Teddy Bridgewater,21,35,60.0,258,7.4,0,0,3,4,26,1,1,1,16.9,16.9,0.0%,FA,15,2020
21,Dwayne Haskins,38,55,69.1,295,5.4,1,2,4,3,28,0,0,1,16.6,16.6,0.1%,FA,15,2020
22,Jared Goff,22,34,64.7,209,6.1,2,1,3,1,9,0,0,1,16.3,16.3,73.4%,DET,15,2020
23,Gardner Minshew II,22,29,75.9,226,7.8,2,0,5,2,9,0,1,1,15.9,15.9,3.9%,LV,15,2020
24,Matthew Stafford,22,32,68.8,252,7.9,1,0,0,2,12,0,0,1,15.3,15.3,49.9%,LAR,15,2020
25,Mitchell Trubisky,15,21,71.4,202,9.6,1,1,1,8,34,0,0,1,14.5,14.5,0.1%,BUF,15,2020
26,Sam Darnold,22,31,71.0,207,6.7,1,0,2,5,18,0,0,1,14.1,14.1,6.3%,MIN,15,2020
27,Nick Mullens,21,36,58.3,219,6.1,2,2,2,1,7,0,1,1,13.5,13.5,0.1%,MIN,15,2020
28,Russell Wilson,18,27,66.7,121,4.5,1,1,0,6,52,0,0,1,13.0,13.0,6.9%,PIT,15,2020
29,Cam Newton,17,27,63.0,209,7.7,0,0,3,9,38,0,0,1,12.2,12.2,9.1%,FA,15,2020
30,Drew Lock,20,32,62.5,132,4.1,1,0,3,5,37,0,1,1,11.0,11.0,0.1%,NYG,15,2020
31,Colt McCoy,19,31,61.3,221,7.1,0,0,1,2,3,0,0,1,9.1,9.1,0.0%,FA,15,2020
32,C.J. Beathard,5,7,71.4,100,14.3,1,0,0,0,0,0,0,1,8.0,8.0,0.0%,FA,15,2020
33,Ben Roethlisberger,20,38,52.6,170,4.5,1,1,1,2,-1,0,1,1,7.7,7.7,13.6%,FA,15,2020
34,Taysom Hill,0,0,0.0,0,0.0,0,0,0,2,3,1,0,1,6.3,6.3,45.9%,NO,15,2020
35,Chase Daniel,5,6,83.3,55,9.2,0,1,0,1,11,0,0,1,2.3,2.3,0.0%,FA,15,2020
36,Derek Carr,3,5,60.0,53,10.6,0,0,1,0,0,0,0,1,2.1,2.1,7.1%,NO,15,2020
37,Tyler Huntley,2,4,50.0,7,1.8,0,0,0,4,18,0,0,1,2.1,2.1,0.0%,BAL,15,2020
38,Jacoby Brissett,0,1,0.0,0,0.0,0,0,0,1,2,0,0,1,0.2,0.2,0.9%,NE,15,2020
39,Matt Barkley,0,0,0.0,0,0.0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%,FA,15,2020
40,Joe Webb III,0,0,0.0,0,0.0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%,FA,15,2020
41,Logan Woodside,0,0,0.0,0,0.0,0,0,0,3,-3,0,0,1,-0.3,-0.3,0.0%,CIN,15,2020
