RANK,PLAYER,SACK,INT,FR,FF,DEF TD,SFTY,SPC TD,G,FPTS,FPTS/G,ROST,WEEK
1,Pittsburgh Steelers (PIT),6.0,1.0,3.0,3.0,2.0,0.0,0.0,1.0,26.0,26.0,86.2%,2.0
2,Tampa Bay Buccaneers (TB),6.0,2.0,0.0,1.0,1.0,0.0,0.0,1.0,17.0,17.0,22.0%,2.0
3,Dallas Cowboys (DAL),3.0,3.0,1.0,1.0,0.0,0.0,0.0,1.0,15.0,15.0,99.3%,2.0
4,Seattle Seahawks (SEA),2.0,1.0,2.0,2.0,1.0,0.0,0.0,1.0,13.0,13.0,36.3%,2.0
5,Washington Commanders (WAS),7.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,10.0,10.0,43.3%,2.0
6,Buffalo Bills (BUF),0.0,2.0,1.0,1.0,0.0,0.0,0.0,1.0,10.0,10.0,92.6%,2.0
7,Kansas City Chiefs (KC),4.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,10.0,10.0,78.3%,2.0
8,Indianapolis Colts (IND),6.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,9.0,9.0,14.1%,2.0
9,Miami Dolphins (MIA),4.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,9.0,9.0,83.0%,2.0
10,Jacksonville Jaguars (JAC),1.0,1.0,2.0,2.0,0.0,0.0,0.0,1.0,8.0,8.0,34.5%,2.0
11,Carolina Panthers (CAR),4.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,7.0,7.0,6.5%,2.0
12,Philadelphia Eagles (PHI),2.0,0.0,3.0,3.0,0.0,0.0,0.0,1.0,7.0,7.0,67.2%,2.0
13,Cleveland Browns (CLE),2.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,7.0,7.0,90.5%,2.0
14,New Orleans Saints (NO),4.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,7.0,7.0,57.7%,2.0
15,Cincinnati Bengals (CIN),0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,6.0,6.0,23.4%,2.0
16,Los Angeles Chargers (LAC),5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,5.0,16.0%,2.0
17,San Francisco 49ers (SF),1.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,5.0,94.8%,2.0
18,Minnesota Vikings (MIN),4.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,5.0,43.8%,2.0
19,New England Patriots (NE),1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,5.0,40.9%,2.0
20,Arizona Cardinals (ARI),3.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,4.0,1.0%,2.0
21,Baltimore Ravens (BAL),1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,3.0,90.1%,2.0
22,Tennessee Titans (TEN),3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,3.0,19.0%,2.0
23,Green Bay Packers (GB),1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,3.0,20.6%,2.0
24,Chicago Bears (CHI),0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0,2.0,7.3%,2.0
25,Atlanta Falcons (ATL),1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,13.1%,2.0
26,Los Angeles Rams (LAR),1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,5.1%,2.0
27,Denver Broncos (DEN),4.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,30.0%,2.0
28,Detroit Lions (DET),1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,55.2%,2.0
29,New York Jets (NYJ),1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,68.8%,2.0
30,Houston Texans (HOU),0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,-1.0,-1.0,10.4%,2.0
31,New York Giants (NYG),0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.0,-1.0,15.2%,2.0
32,Las Vegas Raiders (LV),2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-2.0,-2.0,19.5%,2.0
