RANK,PLAYER,SACK,INT,FR,FF,DEF TD,SFTY,SPC TD,G,FPTS,FPTS/G,ROST,WEEK
1,Dallas Cowboys (DAL),7.0,2.0,1.0,3.0,1.0,0.0,1.0,1.0,37.0,37.0,99.3%,1.0
2,New York Jets (NYJ),5.0,3.0,1.0,1.0,0.0,0.0,1.0,1.0,20.0,20.0,68.8%,1.0
3,Arizona Cardinals (ARI),6.0,1.0,2.0,2.0,1.0,0.0,0.0,1.0,19.0,19.0,1.0%,1.0
4,Green Bay Packers (GB),4.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,15.0,15.0,20.6%,1.0
5,San Francisco 49ers (SF),5.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,13.0,13.0,94.8%,1.0
6,Philadelphia Eagles (PHI),2.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,13.0,13.0,67.2%,1.0
7,Atlanta Falcons (ATL),2.0,2.0,1.0,1.0,0.0,0.0,0.0,1.0,12.0,12.0,13.1%,1.0
8,Jacksonville Jaguars (JAC),4.0,1.0,2.0,2.0,0.0,0.0,0.0,1.0,11.0,11.0,34.5%,1.0
9,Indianapolis Colts (IND),2.0,1.0,1.0,3.0,1.0,0.0,0.0,1.0,11.0,11.0,14.1%,1.0
10,Washington Commanders (WAS),3.0,0.0,2.0,2.0,0.0,0.0,0.0,1.0,11.0,11.0,43.3%,1.0
11,Baltimore Ravens (BAL),5.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,11.0,11.0,90.1%,1.0
12,New Orleans Saints (NO),3.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,10.0,10.0,57.7%,1.0
13,Detroit Lions (DET),0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,9.0,9.0,55.2%,1.0
14,Cleveland Browns (CLE),2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,9.0,9.0,90.5%,1.0
15,Tennessee Titans (TEN),4.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,9.0,9.0,19.0%,1.0
16,Tampa Bay Buccaneers (TB),2.0,1.0,2.0,1.0,0.0,0.0,0.0,1.0,9.0,9.0,22.0%,1.0
17,Houston Texans (HOU),4.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,8.0,8.0,10.4%,1.0
18,Cincinnati Bengals (CIN),3.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,7.0,7.0,23.4%,1.0
19,Los Angeles Rams (LAR),2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,6.0,5.1%,1.0
20,New England Patriots (NE),3.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,6.0,6.0,40.9%,1.0
21,Buffalo Bills (BUF),3.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,5.0,5.0,92.6%,1.0
22,Pittsburgh Steelers (PIT),3.0,0.0,1.0,3.0,0.0,0.0,0.0,1.0,4.0,4.0,86.2%,1.0
23,Carolina Panthers (CAR),4.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,4.0,4.0,6.5%,1.0
24,Kansas City Chiefs (KC),1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,4.0,4.0,78.3%,1.0
25,Las Vegas Raiders (LV),2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,3.0,19.5%,1.0
26,Denver Broncos (DEN),0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,3.0,30.0%,1.0
27,Minnesota Vikings (MIN),1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,43.8%,1.0
28,Miami Dolphins (MIA),3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,83.0%,1.0
29,Seattle Seahawks (SEA),0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,36.3%,1.0
30,Los Angeles Chargers (LAC),0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,16.0%,1.0
31,Chicago Bears (CHI),1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,7.3%,1.0
32,New York Giants (NYG),0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,-1.0,-1.0,15.2%,1.0
