RANK,PLAYER,SACK,INT,FR,FF,DEF TD,SFTY,SPC TD,G,FPTS,FPTS/G,ROST,WEEK
1,New York Giants (NYG),4.0,3.0,3.0,3.0,1.0,0.0,0.0,1.0,23.0,23.0,15.2%,11.0
2,Dallas Cowboys (DAL),7.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,21.0,21.0,99.3%,11.0
3,Buffalo Bills (BUF),6.0,2.0,2.0,1.0,0.0,0.0,0.0,1.0,21.0,21.0,92.6%,11.0
4,Miami Dolphins (MIA),2.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,12.0,12.0,83.0%,11.0
5,Arizona Cardinals (ARI),4.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,10.0,10.0,1.0%,11.0
6,Chicago Bears (CHI),2.0,3.0,1.0,0.0,0.0,0.0,0.0,1.0,9.0,9.0,7.3%,11.0
7,Denver Broncos (DEN),2.0,1.0,2.0,2.0,0.0,0.0,0.0,1.0,9.0,9.0,30.0%,11.0
8,San Francisco 49ers (SF),4.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,9.0,9.0,94.8%,11.0
9,Washington Commanders (WAS),9.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,9.0,9.0,43.3%,11.0
10,Las Vegas Raiders (LV),1.0,1.0,2.0,2.0,0.0,0.0,0.0,1.0,8.0,8.0,19.5%,11.0
11,Houston Texans (HOU),3.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,8.0,8.0,10.4%,11.0
12,Pittsburgh Steelers (PIT),1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,7.0,7.0,86.2%,11.0
13,Jacksonville Jaguars (JAC),2.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,7.0,7.0,34.5%,11.0
14,Kansas City Chiefs (KC),5.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,7.0,7.0,78.3%,11.0
15,Cleveland Browns (CLE),3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7.0,7.0,90.5%,11.0
16,Baltimore Ravens (BAL),5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,6.0,90.1%,11.0
17,Detroit Lions (DET),2.0,0.0,1.0,2.0,0.0,1.0,0.0,1.0,6.0,6.0,55.2%,11.0
18,Philadelphia Eagles (PHI),1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,6.0,6.0,67.2%,11.0
19,Green Bay Packers (GB),2.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,5.0,5.0,20.6%,11.0
20,Los Angeles Rams (LAR),2.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,5.0,5.1%,11.0
21,Seattle Seahawks (SEA),1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,4.0,36.3%,11.0
22,Tampa Bay Buccaneers (TB),4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,4.0,22.0%,11.0
23,Los Angeles Chargers (LAC),3.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,3.0,3.0,16.0%,11.0
24,New York Jets (NYJ),1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0,2.0,68.8%,11.0
25,Minnesota Vikings (MIN),2.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0,2.0,43.8%,11.0
26,Cincinnati Bengals (CIN),3.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0,2.0,23.4%,11.0
27,Tennessee Titans (TEN),1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,19.0%,11.0
28,Carolina Panthers (CAR),0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,6.5%,11.0
29,New Orleans Saints (NO),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.7%,11.0
30,Atlanta Falcons (ATL),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.1%,11.0
31,Indianapolis Colts (IND),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.1%,11.0
32,New England Patriots (NE),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.9%,11.0
