RANK,PLAYER,SACK,INT,FR,FF,DEF TD,SFTY,SPC TD,G,FPTS,FPTS/G,ROST,WEEK
1,San Francisco 49ers (SF),5.0,2.0,2.0,2.0,0.0,0.0,0.0,1.0,20.0,20.0,94.8%,10.0
2,Indianapolis Colts (IND),5.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,16.0,16.0,14.1%,10.0
3,Cleveland Browns (CLE),3.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,15.0,15.0,90.5%,10.0
4,Baltimore Ravens (BAL),4.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,14.0,14.0,90.1%,10.0
5,Tampa Bay Buccaneers (TB),4.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,13.0,13.0,22.0%,10.0
6,Pittsburgh Steelers (PIT),1.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,8.0,8.0,86.2%,10.0
7,Las Vegas Raiders (LV),2.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,8.0,8.0,19.5%,10.0
8,New York Jets (NYJ),3.0,1.0,1.0,2.0,0.0,0.0,0.0,1.0,8.0,8.0,68.8%,10.0
9,Minnesota Vikings (MIN),3.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,8.0,8.0,43.8%,10.0
10,Houston Texans (HOU),4.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,8.0,8.0,10.4%,10.0
11,Denver Broncos (DEN),0.0,2.0,2.0,2.0,0.0,0.0,0.0,1.0,8.0,8.0,30.0%,10.0
12,Dallas Cowboys (DAL),5.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,8.0,8.0,99.3%,10.0
13,Chicago Bears (CHI),3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7.0,7.0,7.3%,10.0
14,Carolina Panthers (CAR),0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,7.0,7.0,6.5%,10.0
15,Tennessee Titans (TEN),3.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,6.0,19.0%,10.0
16,Cincinnati Bengals (CIN),1.0,1.0,2.0,1.0,0.0,0.0,0.0,1.0,6.0,6.0,23.4%,10.0
17,New England Patriots (NE),0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,6.0,40.9%,10.0
18,Buffalo Bills (BUF),4.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,6.0,6.0,92.6%,10.0
19,Seattle Seahawks (SEA),3.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,5.0,5.0,36.3%,10.0
20,Atlanta Falcons (ATL),2.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,4.0,13.1%,10.0
21,Arizona Cardinals (ARI),3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,3.0,1.0%,10.0
22,Green Bay Packers (GB),1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,20.6%,10.0
23,Jacksonville Jaguars (JAC),2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,34.5%,10.0
24,New Orleans Saints (NO),1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,57.7%,10.0
25,Los Angeles Rams (LAR),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.1%,10.0
26,Miami Dolphins (MIA),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83.0%,10.0
27,Philadelphia Eagles (PHI),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.2%,10.0
28,New York Giants (NYG),0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,15.2%,10.0
29,Kansas City Chiefs (KC),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78.3%,10.0
30,Washington Commanders (WAS),1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,43.3%,10.0
31,Detroit Lions (DET),0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,-2.0,-2.0,55.2%,10.0
32,Los Angeles Chargers (LAC),0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-4.0,-4.0,16.0%,10.0
