RANK,PLAYER,SACK,INT,FR,FF,DEF TD,SFTY,SPC TD,G,FPTS,FPTS/G,ROST,WEEK
1,Chicago Bears (CHI),1.0,3.0,0.0,0.0,1.0,0.0,0.0,1.0,17.0,17.0,7.3%,7.0
2,Cleveland Browns (CLE),4.0,1.0,3.0,3.0,1.0,0.0,0.0,1.0,16.0,16.0,90.5%,7.0
3,Baltimore Ravens (BAL),5.0,1.0,0.0,2.0,0.0,0.0,0.0,1.0,14.0,14.0,90.1%,7.0
4,New York Giants (NYG),6.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,14.0,14.0,15.2%,7.0
5,Miami Dolphins (MIA),3.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,12.0,12.0,83.0%,7.0
6,Atlanta Falcons (ATL),3.0,1.0,1.0,2.0,0.0,0.0,0.0,1.0,11.0,11.0,13.1%,7.0
7,Philadelphia Eagles (PHI),4.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,10.0,10.0,67.2%,7.0
8,Kansas City Chiefs (KC),5.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,10.0,10.0,78.3%,7.0
9,Jacksonville Jaguars (JAC),1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,9.0,9.0,34.5%,7.0
10,Arizona Cardinals (ARI),2.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,9.0,9.0,1.0%,7.0
11,Washington Commanders (WAS),4.0,0.0,2.0,1.0,0.0,0.0,0.0,1.0,9.0,9.0,43.3%,7.0
12,Seattle Seahawks (SEA),4.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,8.0,8.0,36.3%,7.0
13,Minnesota Vikings (MIN),1.0,2.0,1.0,1.0,0.0,0.0,0.0,1.0,8.0,8.0,43.8%,7.0
14,Tampa Bay Buccaneers (TB),1.0,0.0,2.0,2.0,0.0,0.0,0.0,1.0,6.0,6.0,22.0%,7.0
15,Indianapolis Colts (IND),2.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,5.0,14.1%,7.0
16,New England Patriots (NE),1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,5.0,5.0,40.9%,7.0
17,Pittsburgh Steelers (PIT),2.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,5.0,86.2%,7.0
18,New Orleans Saints (NO),0.0,0.0,2.0,1.0,0.0,0.0,0.0,1.0,4.0,4.0,57.7%,7.0
19,Las Vegas Raiders (LV),2.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,4.0,4.0,19.5%,7.0
20,Los Angeles Chargers (LAC),1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,4.0,4.0,16.0%,7.0
21,Denver Broncos (DEN),0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,3.0,30.0%,7.0
22,Los Angeles Rams (LAR),2.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0,2.0,5.1%,7.0
23,San Francisco 49ers (SF),0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,94.8%,7.0
24,Green Bay Packers (GB),1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,20.6%,7.0
25,Buffalo Bills (BUF),1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,92.6%,7.0
26,Tennessee Titans (TEN),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0%,7.0
27,New York Jets (NYJ),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.8%,7.0
28,Carolina Panthers (CAR),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.5%,7.0
29,Cincinnati Bengals (CIN),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.4%,7.0
30,Dallas Cowboys (DAL),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.3%,7.0
31,Houston Texans (HOU),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.4%,7.0
32,Detroit Lions (DET),0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,-2.0,-2.0,55.2%,7.0
