RANK,PLAYER,SACK,INT,FR,FF,DEF TD,SFTY,SPC TD,G,FPTS,FPTS/G,ROST,WEEK
1,Los Angeles Chargers (LAC),8.0,0.0,3.0,3.0,0.0,0.0,1.0,1.0,27.0,27.0,16.0%,9.0
2,Indianapolis Colts (IND),4.0,3.0,0.0,1.0,2.0,0.0,0.0,1.0,26.0,26.0,14.1%,9.0
3,Cleveland Browns (CLE),7.0,2.0,1.0,1.0,0.0,0.0,0.0,1.0,23.0,23.0,90.5%,9.0
4,Las Vegas Raiders (LV),8.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,19.0,19.0,19.5%,9.0
5,Baltimore Ravens (BAL),4.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,15.0,15.0,90.1%,9.0
6,New Orleans Saints (NO),2.0,3.0,2.0,2.0,0.0,0.0,0.0,1.0,13.0,13.0,57.7%,9.0
7,Green Bay Packers (GB),1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,12.0,12.0,20.6%,9.0
8,Kansas City Chiefs (KC),3.0,0.0,1.0,2.0,1.0,0.0,0.0,1.0,12.0,12.0,78.3%,9.0
9,Los Angeles Rams (LAR),4.0,0.0,2.0,2.0,0.0,0.0,0.0,1.0,9.0,9.0,5.1%,9.0
10,Atlanta Falcons (ATL),4.0,0.0,2.0,2.0,0.0,1.0,0.0,1.0,9.0,9.0,13.1%,9.0
11,New England Patriots (NE),3.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,8.0,8.0,40.9%,9.0
12,Philadelphia Eagles (PHI),5.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,7.0,7.0,67.2%,9.0
13,Pittsburgh Steelers (PIT),4.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,7.0,7.0,86.2%,9.0
14,Cincinnati Bengals (CIN),1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,6.0,6.0,23.4%,9.0
15,Miami Dolphins (MIA),2.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,5.0,5.0,83.0%,9.0
16,New York Jets (NYJ),5.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,5.0,5.0,68.8%,9.0
17,Carolina Panthers (CAR),1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,4.0,4.0,6.5%,9.0
18,Minnesota Vikings (MIN),1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,4.0,4.0,43.8%,9.0
19,Washington Commanders (WAS),0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,3.0,43.3%,9.0
20,Dallas Cowboys (DAL),3.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,2.0,2.0,99.3%,9.0
21,Seattle Seahawks (SEA),1.0,0.0,2.0,2.0,0.0,0.0,0.0,1.0,1.0,1.0,36.3%,9.0
22,Buffalo Bills (BUF),1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,92.6%,9.0
23,Tampa Bay Buccaneers (TB),3.0,0.0,1.0,2.0,0.0,0.0,0.0,1.0,1.0,1.0,22.0%,9.0
24,Tennessee Titans (TEN),0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,19.0%,9.0
25,Arizona Cardinals (ARI),1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0%,9.0
26,Jacksonville Jaguars (JAC),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.5%,9.0
27,Houston Texans (HOU),2.0,0.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,10.4%,9.0
28,Detroit Lions (DET),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.2%,9.0
29,Denver Broncos (DEN),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0%,9.0
30,Chicago Bears (CHI),0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,7.3%,9.0
31,San Francisco 49ers (SF),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94.8%,9.0
32,New York Giants (NYG),0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.0,-1.0,15.2%,9.0
