RANK,PLAYER,SACK,INT,FR,FF,DEF TD,SFTY,SPC TD,G,FPTS,FPTS/G,ROST,WEEK
1,Buffalo Bills (BUF),9.0,4.0,1.0,1.0,1.0,0.0,0.0,1.0,32.0,32.0,92.6%,3.0
2,Detroit Lions (DET),7.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,16.0,16.0,55.2%,3.0
3,Houston Texans (HOU),0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,13.0,13.0,10.4%,3.0
4,Philadelphia Eagles (PHI),2.0,1.0,1.0,2.0,0.0,1.0,0.0,1.0,12.0,12.0,67.2%,3.0
5,Cleveland Browns (CLE),5.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,12.0,12.0,90.5%,3.0
6,Kansas City Chiefs (KC),3.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,11.0,11.0,78.3%,3.0
7,Pittsburgh Steelers (PIT),4.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,11.0,11.0,86.2%,3.0
8,Cincinnati Bengals (CIN),6.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,11.0,11.0,23.4%,3.0
9,New Orleans Saints (NO),1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,10.0,10.0,57.7%,3.0
10,Indianapolis Colts (IND),4.0,0.0,2.0,3.0,0.0,0.0,0.0,1.0,9.0,9.0,14.1%,3.0
11,New England Patriots (NE),3.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,9.0,9.0,40.9%,3.0
12,Miami Dolphins (MIA),1.0,1.0,2.0,2.0,0.0,0.0,0.0,1.0,8.0,8.0,83.0%,3.0
13,Los Angeles Chargers (LAC),4.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,8.0,8.0,16.0%,3.0
14,San Francisco 49ers (SF),2.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,8.0,8.0,94.8%,3.0
15,Baltimore Ravens (BAL),5.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,7.0,7.0,90.1%,3.0
16,Los Angeles Rams (LAR),2.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,5.0,5.1%,3.0
17,Tampa Bay Buccaneers (TB),1.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,5.0,22.0%,3.0
18,Tennessee Titans (TEN),3.0,0.0,1.0,2.0,0.0,0.0,0.0,1.0,5.0,5.0,19.0%,3.0
19,Arizona Cardinals (ARI),2.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,5.0,1.0%,3.0
20,Green Bay Packers (GB),4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,5.0,20.6%,3.0
21,Atlanta Falcons (ATL),0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,3.0,13.1%,3.0
22,Seattle Seahawks (SEA),3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,3.0,36.3%,3.0
23,Minnesota Vikings (MIN),1.0,0.0,1.0,4.0,0.0,0.0,0.0,1.0,2.0,2.0,43.8%,3.0
24,Denver Broncos (DEN),0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,30.0%,3.0
25,New York Giants (NYG),2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,15.2%,3.0
26,New York Jets (NYJ),0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,68.8%,3.0
27,Las Vegas Raiders (LV),1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,19.5%,3.0
28,Dallas Cowboys (DAL),2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,99.3%,3.0
29,Washington Commanders (WAS),0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,43.3%,3.0
30,Chicago Bears (CHI),0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,7.3%,3.0
31,Carolina Panthers (CAR),2.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,6.5%,3.0
32,Jacksonville Jaguars (JAC),0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-4.0,-4.0,34.5%,3.0
