RANK,PLAYER,SACK,INT,FR,FF,DEF TD,SFTY,SPC TD,G,FPTS,FPTS/G,ROST,WEEK
1,Minnesota Vikings (MIN),5.0,2.0,1.0,2.0,1.0,0.0,0.0,1.0,21.0,21.0,43.8%,6.0
2,Kansas City Chiefs (KC),4.0,2.0,1.0,1.0,0.0,0.0,0.0,1.0,14.0,14.0,78.3%,6.0
3,Cincinnati Bengals (CIN),4.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,12.0,12.0,23.4%,6.0
4,Jacksonville Jaguars (JAC),3.0,3.0,1.0,1.0,0.0,0.0,0.0,1.0,12.0,12.0,34.5%,6.0
5,Baltimore Ravens (BAL),6.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,11.0,11.0,90.1%,6.0
6,New York Jets (NYJ),2.0,3.0,1.0,1.0,0.0,0.0,0.0,1.0,11.0,11.0,68.8%,6.0
7,Washington Commanders (WAS),3.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,10.0,10.0,43.3%,6.0
8,Houston Texans (HOU),2.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,10.0,10.0,10.4%,6.0
9,Chicago Bears (CHI),2.0,0.0,1.0,2.0,0.0,0.0,0.0,1.0,10.0,10.0,7.3%,6.0
10,Los Angeles Rams (LAR),2.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,10.0,10.0,5.1%,6.0
11,Detroit Lions (DET),1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,10.0,10.0,55.2%,6.0
12,Las Vegas Raiders (LV),4.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,9.0,9.0,19.5%,6.0
13,Los Angeles Chargers (LAC),5.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,8.0,8.0,16.0%,6.0
14,Buffalo Bills (BUF),3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7.0,7.0,92.6%,6.0
15,San Francisco 49ers (SF),2.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,7.0,7.0,94.8%,6.0
16,Seattle Seahawks (SEA),3.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,6.0,36.3%,6.0
17,Cleveland Browns (CLE),3.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,6.0,90.5%,6.0
18,Philadelphia Eagles (PHI),5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,6.0,67.2%,6.0
19,Tennessee Titans (TEN),1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,5.0,19.0%,6.0
20,Arizona Cardinals (ARI),3.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,5.0,5.0,1.0%,6.0
21,New York Giants (NYG),0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,5.0,5.0,15.2%,6.0
22,New Orleans Saints (NO),2.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,5.0,57.7%,6.0
23,Atlanta Falcons (ATL),5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,5.0,13.1%,6.0
24,Denver Broncos (DEN),2.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,5.0,30.0%,6.0
25,Miami Dolphins (MIA),4.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,5.0,5.0,83.0%,6.0
26,Dallas Cowboys (DAL),1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,4.0,99.3%,6.0
27,Tampa Bay Buccaneers (TB),3.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,4.0,4.0,22.0%,6.0
28,Carolina Panthers (CAR),0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,4.0,4.0,6.5%,6.0
29,New England Patriots (NE),0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,40.9%,6.0
30,Indianapolis Colts (IND),3.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,14.1%,6.0
31,Pittsburgh Steelers (PIT),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.2%,6.0
32,Green Bay Packers (GB),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.6%,6.0
