RANK,PLAYER,REC,TGT,YDS,Y/R,LG,20+,TD,ATT,YDS,TD,FL,G,FPTS,FPTS/G,ROST,WEEK
35,Adam Thielen (CAR),6.0,10.0,42.0,7.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,10.2,10.2,95.2%,10.0
36,Gabe Davis (BUF),2.0,6.0,56.0,28.0,38.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,9.6,9.6,82.3%,10.0
37,Chris Godwin (TB),4.0,6.0,54.0,13.5,17.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,9.4,9.4,92.0%,10.0
38,Rondale Moore (ARI),5.0,8.0,43.0,8.6,12.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,9.3,9.3,26.0%,10.0
39,Jaxon Smith-Njigba (SEA),4.0,5.0,53.0,13.3,20.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,9.3,9.3,60.6%,10.0
40,Kyle Philips (TEN),3.0,5.0,61.0,20.3,29.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,9.1,9.1,0.7%,10.0
41,Dontayvion Wicks (GB),3.0,4.0,51.0,17.0,32.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,8.1,8.1,0.4%,10.0
42,Lawrence Cager (NYG),1.0,2.0,10.0,10.0,10.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,8.0,8.0,0.0%,10.0
43,Jalen Brooks (DAL),4.0,4.0,39.0,9.8,14.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7.9,7.9,0.0%,10.0
44,George Pickens (PIT),3.0,4.0,45.0,15.0,28.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,7.5,7.5,84.5%,10.0
45,Brandon Powell (MIN),4.0,5.0,35.0,8.8,14.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7.5,7.5,2.1%,10.0
46,Rashid Shaheed (NO),5.0,9.0,24.0,4.8,15.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7.4,7.4,38.2%,10.0
47,Terry McLaurin (WAS),4.0,8.0,33.0,8.3,13.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7.3,7.3,94.1%,10.0
48,Sterling Shepard (NYG),1.0,4.0,2.0,2.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,7.2,7.2,0.2%,10.0
49,Scott Miller (ATL),1.0,1.0,2.0,2.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,7.2,7.2,0.0%,10.0
50,Isaiah McKenzie (IND),4.0,4.0,31.0,7.8,30.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,7.1,7.1,0.3%,10.0
51,Drake London (ATL),3.0,4.0,36.0,12.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.6,6.6,84.2%,10.0
52,Kalif Raymond (DET),2.0,4.0,46.0,23.0,41.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,6.6,6.6,1.2%,10.0
53,Jerry Jeudy (DEN),3.0,3.0,35.0,11.7,19.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.5,6.5,70.4%,10.0
54,Michael Wilson (ARI),3.0,6.0,34.0,11.3,16.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.4,6.4,9.0%,10.0
55,Stefon Diggs (BUF),3.0,5.0,34.0,11.3,14.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.4,6.4,100.0%,10.0
56,Ihmir Smith-Marsette (CAR),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,6.0,0.0%,10.0
