RANK,PLAYER,REC,TGT,YDS,Y/R,LG,20+,TD,ATT,YDS,TD,FL,G,FPTS,FPTS/G,ROST,WEEK
1,George Kittle (SF),3.0,4.0,67.0,22.3,38.0,2.0,3.0,0.0,0.0,0.0,0.0,1.0,27.7,27.7,99.4%,5.0
2,Dallas Goedert (PHI),8.0,9.0,117.0,14.6,49.0,3.0,1.0,0.0,0.0,0.0,0.0,1.0,25.7,25.7,79.2%,5.0
3,Travis Kelce (KC),10.0,11.0,67.0,6.7,14.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,22.7,22.7,100.0%,5.0
4,Logan Thomas (WAS),9.0,11.0,77.0,8.6,24.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,20.7,20.7,61.3%,5.0
5,Sam LaPorta (DET),3.0,4.0,47.0,15.7,31.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,19.7,19.7,96.3%,5.0
6,Dalton Schultz (HOU),7.0,10.0,65.0,9.3,18.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,19.5,19.5,90.3%,5.0
7,Darren Waller (NYG),8.0,11.0,86.0,10.8,21.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,16.6,16.6,65.1%,5.0
8,Kyle Pitts (ATL),7.0,11.0,87.0,12.4,20.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,15.7,15.7,83.4%,5.0
9,Cole Kmet (CHI),5.0,5.0,42.0,8.4,23.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,15.2,15.2,86.1%,5.0
10,Adam Trautman (DEN),4.0,5.0,26.0,6.5,12.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,12.6,12.6,0.4%,5.0
11,Mark Andrews (BAL),6.0,10.0,65.0,10.8,16.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,12.5,12.5,80.4%,5.0
12,Jonnu Smith (ATL),6.0,7.0,67.0,11.2,22.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,10.7,10.7,27.2%,5.0
13,Tyler Conklin (NYJ),4.0,5.0,67.0,16.8,37.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,10.7,10.7,17.7%,5.0
14,T.J. Hockenson (MIN),5.0,8.0,51.0,10.2,19.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,10.1,10.1,99.9%,5.0
15,Luke Musgrave (GB),6.0,7.0,34.0,5.7,8.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,9.4,9.4,29.2%,5.0
16,Zach Ertz (ARI),2.0,4.0,10.0,5.0,6.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,9.0,9.0,17.7%,5.0
17,Chigoziem Okonkwo (TEN),5.0,9.0,33.0,6.6,11.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,8.3,8.3,24.1%,5.0
18,Foster Moreau (NO),1.0,1.0,6.0,6.0,6.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,7.6,7.6,0.1%,5.0
