RANK,PLAYER,REC,TGT,YDS,Y/R,LG,20+,TD,ATT,YDS,TD,FL,G,FPTS,FPTS/G,ROST,WEEK
1,Travis Kelce (KC),9.0,9.0,124.0,13.8,40.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,21.4,21.4,100.0%,6.0
2,Dalton Schultz (HOU),4.0,7.0,61.0,15.3,31.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,16.1,16.1,90.3%,6.0
3,Kyle Pitts (ATL),4.0,6.0,43.0,10.8,19.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,14.3,14.3,83.4%,6.0
4,Jonnu Smith (ATL),4.0,5.0,36.0,9.0,17.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,13.6,13.6,27.2%,6.0
5,Michael Mayer (LV),5.0,6.0,75.0,15.0,32.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,12.5,12.5,8.7%,6.0
6,Taysom Hill (NO),7.0,8.0,49.0,7.0,11.0,0.0,0.0,1.0,2.0,0.0,0.0,1.0,12.3,12.3,63.8%,6.0
7,Evan Engram (JAC),7.0,7.0,41.0,5.9,19.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,11.1,11.1,92.8%,6.0
8,T.J. Hockenson (MIN),6.0,8.0,50.0,8.3,21.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,11.0,11.0,99.9%,6.0
9,Mark Andrews (BAL),4.0,6.0,69.0,17.3,38.0,3.0,0.0,1.0,0.0,0.0,0.0,1.0,10.9,10.9,80.4%,6.0
10,Gerald Everett (LAC),3.0,5.0,16.0,5.3,15.0,0.0,1.0,1.0,2.0,0.0,0.0,1.0,10.8,10.8,21.8%,6.0
11,Brenton Strange (JAC),2.0,3.0,27.0,13.5,17.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,10.7,10.7,0.1%,6.0
12,Trey McBride (ARI),4.0,5.0,62.0,15.5,27.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,10.2,10.2,76.8%,6.0
