RANK,PLAYER,REC,TGT,YDS,Y/R,LG,20+,TD,ATT,YDS,TD,FL,G,FPTS,FPTS/G,ROST,WEEK
1,Hunter Henry (NE),5.0,6.0,56.0,11.2,13.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,16.6,16.6,22.4%,1.0
2,Hayden Hurst (CAR),5.0,7.0,41.0,8.2,14.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,15.1,15.1,4.1%,1.0
3,T.J. Hockenson (MIN),8.0,9.0,35.0,4.4,14.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,11.5,11.5,99.9%,1.0
4,Donald Parham Jr. (LAC),3.0,3.0,22.0,7.3,16.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,11.2,11.2,4.7%,1.0
5,Evan Engram (JAC),5.0,5.0,49.0,9.8,26.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,9.9,9.9,92.8%,1.0
6,Cole Kmet (CHI),5.0,7.0,44.0,8.8,15.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,9.4,9.4,86.1%,1.0
7,Blake Bell (KC),2.0,3.0,12.0,6.0,8.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,9.2,9.2,0.1%,1.0
8,Sam LaPorta (DET),5.0,5.0,39.0,7.8,14.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,8.9,8.9,96.3%,1.0
9,Harrison Bryant (CLE),2.0,2.0,5.0,2.5,3.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,8.5,8.5,0.1%,1.0
10,Adam Trautman (DEN),5.0,5.0,34.0,6.8,15.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,8.4,8.4,0.4%,1.0
11,Logan Thomas (WAS),4.0,8.0,43.0,10.8,19.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,8.3,8.3,61.3%,1.0
12,Zach Ertz (ARI),6.0,10.0,21.0,3.5,6.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,8.1,8.1,17.7%,1.0
13,Luke Musgrave (GB),3.0,4.0,50.0,16.7,37.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,8.0,8.0,29.2%,1.0
14,Kylen Granson (IND),4.0,6.0,39.0,9.8,14.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7.9,7.9,0.8%,1.0
15,Tyler Higbee (LAR),3.0,3.0,49.0,16.3,30.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,7.9,7.9,40.8%,1.0
16,Durham Smythe (MIA),3.0,7.0,44.0,14.7,18.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7.4,7.4,0.5%,1.0
17,Pat Freiermuth (PIT),1.0,4.0,3.0,3.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,7.3,7.3,43.8%,1.0
18,Juwan Johnson (NO),3.0,5.0,36.0,12.0,27.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,6.6,6.6,8.6%,1.0
19,Darren Waller (NYG),3.0,5.0,36.0,12.0,22.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,6.6,6.6,65.1%,1.0
20,Dalton Kincaid (BUF),4.0,4.0,26.0,6.5,9.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.6,6.6,93.4%,1.0
21,Mike Gesicki (NE),3.0,3.0,36.0,12.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.6,6.6,3.5%,1.0
22,Kyle Pitts (ATL),2.0,3.0,44.0,22.0,34.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,6.4,6.4,83.4%,1.0
23,Josh Oliver (MIN),3.0,3.0,32.0,10.7,18.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.2,6.2,0.2%,1.0
24,Noah Gray (KC),3.0,5.0,31.0,10.3,24.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,6.1,6.1,1.1%,1.0
25,Dawson Knox (BUF),3.0,4.0,25.0,8.3,15.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.5,5.5,5.7%,1.0
26,George Kittle (SF),3.0,6.0,19.0,6.3,11.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.9,4.9,99.4%,1.0
27,Irv Smith Jr. (CIN),3.0,5.0,17.0,5.7,8.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.7,4.7,4.0%,1.0
28,David Njoku (CLE),2.0,3.0,24.0,12.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.4,4.4,85.4%,1.0
29,Trey McBride (ARI),2.0,2.0,23.0,11.5,13.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.3,4.3,76.8%,1.0
30,Gerald Everett (LAC),2.0,3.0,21.0,10.5,11.0,0.0,0.0,1.0,2.0,0.0,0.0,1.0,4.3,4.3,21.8%,1.0
31,Greg Dulcich (DEN),2.0,2.0,22.0,11.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.2,4.2,6.5%,1.0
32,Connor Heyward (PIT),2.0,4.0,19.0,9.5,11.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.9,3.9,0.7%,1.0
33,Cade Otton (TB),2.0,3.0,19.0,9.5,13.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.9,3.9,26.1%,1.0
34,Brock Wright (DET),2.0,2.0,17.0,8.5,9.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.7,3.7,0.1%,1.0
35,Will Dissly (SEA),2.0,2.0,17.0,8.5,10.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.7,3.7,0.2%,1.0
36,Brycen Hopkins (LAR),1.0,2.0,21.0,21.0,21.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,3.1,3.1,0.0%,1.0
37,Jake Ferguson (DAL),2.0,7.0,11.0,5.5,9.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.1,3.1,82.4%,1.0
38,Andrew Ogletree (IND),1.0,2.0,20.0,20.0,20.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,3.0,0.1%,1.0
39,Austin Hooper (LV),1.0,1.0,20.0,20.0,20.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,3.0,0.3%,1.0
40,Cole Turner (WAS),1.0,2.0,17.0,17.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.7,2.7,0.0%,1.0
41,Dalton Schultz (HOU),2.0,4.0,4.0,2.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.4,2.4,90.3%,1.0
42,Jordan Akins (CLE),1.0,1.0,12.0,12.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.2,2.2,0.0%,1.0
43,Teagan Quitoriano (HOU),1.0,1.0,11.0,11.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.1,2.1,0.0%,1.0
