RANK,PLAYER,REC,TGT,YDS,Y/R,LG,20+,TD,ATT,YDS,TD,FL,G,FPTS,FPTS/G,ROST,WEEK
1,Sam LaPorta (DET),8.0,11.0,84.0,10.5,45.0,3.0,1.0,0.0,0.0,0.0,0.0,1.0,22.4,22.4,96.3%,3.0
2,Travis Kelce (KC),7.0,8.0,69.0,9.9,24.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,19.9,19.9,100.0%,3.0
3,George Kittle (SF),7.0,9.0,90.0,12.9,29.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,16.0,16.0,99.4%,3.0
4,Pharaoh Brown (NE),2.0,2.0,71.0,35.5,58.0,4.0,1.0,0.0,0.0,0.0,0.0,1.0,15.1,15.1,0.0%,3.0
5,Donald Parham Jr. (LAC),2.0,2.0,4.0,2.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,14.4,14.4,4.7%,3.0
6,T.J. Hockenson (MIN),8.0,11.0,78.0,9.8,21.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,13.8,13.8,99.9%,3.0
7,Evan Engram (JAC),7.0,8.0,67.0,9.6,28.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,13.7,13.7,92.8%,3.0
8,Pat Freiermuth (PIT),3.0,4.0,41.0,13.7,14.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,13.1,13.1,43.8%,3.0
9,Tyler Higbee (LAR),5.0,5.0,71.0,14.2,22.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,12.1,12.1,40.8%,3.0
10,Luke Musgrave (GB),6.0,8.0,49.0,8.2,12.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,10.9,10.9,29.2%,3.0
11,Jake Ferguson (DAL),5.0,7.0,48.0,9.6,12.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,9.8,9.8,82.4%,3.0
12,Brevin Jordan (HOU),2.0,2.0,13.0,6.5,9.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,9.3,9.3,0.0%,3.0
13,Dallas Goedert (PHI),5.0,7.0,41.0,8.2,13.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,9.1,9.1,79.2%,3.0
14,Gerald Everett (LAC),6.0,6.0,30.0,5.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,9.0,9.0,21.8%,3.0
