Rank,Player,REC,TGT,YDS,Y/R,LG,20+,TD,ATT,YDS.1,TD.1,FL,G,FPTS,FPTS/G,ROST,Team,Week,Year
1,Jaylen Waddle,9,10,137,15.2,57,2,1,0,0,0,0,1,28.7,28.7,97.7%,MIA,12,2021
2,Tee Higgins,6,8,114,19.0,32,1,1,0,0,0,0,1,23.4,23.4,95.7%,CIN,12,2021
3,Adam Thielen,5,7,62,12.4,29,2,2,0,0,0,0,1,23.2,23.2,46.2%,CAR,12,2021
4,Kendrick Bourne,5,6,61,12.2,41,1,2,0,0,0,0,1,23.1,23.1,4.6%,NE,12,2021
5,Hunter Renfrow,8,9,134,16.8,54,2,0,1,2,0,0,1,21.6,21.6,0.1%,FA,12,2021
6,Deebo Samuel Sr.,1,4,12,12.0,12,0,0,6,66,2,0,1,20.8,20.8,99.5%,SF,12,2021
7,Stefon Diggs,7,9,74,10.6,28,1,1,0,0,0,0,1,20.4,20.4,98.6%,HOU,12,2021
8,DeSean Jackson,3,4,102,34.0,56,2,1,0,0,0,0,1,19.2,19.2,0.6%,FA,12,2021
9,Odell Beckham Jr.,5,10,81,16.2,54,1,1,0,0,0,0,1,19.1,19.1,4.8%,MIA,12,2021
10,Cooper Kupp,7,10,96,13.7,22,1,0,0,0,0,0,1,18.6,18.6,98.6%,LAR,12,2021
11,Diontae Johnson,9,14,95,10.6,16,0,0,0,0,0,0,1,18.5,18.5,90.7%,CAR,12,2021
12,Davante Adams,8,9,104,13.0,43,1,0,0,0,0,0,1,18.4,18.4,99.8%,LV,12,2021
13,Van Jefferson,3,9,93,31.0,79,1,1,0,0,0,0,1,18.3,18.3,0.9%,PIT,12,2021
14,Russell Gage,6,7,62,10.3,15,0,1,0,0,0,0,1,18.2,18.2,0.0%,FA,12,2021
15,Randall Cobb,4,5,95,23.8,54,2,1,0,0,0,1,1,17.5,17.5,0.0%,FA,12,2021
16,Darnell Mooney,5,8,123,24.6,52,2,0,1,2,0,0,1,17.5,17.5,40.2%,ATL,12,2021
17,Cedrick Wilson Jr.,7,10,104,14.9,51,1,0,0,0,0,0,1,17.4,17.4,0.1%,NO,12,2021
18,Josh Reynolds,3,5,70,23.3,39,1,1,0,0,0,0,1,16.0,16.0,1.2%,DEN,12,2021
19,Michael Gallup,5,8,106,21.2,41,2,0,0,0,0,0,1,15.6,15.6,0.1%,FA,12,2021
20,Keenan Allen,7,10,85,12.1,24,1,0,0,0,0,0,1,15.5,15.5,93.1%,CHI,12,2021
21,Jarvis Landry,6,10,111,18.5,38,2,0,0,0,0,1,1,15.1,15.1,14.0%,FA,12,2021
22,Jakobi Meyers,5,8,98,19.6,38,3,0,0,0,0,0,1,14.8,14.8,61.4%,LV,12,2021
23,DJ Moore,4,10,103,25.8,64,1,0,0,0,0,0,1,14.3,14.3,98.5%,CHI,12,2021
24,Brandin Cooks,3,5,45,15.0,40,1,1,0,0,0,0,1,13.5,13.5,30.9%,DAL,12,2021
25,Justin Jefferson,4,9,83,20.8,30,2,0,0,0,0,0,1,13.3,13.3,100.0%,MIN,12,2021
26,Ashton Dulin,1,1,62,62.0,62,1,1,0,0,0,0,1,13.2,13.2,0.0%,IND,12,2021
27,Marquise Brown,8,10,51,6.4,11,0,0,0,0,0,0,1,13.1,13.1,76.0%,KC,12,2021
28,T.Y. Hilton,4,5,28,7.0,10,0,1,0,0,0,0,1,12.8,12.8,3.0%,FA,12,2021
29,Tyler Lockett,3,5,96,32.0,55,2,0,0,0,0,0,1,12.6,12.6,67.6%,SEA,12,2021
30,Brandon Aiyuk,3,6,91,30.3,37,3,0,1,4,0,0,1,12.5,12.5,99.4%,SF,12,2021
31,Zay Jones,5,7,59,11.8,35,1,0,1,4,0,0,1,11.3,11.3,1.3%,ARI,12,2021
32,Noah Brown,6,9,53,8.8,15,0,0,0,0,0,0,1,11.3,11.3,0.7%,WAS,12,2021
33,Chase Claypool,3,8,82,27.3,41,2,0,0,0,0,0,1,11.2,11.2,0.1%,FA,12,2021
34,Nick Westbrook-Ikhine,2,6,25,12.5,24,1,1,0,0,0,0,1,10.5,10.5,0.1%,TEN,12,2021
35,Jauan Jennings,2,3,24,12.0,21,1,1,0,0,0,0,1,10.4,10.4,0.7%,SF,12,2021
36,Freddie Swain,1,2,32,32.0,32,1,1,0,0,0,0,1,10.2,10.2,0.0%,FA,12,2021
37,Tavon Austin,2,2,21,10.5,14,0,1,0,0,0,0,1,10.1,10.1,0.1%,FA,12,2021
38,Cole Beasley,5,5,46,9.2,14,0,0,0,0,0,0,1,9.6,9.6,0.0%,FA,12,2021
39,Laquon Treadwell,4,8,53,13.3,20,1,0,0,0,0,0,1,9.3,9.3,0.0%,IND,12,2021
40,Elijah Moore,4,8,46,11.5,22,1,0,1,7,0,0,1,9.3,9.3,1.4%,CLE,12,2021
41,Michael Pittman Jr.,4,10,53,13.3,23,1,0,0,0,0,0,1,9.3,9.3,98.6%,IND,12,2021
42,Terry McLaurin,4,7,51,12.8,20,1,0,0,0,0,0,1,9.1,9.1,93.6%,WAS,12,2021
43,Marquez Valdes-Scantling,4,9,50,12.5,28,1,0,0,0,0,0,1,9.0,9.0,0.2%,BUF,12,2021
44,DeAndre Carter,4,5,42,10.5,16,0,0,1,4,0,0,1,8.6,8.6,0.0%,CHI,12,2021
45,Laviska Shenault Jr.,5,9,33,6.6,24,1,0,0,0,0,0,1,8.3,8.3,0.1%,SEA,12,2021
46,Marvin Jones Jr.,4,7,43,10.8,21,1,0,0,0,0,0,1,8.3,8.3,0.0%,FA,12,2021
47,Damiere Byrd,4,5,42,10.5,19,0,0,0,0,0,0,1,8.2,8.2,0.0%,FA,12,2021
48,Kenny Golladay,3,7,50,16.7,18,0,0,0,0,0,0,1,8.0,8.0,4.0%,FA,12,2021
49,Mike Williams,4,8,39,9.8,13,0,0,0,0,0,0,1,7.9,7.9,57.9%,NYJ,12,2021
50,Lil'Jordan Humphrey,3,5,47,15.7,24,1,0,0,0,0,0,1,7.7,7.7,0.0%,DEN,12,2021
51,Tre'Quan Smith,4,5,31,7.8,14,0,0,0,0,0,0,1,7.1,7.1,0.1%,DET,12,2021
52,Rashod Bateman,4,4,31,7.8,13,0,0,0,0,0,0,1,7.1,7.1,10.1%,BAL,12,2021
53,Ja'Marr Chase,3,3,39,13.0,16,0,0,0,0,0,0,1,6.9,6.9,100.0%,CIN,12,2021
54,Gabe Davis,2,3,47,23.5,26,2,0,0,0,0,0,1,6.7,6.7,42.9%,JAC,12,2021
55,Albert Wilson,5,6,17,3.4,6,0,0,0,0,0,0,1,6.7,6.7,0.0%,FA,12,2021
56,Braxton Berrios,2,3,47,23.5,46,1,0,0,0,0,0,1,6.7,6.7,0.4%,MIA,12,2021
57,Amon-Ra St. Brown,4,4,23,5.8,11,0,0,0,0,0,0,1,6.3,6.3,100.0%,DET,12,2021
58,Emmanuel Sanders,3,3,28,9.3,17,0,0,0,0,0,0,1,5.8,5.8,0.0%,FA,12,2021
59,Darius Slayton,3,4,40,13.3,18,0,0,1,-13,0,0,1,5.7,5.7,2.5%,NYG,12,2021
60,Danny Amendola,3,5,23,7.7,11,0,0,0,0,0,0,1,5.3,5.3,0.0%,FA,12,2021
61,Jalen Reagor,2,7,31,15.5,21,1,0,0,0,0,0,1,5.1,5.1,0.0%,NE,12,2021
62,Nelson Agholor,3,3,20,6.7,10,0,0,0,0,0,0,1,5.0,5.0,0.6%,BAL,12,2021
63,John Ross,2,2,28,14.0,19,0,0,0,0,0,0,1,4.8,4.8,0.0%,FA,12,2021
64,Nico Collins,2,5,28,14.0,20,1,0,0,0,0,0,1,4.8,4.8,98.9%,HOU,12,2021
65,Chris Godwin,4,5,24,6.0,9,0,0,1,3,0,1,1,4.7,4.7,92.8%,TB,12,2021
66,Quez Watkins,2,5,23,11.5,19,0,0,1,3,0,0,1,4.6,4.6,0.0%,PIT,12,2021
67,Tim Patrick,2,3,26,13.0,19,0,0,0,0,0,0,1,4.6,4.6,0.9%,DET,12,2021
68,Kalif Raymond,3,4,16,5.3,17,0,0,0,0,0,0,1,4.6,4.6,0.7%,DET,12,2021
69,Mike Evans,3,6,16,5.3,9,0,0,0,0,0,0,1,4.6,4.6,99.7%,TB,12,2021
70,Joshua Palmer,2,2,25,12.5,18,0,0,0,0,0,0,1,4.5,4.5,45.7%,LAC,12,2021
71,Jerry Jeudy,2,3,25,12.5,13,0,0,0,0,0,0,1,4.5,4.5,57.0%,CLE,12,2021
72,Jakeem Grant Sr.,2,4,25,12.5,13,0,0,1,0,0,0,1,4.5,4.5,0.0%,FA,12,2021
73,Keelan Cole Sr.,2,2,24,12.0,13,0,0,0,0,0,0,1,4.4,4.4,0.0%,FA,12,2021
74,Marquez Callaway,2,4,24,12.0,17,0,0,0,0,0,0,1,4.4,4.4,0.0%,FA,12,2021
75,Jalen Guyton,2,3,23,11.5,15,0,0,0,0,0,0,1,4.3,4.3,0.0%,LV,12,2021
76,Tajae Sharpe,2,3,22,11.0,13,0,0,0,0,0,0,1,4.2,4.2,0.0%,FA,12,2021
77,Cody Hollister,2,4,22,11.0,14,0,0,0,0,0,0,1,4.2,4.2,0.0%,FA,12,2021
78,DeVonta Smith,2,4,22,11.0,14,0,0,0,0,0,0,1,4.2,4.2,98.0%,PHI,12,2021
79,Ja'Marcus Bradley,2,2,18,9.0,10,0,0,0,0,0,0,1,3.8,3.8,0.0%,FA,12,2021
80,Courtland Sutton,2,3,17,8.5,12,0,0,0,0,0,0,1,3.7,3.7,84.8%,DEN,12,2021
81,Adam Humphries,2,2,14,7.0,8,0,0,0,0,0,0,1,3.4,3.4,0.0%,FA,12,2021
82,Brandon Zylstra,1,2,24,24.0,24,1,0,0,0,0,0,1,3.4,3.4,0.0%,FA,12,2021
83,Tyler Boyd,2,2,13,6.5,9,0,0,0,0,0,0,1,3.3,3.3,5.3%,TEN,12,2021
84,Allen Lazard,2,6,13,6.5,7,0,0,0,0,0,0,1,3.3,3.3,0.8%,NYJ,12,2021
85,Donovan Peoples-Jones,2,5,10,5.0,6,0,0,0,0,0,0,1,3.0,3.0,0.1%,DET,12,2021
86,Dee Eskridge,2,3,10,5.0,9,0,0,0,0,0,0,1,3.0,3.0,0.0%,MIA,12,2021
87,Robbie Chosen,1,4,15,15.0,15,0,0,0,0,0,0,1,2.5,2.5,0.0%,MIA,12,2021
88,Devin Duvernay,1,2,2,2.0,2,0,0,1,13,0,0,1,2.5,2.5,0.1%,JAC,12,2021
89,Dez Fitzpatrick,1,1,14,14.0,14,0,0,0,0,0,0,1,2.4,2.4,0.0%,FA,12,2021
90,Curtis Samuel,1,1,9,9.0,9,0,0,1,4,0,0,1,2.3,2.3,55.7%,BUF,12,2021
91,DK Metcalf,1,4,13,13.0,13,0,0,0,0,0,0,1,2.3,2.3,99.1%,SEA,12,2021
92,J.J. Arcega-Whiteside,1,1,13,13.0,13,0,0,0,0,0,0,1,2.3,2.3,0.0%,FA,12,2021
93,Alex Erickson,1,1,13,13.0,13,0,0,0,0,0,0,1,2.3,2.3,0.0%,FA,12,2021
94,Bryan Edwards,1,1,12,12.0,12,0,0,0,0,0,0,1,2.2,2.2,0.0%,FA,12,2021
95,Isaiah Ford,1,2,11,11.0,11,0,0,0,0,0,0,1,2.1,2.1,0.0%,FA,12,2021
96,Deonte Harty,1,5,9,9.0,9,0,0,0,0,0,0,1,1.9,1.9,0.1%,BAL,12,2021
97,Tyler Johnson,1,1,9,9.0,9,0,0,0,0,0,0,1,1.9,1.9,0.0%,LAR,12,2021
98,Pharoh Cooper,1,2,6,6.0,6,0,0,1,3,0,0,1,1.9,1.9,0.0%,FA,12,2021
99,Sammy Watkins,1,1,8,8.0,8,0,0,0,0,0,0,1,1.8,1.8,0.0%,FA,12,2021
100,Equanimeous St. Brown,1,2,7,7.0,7,0,0,0,0,0,0,1,1.7,1.7,0.1%,NO,12,2021
101,K.J. Osborn,1,2,5,5.0,5,0,0,0,0,0,0,1,1.5,1.5,0.6%,NE,12,2021
102,Jamison Crowder,1,1,5,5.0,5,0,0,0,0,0,0,1,1.5,1.5,0.1%,WAS,12,2021
103,Olamide Zaccheaus,1,2,5,5.0,5,0,0,0,0,0,0,1,1.5,1.5,0.1%,WAS,12,2021
104,Trent Sherfield Sr.,1,1,5,5.0,5,0,0,0,0,0,0,1,1.5,1.5,0.0%,MIN,12,2021
105,Preston Williams,1,1,4,4.0,4,0,0,0,0,0,0,1,1.4,1.4,0.0%,FA,12,2021
106,James Washington,1,2,3,3.0,3,0,0,0,0,0,0,1,1.3,1.3,0.0%,FA,12,2021
107,Anthony Miller,1,1,2,2.0,2,0,0,0,0,0,0,1,1.2,1.2,0.0%,BAL,12,2021
108,Zach Pascal,2,7,12,6.0,9,0,0,0,0,0,1,1,1.2,1.2,0.0%,ARI,12,2021
109,Chester Rogers,1,3,2,2.0,2,0,0,0,0,0,0,1,1.2,1.2,0.0%,FA,12,2021
110,Chris Moore,1,1,-4,-4.0,0,0,0,0,0,0,0,1,0.6,0.6,0.0%,ARI,12,2021
111,Frank Darby,0,0,0,0.0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%,FA,12,2021
112,Jaelon Darden,0,0,0,0.0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%,CLE,12,2021
113,Gunner Olszewski,0,0,0,0.0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%,NYG,12,2021
114,Stanley Morgan Jr.,0,1,0,0.0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%,FA,12,2021
115,Scotty Miller,0,1,0,0.0,0,0,0,0,0,0,0,1,0.0,0.0,0.1%,PIT,12,2021
116,Marquez Stevenson,0,0,0,0.0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%,FA,12,2021
117,Amari Rodgers,0,0,0,0.0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%,FA,12,2021
118,Kendall Hinton,0,1,0,0.0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%,FA,12,2021
119,Tylan Wallace,0,1,0,0.0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%,BAL,12,2021
120,Isaiah Coulter,0,1,0,0.0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%,FA,12,2021
121,Matt Cole,0,0,0,0.0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%,FA,12,2021
122,Michael Bandy,0,0,0,0.0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%,DEN,12,2021
123,Marquise Goodwin,0,1,0,0.0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%,FA,12,2021
124,John Brown,0,1,0,0.0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%,FA,12,2021
125,Andre Roberts,0,0,0,0.0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%,FA,12,2021
126,JoJo Natson,0,0,0,0.0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%,FA,12,2021
127,Greg Ward,0,1,0,0.0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%,FA,12,2021
128,Dede Westbrook,0,0,0,0.0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%,FA,12,2021
129,Mack Hollins,0,1,0,0.0,0,0,0,0,0,0,0,1,0.0,0.0,0.1%,BUF,12,2021
130,Cam Sims,0,0,0,0.0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%,FA,12,2021
131,KhaDarel Hodge,0,0,0,0.0,0,0,0,0,0,0,0,1,0.0,0.0,0.1%,ATL,12,2021
132,Ty Montgomery II,5,7,31,6.2,13,0,0,6,14,0,0,1,0.0,0.0,0.0%,FA,12,2021
133,Diontae Spencer,0,0,0,0.0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%,FA,12,2021
134,Mike Thomas,0,1,0,0.0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%,FA,12,2021
135,Jaydon Mickens,0,0,0,0.0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%,FA,12,2021
136,J.J. Koski,0,0,0,0.0,0,0,0,0,0,0,1,1,-2.0,-2.0,0.0%,FA,12,2021
