RANK,PLAYER,REC,TGT,YDS,Y/R,LG,20+,TD,ATT,YDS,TD,FL,G,FPTS,FPTS/G,ROST,WEEK
1,CeeDee Lamb (DAL),12.0,14.0,158.0,13.2,26.0,4.0,2.0,1.0,12.0,0.0,0.0,1.0,41.0,41.0,100.0%,8.0
2,DeAndre Hopkins (TEN),4.0,6.0,128.0,32.0,61.0,7.0,3.0,0.0,0.0,0.0,0.0,1.0,34.8,34.8,95.8%,8.0
3,A.J. Brown (PHI),8.0,8.0,130.0,16.3,25.0,3.0,2.0,0.0,0.0,0.0,0.0,1.0,33.0,33.0,100.0%,8.0
4,Tyreek Hill (MIA),8.0,13.0,112.0,14.0,42.0,4.0,1.0,0.0,0.0,0.0,0.0,1.0,25.2,25.2,100.0%,8.0
5,Ja'Marr Chase (CIN),10.0,12.0,100.0,10.0,20.0,1.0,1.0,2.0,-8.0,0.0,0.0,1.0,25.2,25.2,100.0%,8.0
6,Jaylen Waddle (MIA),7.0,12.0,121.0,17.3,31.0,3.0,1.0,0.0,0.0,0.0,0.0,1.0,25.1,25.1,99.4%,8.0
7,Jahan Dotson (WAS),8.0,10.0,108.0,13.5,23.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,24.8,24.8,66.7%,8.0
8,Rashid Shaheed (NO),3.0,3.0,153.0,51.0,58.0,11.0,1.0,0.0,0.0,0.0,0.0,1.0,24.3,24.3,38.2%,8.0
9,Gabe Davis (BUF),9.0,12.0,87.0,9.7,16.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,23.7,23.7,82.3%,8.0
10,DeVonta Smith (PHI),7.0,7.0,99.0,14.1,38.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,22.9,22.9,98.3%,8.0
11,Jamison Crowder (WAS),7.0,7.0,95.0,13.6,26.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,22.5,22.5,0.6%,8.0
12,Tyler Lockett (SEA),8.0,9.0,81.0,10.1,17.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,22.1,22.1,92.9%,8.0
13,Jordan Addison (MIN),7.0,8.0,82.0,11.7,20.0,2.0,1.0,1.0,2.0,0.0,0.0,1.0,21.4,21.4,91.8%,8.0
14,Michael Pittman Jr. (IND),8.0,13.0,40.0,5.0,10.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,18.0,18.0,94.8%,8.0
15,K.J. Osborn (MIN),8.0,10.0,99.0,12.4,32.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,17.9,17.9,31.2%,8.0
