RANK,PLAYER,REC,TGT,YDS,Y/R,LG,20+,TD,ATT,YDS,TD,FL,G,FPTS,FPTS/G,ROST,WEEK
1,Keenan Allen (LAC),8.0,10.0,111.0,13.9,42.0,3.0,2.0,0.0,0.0,0.0,0.0,1.0,31.1,31.1,99.4%,2.0
2,Puka Nacua (LAR),15.0,20.0,147.0,9.8,20.0,1.0,0.0,2.0,4.0,0.0,0.0,1.0,30.1,30.1,95.5%,2.0
3,Mike Evans (TB),6.0,8.0,171.0,28.5,70.0,9.0,1.0,0.0,0.0,0.0,0.0,1.0,29.1,29.1,97.1%,2.0
4,Tee Higgins (CIN),8.0,12.0,89.0,11.1,20.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,28.9,28.9,92.1%,2.0
5,Nico Collins (HOU),7.0,9.0,146.0,20.9,32.0,6.0,1.0,0.0,0.0,0.0,0.0,1.0,27.6,27.6,87.8%,2.0
6,Tyler Lockett (SEA),8.0,10.0,59.0,7.4,12.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,25.9,25.9,92.9%,2.0
7,CeeDee Lamb (DAL),11.0,13.0,143.0,13.0,31.0,5.0,0.0,0.0,0.0,0.0,0.0,1.0,25.3,25.3,100.0%,2.0
8,Justin Jefferson (MIN),11.0,13.0,159.0,14.5,30.0,5.0,0.0,0.0,0.0,0.0,1.0,1.0,24.9,24.9,99.4%,2.0
9,Josh Reynolds (DET),5.0,6.0,66.0,13.2,22.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,23.6,23.6,14.5%,2.0
10,DeVonta Smith (PHI),4.0,5.0,131.0,32.8,63.0,8.0,1.0,0.0,0.0,0.0,0.0,1.0,23.1,23.1,98.3%,2.0
11,George Pickens (PIT),4.0,10.0,127.0,31.8,71.0,6.0,1.0,0.0,0.0,0.0,0.0,1.0,22.7,22.7,84.5%,2.0
12,Deebo Samuel (SF),6.0,9.0,63.0,10.5,23.0,1.0,0.0,5.0,38.0,1.0,0.0,1.0,22.1,22.1,97.9%,2.0
13,Christian Kirk (JAC),11.0,14.0,110.0,10.0,45.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,22.0,22.0,91.6%,2.0
14,Gabe Davis (BUF),6.0,7.0,92.0,15.3,40.0,3.0,1.0,0.0,0.0,0.0,0.0,1.0,21.2,21.2,82.3%,2.0
15,Brandon Johnson (DEN),2.0,3.0,66.0,33.0,50.0,4.0,2.0,0.0,0.0,0.0,0.0,1.0,20.6,20.6,0.1%,2.0
