RANK,PLAYER,REC,TGT,YDS,Y/R,LG,20+,TD,ATT,YDS,TD,FL,G,FPTS,FPTS/G,ROST,WEEK
1,Jordan Addison (MIN),7.0,10.0,123.0,17.6,60.0,5.0,2.0,0.0,0.0,0.0,0.0,1.0,31.3,31.3,91.8%,7.0
2,A.J. Brown (PHI),10.0,15.0,137.0,13.7,42.0,5.0,1.0,0.0,0.0,0.0,0.0,1.0,29.7,29.7,100.0%,7.0
3,Tyreek Hill (MIA),11.0,15.0,88.0,8.0,27.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,25.8,25.8,100.0%,7.0
4,Josh Downs (IND),5.0,6.0,125.0,25.0,59.0,7.0,1.0,0.0,0.0,0.0,0.0,1.0,23.5,23.5,50.8%,7.0
5,Puka Nacua (LAR),8.0,12.0,154.0,19.3,36.0,8.0,0.0,0.0,0.0,0.0,0.0,1.0,23.4,23.4,95.5%,7.0
6,Amon-Ra St. Brown (DET),13.0,19.0,102.0,7.8,15.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,23.2,23.2,100.0%,7.0
7,Mike Evans (TB),6.0,8.0,82.0,13.7,40.0,3.0,1.0,0.0,0.0,0.0,0.0,1.0,20.2,20.2,97.1%,7.0
8,Courtland Sutton (DEN),6.0,6.0,76.0,12.7,33.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,19.6,19.6,83.4%,7.0
9,Christian Kirk (JAC),6.0,6.0,90.0,15.0,44.0,3.0,1.0,0.0,0.0,0.0,1.0,1.0,19.0,19.0,91.6%,7.0
10,Joshua Palmer (LAC),5.0,7.0,133.0,26.6,60.0,6.0,0.0,0.0,0.0,0.0,0.0,1.0,18.3,18.3,26.4%,7.0
11,Jakobi Meyers (LV),7.0,13.0,50.0,7.1,15.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,18.0,18.0,81.6%,7.0
12,Stefon Diggs (BUF),6.0,12.0,58.0,9.7,25.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,17.8,17.8,100.0%,7.0
13,Marquez Valdes-Scantling (KC),3.0,5.0,84.0,28.0,46.0,4.0,1.0,0.0,0.0,0.0,0.0,1.0,17.4,17.4,4.3%,7.0
14,Rashee Rice (KC),5.0,6.0,60.0,12.0,37.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,17.0,17.0,60.2%,7.0
15,Kendrick Bourne (NE),6.0,7.0,63.0,10.5,33.0,2.0,1.0,0.0,0.0,0.0,1.0,1.0,16.3,16.3,6.7%,7.0
16,Michael Pittman Jr. (IND),2.0,5.0,83.0,41.5,75.0,4.0,1.0,0.0,0.0,0.0,0.0,1.0,16.3,16.3,94.8%,7.0
17,Jaxon Smith-Njigba (SEA),4.0,7.0,63.0,15.8,28.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,16.3,16.3,60.6%,7.0
18,Jake Bobo (SEA),4.0,5.0,61.0,15.3,31.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,16.1,16.1,0.8%,7.0
19,George Pickens (PIT),5.0,8.0,107.0,21.4,31.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,15.7,15.7,84.5%,7.0
20,Terry McLaurin (WAS),6.0,9.0,90.0,15.0,31.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,15.0,15.0,94.1%,7.0
21,DJ Moore (CHI),8.0,9.0,54.0,6.8,15.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,13.4,13.4,97.2%,7.0
22,Michael Thomas (NO),3.0,7.0,42.0,14.0,17.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,13.2,13.2,57.7%,7.0
23,Diontae Johnson (PIT),5.0,6.0,79.0,15.8,39.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,12.9,12.9,84.4%,7.0
24,Davante Adams (LV),7.0,12.0,57.0,8.1,15.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,12.7,12.7,100.0%,7.0
25,Chris Olave (NO),7.0,15.0,57.0,8.1,14.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,12.7,12.7,98.3%,7.0
26,Chris Godwin (TB),6.0,12.0,66.0,11.0,33.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,12.6,12.6,92.0%,7.0
27,Jaylen Waddle (MIA),6.0,6.0,63.0,10.5,16.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,12.3,12.3,99.4%,7.0
28,Zay Flowers (BAL),4.0,6.0,75.0,18.8,46.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,11.5,11.5,86.7%,7.0
29,Demario Douglas (NE),4.0,6.0,54.0,13.5,19.0,0.0,0.0,1.0,20.0,0.0,0.0,1.0,11.4,11.4,31.2%,7.0
30,Jerry Jeudy (DEN),5.0,5.0,64.0,12.8,18.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,11.4,11.4,70.4%,7.0
31,Drake London (ATL),6.0,7.0,54.0,9.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,11.4,11.4,84.2%,7.0
32,Jayden Reed (GB),3.0,4.0,21.0,7.0,12.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,11.1,11.1,35.9%,7.0
33,Romeo Doubs (GB),2.0,5.0,30.0,15.0,16.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,11.0,11.0,48.7%,7.0
34,Brandon Powell (MIN),4.0,5.0,64.0,16.0,27.0,1.0,0.0,1.0,5.0,0.0,0.0,1.0,10.9,10.9,2.1%,7.0
35,Brandon Aiyuk (SF),5.0,6.0,57.0,11.4,25.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,10.7,10.7,97.5%,7.0
36,Jauan Jennings (SF),5.0,9.0,54.0,10.8,18.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,10.4,10.4,0.8%,7.0
37,Tutu Atwell (LAR),1.0,2.0,31.0,31.0,31.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,10.1,10.1,26.1%,7.0
38,Odell Beckham Jr. (BAL),5.0,7.0,49.0,9.8,20.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,9.9,9.9,48.2%,7.0
39,Elijah Moore (CLE),4.0,7.0,59.0,14.8,30.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,9.9,9.9,39.1%,7.0
40,K.J. Osborn (MIN),5.0,6.0,47.0,9.4,18.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,9.7,9.7,31.2%,7.0
41,Keenan Allen (LAC),4.0,9.0,55.0,13.8,26.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,9.5,9.5,99.4%,7.0
42,Jalin Hyatt (NYG),2.0,5.0,75.0,37.5,42.0,5.0,0.0,0.0,0.0,0.0,0.0,1.0,9.5,9.5,2.4%,7.0
43,Jahan Dotson (WAS),5.0,8.0,43.0,8.6,10.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,9.3,9.3,66.7%,7.0
44,DeVonta Smith (PHI),4.0,5.0,49.0,12.3,25.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,8.9,8.9,98.3%,7.0
45,Alec Pierce (IND),3.0,3.0,53.0,17.7,32.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,8.3,8.3,1.3%,7.0
46,Nelson Agholor (BAL),1.0,1.0,12.0,12.0,12.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,8.2,8.2,0.7%,7.0
47,Marquise Brown (ARI),3.0,7.0,49.0,16.3,21.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,7.9,7.9,90.0%,7.0
48,Tyler Lockett (SEA),4.0,5.0,38.0,9.5,15.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7.8,7.8,92.9%,7.0
49,Jamal Agnew (JAC),4.0,6.0,36.0,9.0,14.0,0.0,0.0,1.0,-1.0,0.0,0.0,1.0,7.5,7.5,0.2%,7.0
50,Khalil Shakir (BUF),4.0,4.0,35.0,8.8,13.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7.5,7.5,10.8%,7.0
51,Darnell Mooney (CHI),4.0,5.0,32.0,8.0,11.0,0.0,0.0,1.0,2.0,0.0,0.0,1.0,7.4,7.4,20.0%,7.0
52,Rashid Shaheed (NO),4.0,8.0,28.0,7.0,12.0,0.0,0.0,1.0,4.0,0.0,0.0,1.0,7.2,7.2,38.2%,7.0
53,Cooper Kupp (LAR),2.0,7.0,29.0,14.5,24.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,6.9,6.9,99.9%,7.0
54,Cedrick Wilson Jr. (MIA),2.0,3.0,48.0,24.0,29.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,6.8,6.8,0.2%,7.0
55,Curtis Samuel (WAS),4.0,8.0,25.0,6.3,18.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.5,6.5,32.7%,7.0
56,Josh Reynolds (DET),2.0,3.0,43.0,21.5,22.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,6.3,6.3,14.5%,7.0
57,Christian Watson (GB),3.0,5.0,27.0,9.0,23.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,5.7,5.7,68.0%,7.0
58,Scott Miller (ATL),1.0,1.0,46.0,46.0,46.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,5.6,5.6,0.0%,7.0
59,Michael Wilson (ARI),3.0,5.0,26.0,8.7,11.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.6,5.6,9.0%,7.0
60,Rashod Bateman (BAL),2.0,3.0,36.0,18.0,20.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,5.6,5.6,10.5%,7.0
61,Tyler Scott (CHI),2.0,3.0,19.0,9.5,13.0,0.0,0.0,2.0,14.0,0.0,0.0,1.0,5.3,5.3,0.1%,7.0
62,Rondale Moore (ARI),2.0,4.0,2.0,1.0,4.0,0.0,0.0,4.0,24.0,0.0,0.0,1.0,4.6,4.6,26.0%,7.0
63,Amari Cooper (CLE),2.0,8.0,22.0,11.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.2,4.2,96.1%,7.0
64,Donovan Peoples-Jones (DET),2.0,3.0,22.0,11.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.2,4.2,2.9%,7.0
65,Ray-Ray McCloud III (SF),2.0,3.0,20.0,10.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,4.0,1.1%,7.0
66,Kalif Raymond (DET),2.0,2.0,20.0,10.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,4.0,1.2%,7.0
67,Tre Tucker (LV),2.0,3.0,16.0,8.0,12.0,0.0,0.0,1.0,2.0,0.0,0.0,1.0,3.8,3.8,0.1%,7.0
68,Tim Jones (JAC),2.0,2.0,17.0,8.5,13.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.7,3.7,0.0%,7.0
69,Skyy Moore (KC),2.0,3.0,15.0,7.5,11.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.5,3.5,21.4%,7.0
70,Dontayvion Wicks (GB),1.0,1.0,17.0,17.0,17.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,3.4,3.4,0.4%,7.0
71,Derius Davis (LAC),1.0,2.0,10.0,10.0,10.0,0.0,0.0,3.0,14.0,0.0,0.0,1.0,3.4,3.4,0.3%,7.0
72,Hunter Renfrow (LV),2.0,3.0,14.0,7.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.4,3.4,2.5%,7.0
73,Marquise Goodwin (CLE),1.0,2.0,6.0,6.0,6.0,0.0,0.0,1.0,17.0,0.0,0.0,1.0,3.3,3.3,0.1%,7.0
74,Isaiah Hodgins (NYG),2.0,4.0,13.0,6.5,8.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.3,3.3,1.2%,7.0
75,Darius Slayton (NYG),1.0,2.0,22.0,22.0,22.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,3.2,3.2,2.4%,7.0
76,Wan'Dale Robinson (NYG),1.0,2.0,22.0,22.0,22.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,3.2,3.2,8.6%,7.0
