RANK,PLAYER,REC,TGT,YDS,Y/R,LG,20+,TD,ATT,YDS,TD,FL,G,FPTS,FPTS/G,ROST,WEEK
1,Amon-Ra St. Brown (DET),12.0,15.0,124.0,10.3,27.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,30.4,30.4,100.0%,6.0
2,Adam Thielen (CAR),11.0,13.0,115.0,10.5,27.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,28.5,28.5,95.2%,6.0
3,Tyreek Hill (MIA),6.0,10.0,163.0,27.2,47.0,8.0,1.0,0.0,0.0,0.0,0.0,1.0,28.3,28.3,100.0%,6.0
4,Cooper Kupp (LAR),7.0,9.0,148.0,21.1,49.0,6.0,1.0,0.0,0.0,0.0,0.0,1.0,27.8,27.8,99.9%,6.0
5,Keenan Allen (LAC),7.0,11.0,85.0,12.1,23.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,21.5,21.5,99.4%,6.0
6,Drake London (ATL),9.0,12.0,125.0,13.9,32.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,21.5,21.5,84.2%,6.0
7,A.J. Brown (PHI),7.0,9.0,131.0,18.7,49.0,5.0,0.0,0.0,0.0,0.0,0.0,1.0,20.1,20.1,100.0%,6.0
8,Stefon Diggs (BUF),10.0,16.0,100.0,10.0,28.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,20.0,20.0,100.0%,6.0
9,Michael Pittman Jr. (IND),9.0,14.0,109.0,12.1,40.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,19.9,19.9,94.8%,6.0
10,Kendrick Bourne (NE),10.0,11.0,89.0,8.9,36.0,2.0,0.0,1.0,4.0,0.0,0.0,1.0,19.3,19.3,6.7%,6.0
11,CeeDee Lamb (DAL),7.0,7.0,117.0,16.7,23.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,18.7,18.7,100.0%,6.0
12,Rashid Shaheed (NO),2.0,6.0,85.0,42.5,51.0,6.0,1.0,2.0,18.0,0.0,0.0,1.0,18.3,18.3,38.2%,6.0
13,Jaylen Waddle (MIA),7.0,9.0,51.0,7.3,17.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,18.1,18.1,99.4%,6.0
14,Zay Flowers (BAL),6.0,8.0,50.0,8.3,14.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,17.1,17.1,86.7%,6.0
15,Jakobi Meyers (LV),5.0,7.0,61.0,12.2,16.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,17.1,17.1,81.6%,6.0
16,Garrett Wilson (NYJ),8.0,12.0,90.0,11.3,33.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,17.0,17.0,98.0%,6.0
17,Tyler Boyd (CIN),7.0,7.0,38.0,5.4,9.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,16.8,16.8,62.3%,6.0
18,Chris Olave (NO),7.0,10.0,96.0,13.7,24.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,16.6,16.6,98.3%,6.0
19,Tyler Lockett (SEA),6.0,8.0,94.0,15.7,36.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,15.4,15.4,92.9%,6.0
20,Brandin Cooks (DAL),4.0,4.0,36.0,9.0,17.0,0.0,1.0,1.0,14.0,0.0,0.0,1.0,15.0,15.0,58.1%,6.0
21,Amari Cooper (CLE),4.0,8.0,108.0,27.0,58.0,5.0,0.0,0.0,0.0,0.0,0.0,1.0,14.8,14.8,96.1%,6.0
22,Courtland Sutton (DEN),4.0,6.0,46.0,11.5,21.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,14.6,14.6,83.4%,6.0
23,Wan'Dale Robinson (NYG),8.0,8.0,62.0,7.8,13.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,14.2,14.2,8.6%,6.0
24,Curtis Samuel (WAS),4.0,4.0,42.0,10.5,16.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,14.2,14.2,32.7%,6.0
25,Terry McLaurin (WAS),6.0,11.0,81.0,13.5,22.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,14.1,14.1,94.1%,6.0
26,Ja'Marr Chase (CIN),6.0,13.0,80.0,13.3,31.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,14.0,14.0,100.0%,6.0
27,Christian Kirk (JAC),3.0,6.0,49.0,16.3,29.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,13.9,13.9,91.6%,6.0
28,Chris Godwin (TB),6.0,7.0,77.0,12.8,23.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,13.7,13.7,92.0%,6.0
