RANK,PLAYER,REC,TGT,YDS,Y/R,LG,20+,TD,ATT,YDS,TD,FL,G,FPTS,FPTS/G,ROST,WEEK
1,Keenan Allen (LAC),18.0,20.0,215.0,11.9,25.0,5.0,0.0,0.0,0.0,0.0,0.0,1.0,45.5,45.5,99.4%,3.0
2,Davante Adams (LV),13.0,20.0,172.0,13.2,32.0,3.0,2.0,0.0,0.0,0.0,0.0,1.0,42.2,42.2,100.0%,3.0
3,Adam Thielen (CAR),11.0,14.0,145.0,13.2,25.0,3.0,1.0,0.0,0.0,0.0,0.0,1.0,31.5,31.5,95.2%,3.0
4,Tyreek Hill (MIA),9.0,11.0,157.0,17.4,54.0,4.0,1.0,0.0,0.0,0.0,0.0,1.0,30.7,30.7,100.0%,3.0
5,Justin Jefferson (MIN),7.0,13.0,149.0,21.3,52.0,8.0,1.0,0.0,0.0,0.0,0.0,1.0,27.9,27.9,99.4%,3.0
6,Ja'Marr Chase (CIN),12.0,15.0,141.0,11.8,43.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,26.1,26.1,100.0%,3.0
7,Tank Dell (HOU),5.0,7.0,145.0,29.0,68.0,7.0,1.0,0.0,0.0,0.0,0.0,1.0,25.5,25.5,87.3%,3.0
8,Mike Williams (LAC),7.0,8.0,121.0,17.3,49.0,5.0,1.0,0.0,0.0,0.0,0.0,1.0,25.1,25.1,20.0%,3.0
9,Deebo Samuel (SF),6.0,12.0,129.0,21.5,40.0,6.0,1.0,1.0,2.0,0.0,0.0,1.0,25.1,25.1,97.9%,3.0
10,Amari Cooper (CLE),7.0,8.0,116.0,16.6,43.0,4.0,1.0,0.0,0.0,0.0,0.0,1.0,24.6,24.6,96.1%,3.0
11,A.J. Brown (PHI),9.0,14.0,131.0,14.6,28.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,22.1,22.1,100.0%,3.0
12,Amon-Ra St. Brown (DET),9.0,12.0,102.0,11.3,20.0,1.0,0.0,1.0,4.0,0.0,0.0,1.0,19.6,19.6,100.0%,3.0
13,Courtland Sutton (DEN),8.0,11.0,91.0,11.4,25.0,2.0,1.0,0.0,0.0,0.0,2.0,1.0,19.1,19.1,83.4%,3.0
14,Stefon Diggs (BUF),8.0,12.0,111.0,13.9,30.0,5.0,0.0,0.0,0.0,0.0,0.0,1.0,19.1,19.1,100.0%,3.0
15,DJ Chark Jr. (CAR),4.0,11.0,86.0,21.5,47.0,4.0,1.0,0.0,0.0,0.0,0.0,1.0,18.6,18.6,17.9%,3.0
16,Chris Olave (NO),8.0,11.0,104.0,13.0,28.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,18.4,18.4,98.3%,3.0
17,Romeo Doubs (GB),5.0,12.0,73.0,14.6,30.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,18.3,18.3,48.7%,3.0
18,Tutu Atwell (LAR),4.0,9.0,50.0,12.5,37.0,2.0,1.0,1.0,22.0,0.0,0.0,1.0,17.2,17.2,26.1%,3.0
19,DK Metcalf (SEA),6.0,8.0,112.0,18.7,34.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,17.2,17.2,98.1%,3.0
20,Marquise Brown (ARI),5.0,7.0,61.0,12.2,23.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,17.1,17.1,90.0%,3.0
21,Mike Evans (TB),5.0,10.0,60.0,12.0,24.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,17.0,17.0,97.1%,3.0
22,Michael Pittman Jr. (IND),9.0,11.0,77.0,8.6,34.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,16.7,16.7,94.8%,3.0
23,Marvin Mims Jr. (DEN),3.0,5.0,73.0,24.3,38.0,4.0,0.0,1.0,3.0,0.0,0.0,1.0,16.6,16.6,6.4%,3.0
24,Rondale Moore (ARI),4.0,6.0,8.0,2.0,8.0,0.0,0.0,3.0,54.0,1.0,0.0,1.0,16.2,16.2,26.0%,3.0
