RANK,PLAYER,REC,TGT,YDS,Y/R,LG,20+,TD,ATT,YDS,TD,FL,G,FPTS,FPTS/G,ROST,WEEK
40,Ja'Marr Chase (CIN),2.0,7.0,12.0,6.0,10.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,9.2,9.2,100.0%,11.0
41,Deebo Samuel (SF),3.0,4.0,63.0,21.0,40.0,3.0,0.0,1.0,-1.0,0.0,0.0,1.0,9.2,9.2,97.9%,11.0
42,Jakobi Meyers (LV),4.0,5.0,49.0,12.3,24.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,8.9,8.9,81.6%,11.0
43,Rashee Rice (KC),4.0,5.0,42.0,10.5,17.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,8.2,8.2,60.2%,11.0
44,Zay Flowers (BAL),3.0,4.0,43.0,14.3,33.0,2.0,0.0,1.0,7.0,0.0,0.0,1.0,8.0,8.0,86.7%,11.0
45,Rashod Bateman (BAL),1.0,2.0,10.0,10.0,10.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,8.0,8.0,10.5%,11.0
46,Christian Kirk (JAC),3.0,6.0,48.0,16.0,20.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,7.8,7.8,91.6%,11.0
47,George Pickens (PIT),4.0,6.0,38.0,9.5,14.0,0.0,0.0,1.0,-1.0,0.0,0.0,1.0,7.7,7.7,84.5%,11.0
48,Jordan Addison (MIN),3.0,6.0,44.0,14.7,18.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7.4,7.4,91.8%,11.0
49,Amari Cooper (CLE),4.0,8.0,34.0,8.5,11.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7.4,7.4,96.1%,11.0
50,Brandin Cooks (DAL),3.0,4.0,42.0,14.0,22.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,7.2,7.2,58.1%,11.0
51,Jaxon Smith-Njigba (SEA),3.0,6.0,40.0,13.3,32.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,7.0,7.0,60.6%,11.0
52,Trey Palmer (TB),4.0,6.0,22.0,5.5,17.0,0.0,0.0,1.0,6.0,0.0,0.0,1.0,6.8,6.8,0.9%,11.0
53,Stefon Diggs (BUF),4.0,8.0,27.0,6.8,11.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.7,6.7,100.0%,11.0
54,Wan'Dale Robinson (NYG),3.0,4.0,35.0,11.7,21.0,1.0,0.0,1.0,2.0,0.0,0.0,1.0,6.7,6.7,8.6%,11.0
55,Trenton Irwin (CIN),3.0,5.0,36.0,12.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.6,6.6,4.4%,11.0
56,Brandon Powell (MIN),3.0,4.0,32.0,10.7,22.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,6.2,6.2,2.1%,11.0
57,Michael Gallup (DAL),3.0,5.0,31.0,10.3,19.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.1,6.1,22.5%,11.0
58,Zay Jones (JAC),4.0,4.0,20.0,5.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,6.0,19.2%,11.0
59,Robbie Chosen (MIA),2.0,2.0,39.0,19.5,30.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,5.9,5.9,0.1%,11.0
60,Cedrick Wilson Jr. (MIA),3.0,4.0,23.0,7.7,12.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.3,5.3,0.2%,11.0
61,Austin Trammell (LAR),3.0,6.0,23.0,7.7,14.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.3,5.3,0.0%,11.0
62,Tyler Boyd (CIN),3.0,6.0,22.0,7.3,13.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.2,5.2,62.3%,11.0
63,Rakim Jarrett (TB),1.0,2.0,41.0,41.0,41.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,5.1,5.1,0.0%,11.0
64,Allen Robinson II (PIT),3.0,4.0,20.0,6.7,11.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,5.0,1.7%,11.0
65,Tre Tucker (LV),2.0,7.0,36.0,18.0,19.0,0.0,0.0,1.0,-6.0,0.0,0.0,1.0,5.0,5.0,0.1%,11.0
66,Kadarius Toney (KC),2.0,2.0,12.0,6.0,7.0,0.0,0.0,2.0,14.0,0.0,0.0,1.0,4.6,4.6,14.5%,11.0
67,Steven Sims Jr. (HOU),2.0,2.0,25.0,12.5,23.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,4.5,4.5,0.0%,11.0
68,Demarcus Robinson (LAR),2.0,2.0,24.0,12.0,23.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,4.4,4.4,0.0%,11.0
69,KaVontae Turpin (DAL),2.0,3.0,10.0,5.0,10.0,0.0,0.0,1.0,13.0,0.0,0.0,1.0,4.3,4.3,0.7%,11.0
70,Isaiah Hodgins (NYG),2.0,3.0,22.0,11.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.2,4.2,1.2%,11.0
71,Quentin Johnston (LAC),2.0,6.0,21.0,10.5,17.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.1,4.1,30.3%,11.0
72,Equanimeous St. Brown (CHI),2.0,2.0,19.0,9.5,13.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.9,3.9,0.1%,11.0
73,Diontae Johnson (PIT),2.0,8.0,16.0,8.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.6,3.6,84.4%,11.0
74,Darnell Mooney (CHI),1.0,1.0,24.0,24.0,24.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,3.4,3.4,20.0%,11.0
75,Marvin Mims Jr. (DEN),2.0,3.0,12.0,6.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.2,3.2,6.4%,11.0
76,Mecole Hardman Jr. (KC),2.0,2.0,12.0,6.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.2,3.2,3.2%,11.0
77,Byron Pringle (WAS),3.0,3.0,22.0,7.3,14.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.2,3.2,0.0%,11.0
78,Jamison Crowder (WAS),2.0,2.0,12.0,6.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.2,3.2,0.6%,11.0
79,Jalen Tolbert (DAL),2.0,5.0,12.0,6.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.2,3.2,0.2%,11.0
80,Marquise Brown (ARI),2.0,5.0,18.0,9.0,13.0,0.0,0.0,1.0,-6.0,0.0,0.0,1.0,3.2,3.2,90.0%,11.0
81,Laviska Shenault Jr. (CAR),2.0,2.0,9.0,4.5,5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.9,2.9,0.1%,11.0
82,Tutu Atwell (LAR),1.0,3.0,17.0,17.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.7,2.7,26.1%,11.0
83,Julio Jones (PHI),2.0,2.0,5.0,2.5,5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.5,2.5,2.4%,11.0
84,Alex Erickson (LAC),1.0,1.0,12.0,12.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.2,2.2,0.0%,11.0
85,John Metchie III (HOU),1.0,1.0,12.0,12.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.2,2.2,0.9%,11.0
86,Josh Reynolds (DET),1.0,2.0,11.0,11.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.1,2.1,14.5%,11.0
87,Cooper Kupp (LAR),1.0,1.0,11.0,11.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.1,2.1,99.9%,11.0
