RANK,PLAYER,REC,TGT,YDS,Y/R,LG,20+,TD,ATT,YDS,TD,FL,G,FPTS,FPTS/G,ROST,WEEK
1,Ja'Marr Chase (CIN),15.0,19.0,192.0,12.8,63.0,4.0,3.0,0.0,0.0,0.0,0.0,1.0,52.2,52.2,100.0%,5.0
2,DJ Moore (CHI),8.0,10.0,230.0,28.8,58.0,13.0,3.0,0.0,0.0,0.0,0.0,1.0,49.0,49.0,97.2%,5.0
3,Tyreek Hill (MIA),8.0,9.0,181.0,22.6,69.0,8.0,1.0,0.0,0.0,0.0,0.0,1.0,32.1,32.1,100.0%,5.0
4,Adam Thielen (CAR),11.0,13.0,107.0,9.7,30.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,27.7,27.7,95.2%,5.0
5,George Pickens (PIT),6.0,10.0,130.0,21.7,41.0,6.0,1.0,1.0,16.0,0.0,0.0,1.0,26.6,26.6,84.5%,5.0
6,Stefon Diggs (BUF),8.0,11.0,121.0,15.1,48.0,3.0,1.0,0.0,0.0,0.0,1.0,1.0,24.1,24.1,100.0%,5.0
7,Gabe Davis (BUF),6.0,8.0,100.0,16.7,29.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,22.0,22.0,82.3%,5.0
8,DeAndre Hopkins (TEN),8.0,11.0,140.0,17.5,36.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,22.0,22.0,95.8%,5.0
9,Calvin Ridley (JAC),7.0,8.0,122.0,17.4,32.0,3.0,0.0,2.0,14.0,0.0,0.0,1.0,20.6,20.6,95.0%,5.0
10,Jakobi Meyers (LV),7.0,10.0,75.0,10.7,18.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,20.5,20.5,81.6%,5.0
11,Puka Nacua (LAR),7.0,11.0,71.0,10.1,22.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,20.1,20.1,95.5%,5.0
12,Cooper Kupp (LAR),8.0,12.0,118.0,14.8,39.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,19.8,19.8,99.9%,5.0
13,A.J. Brown (PHI),6.0,8.0,127.0,21.2,38.0,5.0,0.0,0.0,0.0,0.0,0.0,1.0,18.7,18.7,100.0%,5.0
14,Curtis Samuel (WAS),6.0,7.0,65.0,10.8,25.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,18.5,18.5,32.7%,5.0
15,Jordan Addison (MIN),6.0,9.0,64.0,10.7,16.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,18.4,18.4,91.8%,5.0
16,Josh Reynolds (DET),4.0,5.0,76.0,19.0,27.0,3.0,1.0,0.0,0.0,0.0,0.0,1.0,17.6,17.6,14.5%,5.0
17,Marquise Brown (ARI),4.0,10.0,61.0,15.3,25.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,16.1,16.1,90.0%,5.0
18,Josh Downs (IND),6.0,6.0,97.0,16.2,38.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,15.7,15.7,50.8%,5.0
19,Drake London (ATL),6.0,9.0,78.0,13.0,32.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,14.7,14.7,84.2%,5.0
20,Jaylen Waddle (MIA),5.0,10.0,35.0,7.0,20.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,14.5,14.5,99.4%,5.0
21,Christian Kirk (JAC),6.0,8.0,78.0,13.0,30.0,3.0,0.0,1.0,6.0,0.0,0.0,1.0,14.4,14.4,91.6%,5.0
22,Trenton Irwin (CIN),8.0,10.0,60.0,7.5,13.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,14.0,14.0,4.4%,5.0
