Rank,Player,ATT,YDS,Y/A,LG,20+,TD,REC,TGT,YDS.1,Y/R,TD.1,FL,G,FPTS,FPTS/G,ROST,Team,Week,Year
1,James Conner,27,150,5.6,29,3,1,4,4,54,13.5,0,0,1,30.4,30.4,94.4%,ARI,18,2023
2,Breece Hall,37,178,4.8,50,1,1,2,2,12,6.0,0,0,1,29.0,29.0,100.0%,NYJ,18,2023
3,Jonathan Taylor,30,188,6.3,49,2,1,2,2,8,4.0,0,0,1,27.6,27.6,99.9%,IND,18,2023
4,Bijan Robinson,11,28,2.5,7,0,0,7,8,103,14.7,1,0,1,26.1,26.1,100.0%,ATL,18,2023
5,Joe Mixon,14,111,7.9,44,1,1,1,2,6,6.0,1,0,1,24.7,24.7,99.1%,HOU,18,2023
6,Najee Harris,26,112,4.3,15,0,1,5,5,21,4.2,0,0,1,24.3,24.3,93.3%,PIT,18,2023
7,Saquon Barkley,18,46,2.6,11,0,2,2,2,51,25.5,0,0,1,23.7,23.7,100.0%,PHI,18,2023
8,Tyjae Spears,3,25,8.3,22,1,1,3,3,41,13.7,1,0,1,21.6,21.6,87.2%,TEN,18,2023
9,Derrick Henry,19,153,8.1,69,1,1,0,0,0,0.0,0,0,1,21.3,21.3,99.9%,BAL,18,2023
10,Javonte Williams,9,32,3.6,11,0,1,7,9,43,6.1,0,0,1,20.5,20.5,90.5%,DEN,18,2023
11,Aaron Jones,22,111,5.0,17,0,0,5,5,30,6.0,0,0,1,19.1,19.1,96.1%,MIN,18,2023
12,Tony Pollard,17,70,4.1,12,0,1,2,2,16,8.0,0,0,1,16.6,16.6,90.8%,TEN,18,2023
13,Kendre Miller,13,73,5.6,18,0,1,1,1,6,6.0,0,0,1,14.9,14.9,15.5%,NO,18,2023
14,Elijah Mitchell,14,52,3.7,14,0,1,2,2,15,7.5,0,0,1,14.7,14.7,5.6%,SF,18,2023
15,La'Mical Perine,21,76,3.6,10,0,0,3,4,33,11.0,0,0,1,13.9,13.9,0.0%,GB,18,2023
16,Travis Etienne Jr.,16,57,3.6,12,0,0,5,6,30,6.0,0,0,1,13.7,13.7,99.9%,JAC,18,2023
17,Devin Singletary,24,63,2.6,7,0,1,1,1,2,2.0,0,0,1,13.5,13.5,87.8%,NYG,18,2023
18,Rachaad White,19,75,3.9,13,0,0,4,4,18,4.5,0,0,1,13.3,13.3,99.0%,TB,18,2023
19,Ezekiel Elliott,13,54,4.2,9,0,0,5,7,27,5.4,0,0,1,13.1,13.1,81.8%,DAL,18,2023
20,Zamir White,25,112,4.5,25,1,0,1,2,9,9.0,0,0,1,13.1,13.1,93.2%,LV,18,2023
21,De'Von Achane,10,56,5.6,25,1,1,1,1,5,5.0,0,0,1,13.1,13.1,99.3%,MIA,18,2023
22,Rico Dowdle,9,46,5.1,20,1,0,3,4,54,18.0,0,0,1,13.0,13.0,41.2%,DAL,18,2023
23,Jamaal Williams,14,26,1.9,8,0,1,3,3,8,2.7,0,0,1,12.4,12.4,5.0%,NO,18,2023
24,Austin Ekeler,10,11,1.1,6,0,0,7,8,38,5.4,0,0,1,11.9,11.9,87.4%,WAS,18,2023
