Rank,Player,ATT,YDS,Y/A,LG,20+,TD,REC,TGT,YDS.1,Y/R,TD.1,FL,G,FPTS,FPTS/G,ROST,Team,Week,Year
1,Jahmyr Gibbs,26,152,5.8,27,2,1,5,5,37,7.4,0,0,1,29.9,29.9,99.9%,DET,8,2023
2,Christian McCaffrey,12,54,4.5,16,0,1,6,7,64,10.7,1,0,1,29.8,29.8,100.0%,SF,8,2023
3,Gus Edwards,19,80,4.2,10,0,3,2,2,14,7.0,0,0,1,29.4,29.4,78.0%,LAC,8,2023
4,Alvin Kamara,17,59,3.5,16,0,1,4,5,51,12.8,1,0,1,27.0,27.0,98.5%,NO,8,2023
5,Travis Etienne Jr.,24,79,3.3,13,0,0,3,6,70,23.3,1,0,1,25.9,25.9,99.9%,JAC,8,2023
6,Austin Ekeler,15,29,1.9,7,0,0,7,8,94,13.4,1,1,1,23.3,23.3,87.4%,WAS,8,2023
7,Breece Hall,12,17,1.4,5,0,0,6,9,76,12.7,1,0,1,21.3,21.3,100.0%,NYJ,8,2023
8,Joe Mixon,16,87,5.4,20,1,1,3,3,23,7.7,0,0,1,20.0,20.0,99.1%,HOU,8,2023
9,Javonte Williams,27,85,3.1,15,0,0,3,3,13,4.3,1,0,1,18.8,18.8,90.5%,DEN,8,2023
10,Rachaad White,9,39,4.3,15,0,0,7,7,70,10.0,0,0,1,17.9,17.9,99.0%,TB,8,2023
11,Josh Jacobs,15,61,4.1,9,0,1,2,4,27,13.5,0,0,1,16.8,16.8,99.4%,GB,8,2023
12,Derrick Henry,22,101,4.6,14,0,0,4,4,21,5.3,0,0,1,16.2,16.2,99.9%,BAL,8,2023
13,Saquon Barkley,36,128,3.6,34,1,0,3,5,0,0.0,0,0,1,15.8,15.8,100.0%,PHI,8,2023
14,D'Andre Swift,16,57,3.6,9,0,1,2,3,7,3.5,0,0,1,14.4,14.4,94.7%,CHI,8,2023
15,Zack Moss,11,66,6.0,41,1,1,1,1,8,8.0,0,0,1,14.4,14.4,85.3%,CIN,8,2023
16,Kareem Hunt,14,55,3.9,9,0,1,1,1,12,12.0,0,0,1,13.7,13.7,0.2%,FA,8,2023
17,Darrynton Evans,4,18,4.5,11,0,1,3,4,22,7.3,0,0,1,13.0,13.0,0.0%,BUF,8,2023
18,Bijan Robinson,11,62,5.6,25,1,1,0,5,0,0.0,0,0,1,12.2,12.2,100.0%,ATL,8,2023
19,Darrell Henderson Jr.,12,31,2.6,7,0,0,3,3,54,18.0,0,0,1,11.5,11.5,5.0%,FA,8,2023
20,Jonathan Taylor,12,95,7.9,42,1,0,1,2,2,2.0,0,0,1,10.7,10.7,99.9%,IND,8,2023
21,Raheem Mostert,13,46,3.5,10,0,1,0,0,0,0.0,0,0,1,10.6,10.6,92.7%,MIA,8,2023
22,Najee Harris,7,13,1.9,3,0,0,5,5,42,8.4,0,0,1,10.5,10.5,93.3%,PIT,8,2023
23,Royce Freeman,9,44,4.9,10,0,1,0,0,0,0.0,0,0,1,10.4,10.4,0.2%,FA,8,2023
24,AJ Dillon,6,11,1.8,7,0,0,5,5,41,8.2,0,0,1,10.2,10.2,1.9%,GB,8,2023
25,Brian Robinson Jr.,10,59,5.9,29,1,0,2,2,20,10.0,0,0,1,9.9,9.9,90.8%,WAS,8,2023
26,Cam Akers,9,19,2.1,9,0,1,1,1,6,6.0,0,0,1,9.5,9.5,1.5%,HOU,8,2023
27,Justice Hill,4,15,3.8,7,0,0,4,4,40,10.0,0,0,1,9.5,9.5,3.1%,BAL,8,2023
28,Pierre Strong Jr.,10,41,4.1,12,0,0,1,1,41,41.0,0,0,1,9.2,9.2,0.8%,CLE,8,2023
29,Antonio Gibson,2,14,7.0,8,0,0,5,5,28,5.6,0,0,1,9.2,9.2,34.1%,NE,8,2023
30,Emari Demercado,20,78,3.9,13,0,0,1,1,1,1.0,0,0,1,8.9,8.9,0.2%,ARI,8,2023
31,Aaron Jones,7,29,4.1,7,0,0,4,5,17,4.3,0,0,1,8.6,8.6,96.1%,MIN,8,2023
32,Zach Charbonnet,5,53,10.6,21,2,0,2,2,11,5.5,0,0,1,8.4,8.4,56.2%,SEA,8,2023
33,James Cook,14,67,4.8,18,0,0,1,1,6,6.0,0,0,1,8.3,8.3,99.1%,BUF,8,2023
34,Kenneth Walker III,8,66,8.3,45,1,0,1,2,4,4.0,0,0,1,8.0,8.0,98.0%,SEA,8,2023
35,Jaylen Warren,5,19,3.8,8,0,0,4,5,19,4.8,0,0,1,7.8,7.8,87.9%,PIT,8,2023
36,Craig Reynolds,14,74,5.3,13,0,0,1,1,12,12.0,0,1,1,7.6,7.6,0.3%,DET,8,2023
37,Chuba Hubbard,15,28,1.9,8,0,0,2,2,26,13.0,0,0,1,7.4,7.4,61.7%,CAR,8,2023
38,Rhamondre Stevenson,10,39,3.9,11,0,0,2,4,11,5.5,0,0,1,7.0,7.0,95.2%,NE,8,2023
39,Isiah Pacheco,8,40,5.0,19,0,0,3,4,-3,-1.0,0,0,1,6.7,6.7,99.9%,KC,8,2023
40,Tyjae Spears,3,27,9.0,23,1,0,3,4,9,3.0,0,0,1,6.6,6.6,87.2%,TEN,8,2023
41,Tony Pollard,12,53,4.4,13,0,0,1,1,2,2.0,0,0,1,6.5,6.5,90.8%,TEN,8,2023
42,Devin Singletary,10,30,3.0,9,0,0,2,2,13,6.5,0,0,1,6.3,6.3,87.8%,NYG,8,2023
43,Roschon Johnson,6,21,3.5,11,0,0,3,4,10,3.3,0,0,1,6.1,6.1,2.9%,CHI,8,2023
44,Jaleel McLaughlin,4,33,8.3,13,0,0,2,2,6,3.0,0,0,1,5.9,5.9,36.0%,DEN,8,2023
45,Salvon Ahmed,2,1,0.5,2,0,0,4,4,16,4.0,0,0,1,5.7,5.7,0.0%,FA,8,2023
46,Jeff Wilson Jr.,5,23,4.6,11,0,0,2,2,14,7.0,0,0,1,5.7,5.7,0.1%,MIA,8,2023
47,Kenneth Gainwell,2,-4,-2.0,0,0,0,5,5,30,6.0,0,1,1,5.6,5.6,3.0%,PHI,8,2023
48,Raheem Blackshear,3,5,1.7,6,0,0,2,2,26,13.0,0,0,1,5.1,5.1,0.2%,CAR,8,2023
49,Jerome Ford,9,37,4.1,12,0,0,1,2,2,2.0,0,0,1,4.9,4.9,80.4%,CLE,8,2023
50,Jamaal Williams,6,30,5.0,10,0,0,1,1,8,8.0,0,0,1,4.8,4.8,5.0%,NO,8,2023
51,D'Onta Foreman,9,34,3.8,12,0,0,1,2,2,2.0,0,0,1,4.6,4.6,2.4%,CLE,8,2023
52,Dameon Pierce,12,46,3.8,16,0,0,0,0,0,0.0,0,0,1,4.6,4.6,6.1%,HOU,8,2023
