Rank,Player,ATT,YDS,Y/A,LG,20+,TD,REC,TGT,YDS.1,Y/R,TD.1,FL,G,FPTS,FPTS/G,ROST,Team,Week,Year
1,Joe Mixon,19,68,3.6,18,0,2,6,7,49,8.2,0,0,1,29.7,29.7,99.1%,HOU,13,2023
2,Alvin Kamara,14,51,3.6,16,0,2,6,8,58,9.7,0,0,1,28.9,28.9,98.5%,NO,13,2023
3,De'Von Achane,17,73,4.3,15,0,2,3,4,30,10.0,0,0,1,25.3,25.3,99.3%,MIA,13,2023
4,Derrick Henry,21,102,4.9,22,1,2,1,2,18,18.0,0,0,1,25.0,25.0,99.9%,BAL,13,2023
5,James Conner,25,105,4.2,29,1,2,0,2,0,0.0,0,0,1,22.5,22.5,94.4%,ARI,13,2023
6,Chuba Hubbard,25,104,4.2,17,0,2,0,0,0,0.0,0,0,1,22.4,22.4,61.7%,CAR,13,2023
7,Christian McCaffrey,17,93,5.5,16,0,1,3,4,40,13.3,0,0,1,22.3,22.3,100.0%,SF,13,2023
8,Isiah Pacheco,18,110,6.1,26,1,1,3,4,13,4.3,0,0,1,21.3,21.3,99.9%,KC,13,2023
9,Kyren Williams,21,88,4.2,18,0,1,3,5,24,8.0,0,0,1,20.2,20.2,99.9%,LAR,13,2023
10,Rachaad White,20,84,4.2,30,1,1,3,5,22,7.3,0,0,1,19.6,19.6,99.0%,TB,13,2023
11,Travis Etienne Jr.,11,45,4.1,13,0,1,4,4,34,8.5,0,0,1,17.9,17.9,99.9%,JAC,13,2023
12,Tony Pollard,20,68,3.4,16,0,1,3,4,15,5.0,0,0,1,17.3,17.3,90.8%,TEN,13,2023
13,Zach Charbonnet,19,60,3.2,14,0,1,1,2,39,39.0,0,0,1,16.9,16.9,56.2%,SEA,13,2023
14,Jerome Ford,9,19,2.1,10,0,0,3,3,33,11.0,1,0,1,14.2,14.2,80.4%,CLE,13,2023
15,Ezekiel Elliott,17,52,3.1,8,0,0,4,5,40,10.0,0,0,1,13.2,13.2,81.8%,DAL,13,2023
16,Tyjae Spears,16,75,4.7,19,0,0,4,6,13,3.3,0,0,1,12.8,12.8,87.2%,TEN,13,2023
17,David Montgomery,18,56,3.1,13,0,1,1,2,-1,-1.0,0,0,1,12.5,12.5,95.7%,DET,13,2023
18,Raheem Mostert,11,43,3.9,12,0,1,1,1,8,8.0,0,0,1,12.1,12.1,92.7%,MIA,13,2023
19,Antonio Gibson,10,35,3.5,9,0,0,4,5,37,9.3,0,0,1,11.2,11.2,34.1%,NE,13,2023
20,Bijan Robinson,18,53,2.9,12,0,0,3,5,26,8.7,0,0,1,10.9,10.9,100.0%,ATL,13,2023
21,Breece Hall,13,16,1.2,9,0,0,6,8,29,4.8,0,0,1,10.5,10.5,100.0%,NYJ,13,2023
22,Dameon Pierce,15,41,2.7,22,1,1,0,0,0,0.0,0,0,1,10.1,10.1,6.1%,HOU,13,2023
23,Javonte Williams,13,46,3.5,16,0,0,3,3,24,8.0,0,0,1,10.0,10.0,90.5%,DEN,13,2023
24,Najee Harris,16,63,3.9,11,0,0,2,3,14,7.0,0,0,1,9.7,9.7,93.3%,PIT,13,2023
