RANK,PLAYER,TACKLE,ASSIST,SACK,PD,INT,FF,FR,DEF TD,G,FPTS,FPTS/G,ROST,WEEK
1,DaRon Bland (DAL),6.0,1.0,0.0,2.0,1.0,0.0,0.0,1.0,1.0,23.8,23.8,27.9%,8.0
2,Kyle Dugger (NE),6.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,23.5,23.5,15.3%,8.0
3,Isaiah Oliver (SF),6.0,3.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,21.8,21.8,0.3%,8.0
4,Ja'Quan McMillian (DEN),5.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,19.8,19.8,0.3%,8.0
5,Marcus Peters (LV),3.0,2.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,18.5,18.5,4.5%,8.0
6,Kyle Hamilton (BAL),9.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,18.3,18.3,31.0%,8.0
7,Reed Blankenship (PHI),7.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,17.8,17.8,29.7%,8.0
8,Marshon Lattimore (NO),9.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,17.5,17.5,4.5%,8.0
9,Ryan Neal (TB),10.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,17.3,17.3,6.4%,8.0
10,Tyrique Stevenson (CHI),10.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,16.5,16.5,6.4%,8.0
11,Josh Metellus (MIN),5.0,3.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,16.3,16.3,17.8%,8.0
12,Andrew Wingard (JAC),5.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,1.0,16.3,16.3,1.1%,8.0
13,Brandon Stephens (BAL),6.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,16.3,16.3,7.4%,8.0
14,Marcus Epps (LV),9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,16.0,16.0,1.1%,8.0
15,Jordan Whitehead (NYJ),4.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,15.5,15.5,13.7%,8.0
16,Tony Adams (NYJ),7.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,15.3,15.3,1.2%,8.0
17,Jamel Dean (TB),8.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,15.0,15.0,2.8%,8.0
18,Martin Emerson Jr. (CLE),5.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,14.8,14.8,0.5%,8.0
19,Jordan Fuller (LAR),5.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,14.8,14.8,6.3%,8.0
20,Camryn Bynum (MIN),6.0,1.0,0.5,2.0,0.0,0.0,0.0,0.0,1.0,14.8,14.8,46.6%,8.0
21,Xavier Woods (CAR),6.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,14.5,14.5,0.9%,8.0
22,Kamren Curl (WAS),5.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,14.5,14.5,37.2%,8.0
23,Keanu Neal (PIT),7.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,14.5,14.5,1.5%,8.0
24,Nate Hobbs (LV),4.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,14.0,14.0,11.0%,8.0
25,Donte Jackson (CAR),5.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,14.0,14.0,0.6%,8.0
26,Damontae Kazee (PIT),5.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,14.0,14.0,0.8%,8.0
27,Taron Johnson (BUF),4.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,14.0,14.0,8.7%,8.0
28,Paulson Adebo (NO),3.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,1.0,14.0,14.0,7.4%,8.0
29,Sydney Brown (PHI),7.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,13.8,13.8,0.5%,8.0
30,Jamal Adams (SEA),5.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,13.8,13.8,3.5%,8.0
31,Riq Woolen (SEA),2.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,1.0,13.5,13.5,2.0%,8.0
32,Talanoa Hufanga (SF),8.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,13.5,13.5,14.4%,8.0
33,Justin Simmons (DEN),2.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,13.5,13.5,12.4%,8.0
34,Tracy Walker III (DET),3.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,13.3,13.3,4.8%,8.0
35,Derwin James Jr. (LAC),4.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,13.3,13.3,65.4%,8.0
36,Tashaun Gipson Sr. (SF),6.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,13.0,13.0,0.4%,8.0
37,Tre'von Moehrig (LV),7.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,12.8,12.8,4.9%,8.0
38,Kristian Fulton (TEN),5.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,12.0,12.0,1.8%,8.0
39,Amani Hooker (TEN),7.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,12.0,12.0,9.5%,8.0
40,Geno Stone (BAL),3.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,11.8,11.8,2.4%,8.0
41,Jalen Thompson (ARI),4.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,11.5,11.5,6.8%,8.0
42,Jordan Poyer (BUF),3.0,5.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,11.3,11.3,24.6%,8.0
43,Richie Grant (ATL),5.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,11.3,11.3,18.3%,8.0
44,Kerby Joseph (DET),2.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,1.0,11.0,11.0,9.3%,8.0
45,Kendall Fuller (WAS),4.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,10.8,10.8,2.9%,8.0
46,Asante Samuel Jr. (LAC),5.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,10.5,10.5,2.5%,8.0
47,Jordan Howden (NO),4.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,10.5,10.5,0.1%,8.0
48,Quandre Diggs (SEA),5.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,10.5,10.5,1.9%,8.0
49,Antonio Hamilton Sr. (ARI),5.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,10.5,10.5,0.6%,8.0
50,Shaquill Griffin (HOU),7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,10.5,10.5,0.3%,8.0
51,Julian Love (SEA),2.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,10.3,10.3,7.6%,8.0
52,Kader Kohou (MIA),4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,10.0,10.0,2.5%,8.0
53,Jalen Pitre (HOU),3.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,10.0,10.0,42.7%,8.0
54,Cam Taylor-Britt (CIN),4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,10.0,10.0,10.1%,8.0
55,Keisean Nixon (GB),4.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,9.8,9.8,18.6%,8.0
56,Brandon Jones (MIA),4.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,9.8,9.8,0.3%,8.0
57,Percy Butler (WAS),4.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,9.8,9.8,0.3%,8.0
58,Jabrill Peppers (NE),4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,9.3,9.3,5.5%,8.0
59,Jeff Okudah (ATL),4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,9.3,9.3,1.0%,8.0
60,Duron Harmon (CLE),4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,9.3,9.3,0.0%,8.0
61,Julian Blackmon (IND),3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,9.3,9.3,9.7%,8.0
62,DeShon Elliott (MIA),4.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,9.0,9.0,8.8%,8.0
63,Quentin Lake (LAR),4.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,9.0,9.0,0.1%,8.0
64,Carlton Davis III (TB),5.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,9.0,9.0,3.5%,8.0
65,Juan Thornhill (CLE),6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,9.0,9.0,0.5%,8.0
66,Kenny Moore II (IND),5.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,9.0,9.0,24.6%,8.0
67,Sauce Gardner (NYJ),4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,8.5,8.5,10.3%,8.0
68,Justin Reid (KC),5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,8.3,8.3,12.6%,8.0
69,Kevin Byard (PHI),4.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,8.3,8.3,19.5%,8.0
70,Donovan Wilson (DAL),5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,8.3,8.3,3.3%,8.0
71,Grant Delpit (CLE),5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,8.3,8.3,17.9%,8.0
72,Budda Baker (ARI),5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,8.3,8.3,30.6%,8.0
73,Harrison Smith (MIN),5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,8.3,8.3,27.0%,8.0
74,Markquese Bell (DAL),5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,8.3,8.3,1.7%,8.0
75,Fabian Moreau (DEN),4.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,8.3,8.3,0.5%,8.0
76,Derion Kendrick (LAR),4.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,8.3,8.3,0.3%,8.0
77,Mike Hilton (CIN),3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7.8,7.8,3.3%,8.0
78,Deommodore Lenoir (SF),4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7.5,7.5,10.5%,8.0
79,Deonte Banks (NYG),3.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,7.5,7.5,1.2%,8.0
80,Darious Williams (JAC),2.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,7.5,7.5,8.7%,8.0
81,Akayleb Evans (MIN),4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,7.5,7.5,3.2%,8.0
82,Christian Benford (BUF),3.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,7.5,7.5,0.4%,8.0
83,Benjamin St-Juste (WAS),4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,7.5,7.5,7.1%,8.0
