RANK,PLAYER,TACKLE,ASSIST,SACK,PD,INT,FF,FR,DEF TD,G,FPTS,FPTS/G,ROST,WEEK
1,Kyle Hamilton (BAL),8.0,0.0,0.0,2.0,1.0,0.0,0.0,1.0,1.0,26.0,26.0,31.0%,10.0
2,Derwin James Jr. (LAC),8.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,20.8,20.8,65.4%,10.0
3,Cam Taylor-Britt (CIN),7.0,2.0,0.0,2.0,1.0,0.0,0.0,0.0,1.0,20.0,20.0,10.1%,10.0
4,Jessie Bates III (ATL),11.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,18.0,18.0,24.5%,10.0
5,Kyler Gordon (CHI),7.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,17.8,17.8,1.5%,10.0
6,DeAndre Houston-Carson (HOU),7.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,17.0,17.0,0.2%,10.0
7,Greg Newsome II (CLE),1.0,1.0,0.5,1.0,1.0,0.0,0.0,1.0,1.0,16.8,16.8,0.3%,10.0
8,Byron Murphy Jr. (MIN),3.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,1.0,16.5,16.5,2.0%,10.0
9,Jordan Whitehead (NYJ),4.0,5.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,16.3,16.3,13.7%,10.0
10,Justin Simmons (DEN),2.0,3.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,15.8,15.8,12.4%,10.0
11,Keanu Neal (PIT),4.0,4.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,15.5,15.5,1.5%,10.0
12,Talanoa Hufanga (SF),5.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,15.5,15.5,14.4%,10.0
13,Kerby Joseph (DET),5.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,15.5,15.5,9.3%,10.0
14,Percy Butler (WAS),6.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,15.3,15.3,0.3%,10.0
15,Devon Witherspoon (SEA),4.0,1.0,0.0,3.0,0.0,1.0,0.0,0.0,1.0,15.3,15.3,24.2%,10.0
16,Ja'Quan McMillian (DEN),4.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,14.8,14.8,0.3%,10.0
