Rank,Player,ATT,YDS,Y/A,LG,20+,TD,REC,TGT,YDS.1,Y/R,TD.1,FL,G,FPTS,FPTS/G,ROST,Team,Week,Year
1,Christian McCaffrey,14,70,5.0,18,0,0,11,15,121,11.0,0,0,1,30.1,30.1,100.0%,SF,11,2019
2,Mark Ingram II,13,48,3.7,11,0,0,3,4,37,12.3,2,0,1,23.5,23.5,0.1%,FA,11,2019
3,Alvin Kamara,13,75,5.8,14,0,0,10,10,47,4.7,0,0,1,22.2,22.2,98.5%,NO,11,2019
4,Austin Ekeler,5,24,4.8,18,0,0,8,12,108,13.5,0,0,1,21.2,21.2,87.4%,WAS,11,2019
5,Todd Gurley II,25,97,3.9,13,0,1,3,3,36,12.0,0,1,1,20.3,20.3,0.1%,FA,11,2019
6,Ezekiel Elliott,16,45,2.8,8,0,1,2,3,28,14.0,1,1,1,19.3,19.3,81.8%,DAL,11,2019
7,Tarik Cohen,9,39,4.3,12,0,0,5,6,35,7.0,1,0,1,18.4,18.4,0.0%,FA,11,2019
8,Tony Pollard,2,12,6.0,7,0,0,4,4,44,11.0,1,0,1,17.6,17.6,90.8%,TEN,11,2019
9,Joe Mixon,15,86,5.7,30,1,1,1,3,17,17.0,0,0,1,17.3,17.3,99.1%,HOU,11,2019
10,Le'Veon Bell,18,59,3.3,9,0,1,2,2,33,16.5,0,0,1,17.2,17.2,0.2%,FA,11,2019
11,Gus Edwards,8,112,14.0,63,2,1,0,0,0,0.0,0,0,1,17.2,17.2,78.0%,LAC,11,2019
12,Marlon Mack,14,109,7.8,20,1,1,0,0,0,0.0,0,0,1,16.9,16.9,0.0%,FA,11,2019
13,Dalvin Cook,11,26,2.4,5,0,1,5,6,31,6.2,0,0,1,16.7,16.7,12.7%,DAL,11,2019
14,LeSean McCoy,7,29,4.1,8,0,1,4,6,28,7.0,0,0,1,15.7,15.7,2.0%,FA,11,2019
15,Jonathan Williams,13,116,8.9,48,1,0,1,1,31,31.0,0,0,1,15.7,15.7,0.0%,FA,11,2019
16,Jaylen Samuels,5,26,5.2,11,0,0,5,6,19,3.8,1,0,1,15.5,15.5,0.0%,FA,11,2019
17,Kenyan Drake,16,67,4.2,12,0,0,6,7,13,2.2,0,0,1,14.0,14.0,0.0%,FA,11,2019
18,Derrius Guice,7,24,3.4,9,0,0,1,2,45,45.0,1,0,1,13.9,13.9,1.1%,FA,11,2019
19,Josh Jacobs,23,112,4.9,21,2,0,3,3,12,4.0,0,1,1,13.4,13.4,99.4%,GB,11,2019
20,Kyle Juszczyk,0,0,0.0,0,0,0,7,7,63,9.0,0,0,1,13.3,13.3,0.6%,SF,11,2019
21,Kalen Ballage,9,9,1.0,7,0,1,5,6,8,1.6,0,0,1,12.7,12.7,0.0%,FA,11,2019
22,Leonard Fournette,8,23,2.9,10,0,0,7,7,34,4.9,0,0,1,12.7,12.7,2.1%,FA,11,2019
23,Nyheim Hines,3,11,3.7,7,0,1,3,4,24,8.0,0,0,1,12.5,12.5,0.3%,CLE,11,2019
24,Carlos Hyde,9,65,7.2,41,1,1,0,1,0,0.0,0,0,1,12.5,12.5,0.0%,FA,11,2019
25,Darrel Williams,11,35,3.2,6,0,1,2,3,8,4.0,0,0,1,12.3,12.3,0.0%,FA,11,2019
26,Melvin Gordon III,14,69,4.9,21,1,0,3,5,21,7.0,0,0,1,12.0,12.0,0.0%,FA,11,2019
27,Patrick Laird,1,7,7.0,7,0,0,6,6,51,8.5,0,0,1,11.8,11.8,0.0%,FA,11,2019
28,Kareem Hunt,6,12,2.0,7,0,0,6,8,46,7.7,0,0,1,11.8,11.8,0.2%,FA,11,2019
29,Bo Scarbrough,14,55,3.9,23,1,1,0,0,0,0.0,0,0,1,11.5,11.5,0.0%,FA,11,2019
30,James White,5,20,4.0,9,0,0,4,7,16,4.0,0,0,1,9.6,9.6,0.1%,FA,11,2019
31,Phillip Lindsay,16,67,4.2,11,0,0,2,2,8,4.0,0,0,1,9.5,9.5,0.0%,FA,11,2019
32,Jeff Wilson Jr.,0,0,0.0,0,0,0,1,1,25,25.0,1,0,1,9.5,9.5,0.1%,MIA,11,2019
33,Nick Chubb,27,92,3.4,12,0,0,0,1,0,0.0,0,0,1,9.2,9.2,83.5%,CLE,11,2019
34,Tevin Coleman,12,14,1.2,4,0,0,3,4,48,16.0,0,0,1,9.2,9.2,0.0%,FA,11,2019
35,Peyton Barber,0,0,0.0,0,0,0,2,2,11,5.5,1,0,1,9.1,9.1,1.0%,FA,11,2019
36,Devin Singletary,15,75,5.0,22,2,0,1,1,4,4.0,0,0,1,8.9,8.9,87.8%,NYG,11,2019
37,J.D. McKissic,3,13,4.3,6,0,0,3,4,40,13.3,0,0,1,8.3,8.3,0.0%,FA,11,2019
38,Kenjon Barner,2,15,7.5,9,0,0,0,0,0,0.0,0,0,1,7.6,7.6,0.0%,FA,11,2019
39,Malcolm Brown,5,15,3.0,6,0,1,0,0,0,0.0,0,0,1,7.5,7.5,0.0%,FA,11,2019
40,Andy Janovich,1,1,1.0,1,0,1,1,1,3,3.0,0,0,1,7.4,7.4,0.0%,FA,11,2019
41,Qadree Ollison,4,11,2.8,3,0,1,0,1,0,0.0,0,0,1,7.1,7.1,0.0%,FA,11,2019
42,Rex Burkhead,5,14,2.8,6,0,0,2,3,34,17.0,0,0,1,6.8,6.8,10.0%,FA,11,2019
43,Trey Edmunds,3,11,3.7,9,0,0,3,3,27,9.0,0,0,1,6.8,6.8,0.0%,FA,11,2019
44,Miles Sanders,11,38,3.5,7,0,0,2,4,9,4.5,0,0,1,6.7,6.7,8.5%,CAR,11,2019
