Rank,Player,ATT,YDS,Y/A,LG,20+,TD,REC,TGT,YDS.1,Y/R,TD.1,FL,G,FPTS,FPTS/G,ROST,Team,Week,Year
1,Derrick Henry,23,188,8.2,68,1,2,2,2,3,1.5,0,0,1,33.1,33.1,99.9%,BAL,10,2019
2,Dalvin Cook,26,97,3.7,23,1,1,7,7,86,12.3,0,0,1,31.3,31.3,12.7%,DAL,10,2019
3,Aaron Jones,13,93,7.2,28,1,3,0,0,0,0.0,0,0,1,27.3,27.3,96.1%,MIN,10,2019
4,Christian McCaffrey,20,108,5.4,18,0,1,6,7,33,5.5,0,0,1,26.1,26.1,100.0%,SF,10,2019
5,Ronald Jones II,11,29,2.6,11,0,1,8,8,77,9.6,0,1,1,22.6,22.6,0.0%,FA,10,2019
6,Melvin Gordon III,22,108,4.9,24,1,1,1,1,25,25.0,0,0,1,20.3,20.3,0.0%,FA,10,2019
7,Chris Carson,25,89,3.6,9,0,1,3,4,12,4.0,0,0,1,19.1,19.1,0.3%,FA,10,2019
8,Josh Jacobs,16,71,4.4,18,0,1,3,5,30,10.0,0,0,1,19.1,19.1,99.4%,GB,10,2019
9,Joe Mixon,30,114,3.8,15,0,0,2,3,37,18.5,0,0,1,17.1,17.1,99.1%,HOU,10,2019
10,Le'Veon Bell,18,34,1.9,4,0,1,4,4,34,8.5,0,0,1,16.8,16.8,0.2%,FA,10,2019
11,Alvin Kamara,4,24,6.0,8,0,0,8,10,50,6.3,0,0,1,15.4,15.4,98.5%,NO,10,2019
12,Kareem Hunt,4,30,7.5,9,0,0,7,9,44,6.3,0,0,1,14.4,14.4,0.2%,FA,10,2019
13,Brian Hill,20,61,3.1,15,0,0,1,2,10,10.0,1,0,1,14.1,14.1,0.0%,FA,10,2019
14,Nick Chubb,20,116,5.8,24,3,0,2,4,5,2.5,0,0,1,14.1,14.1,83.5%,CLE,10,2019
15,Damien Williams,19,77,4.1,15,0,0,5,5,32,6.4,0,1,1,13.9,13.9,0.0%,FA,10,2019
16,Tarik Cohen,3,14,4.7,8,0,0,4,4,23,5.8,1,0,1,13.7,13.7,0.0%,FA,10,2019
17,Austin Ekeler,6,19,3.2,10,0,0,2,2,29,14.5,1,0,1,12.8,12.8,87.4%,WAS,10,2019
18,Peyton Barber,11,43,3.9,17,0,1,1,1,4,4.0,0,0,1,11.7,11.7,1.0%,FA,10,2019
19,J.D. McKissic,10,36,3.6,9,0,0,6,7,19,3.2,0,0,1,11.5,11.5,0.0%,FA,10,2019
20,Tevin Coleman,9,40,4.4,22,1,0,4,4,32,8.0,0,0,1,11.2,11.2,0.0%,FA,10,2019
21,Kenyan Drake,10,35,3.5,17,0,0,6,7,6,1.0,0,0,1,10.1,10.1,0.0%,FA,10,2019
22,Mark Ingram II,9,34,3.8,9,0,1,0,0,0,0.0,0,0,1,9.4,9.4,0.1%,FA,10,2019
23,Marlon Mack,19,74,3.9,20,1,0,1,1,8,8.0,0,0,1,9.2,9.2,0.0%,FA,10,2019
24,Kalen Ballage,20,43,2.2,7,0,0,4,4,2,0.5,0,0,1,8.5,8.5,0.0%,FA,10,2019
25,Nyheim Hines,3,14,4.7,7,0,0,4,7,30,7.5,0,0,1,8.4,8.4,0.3%,CLE,10,2019
26,Ezekiel Elliott,20,47,2.4,6,0,0,2,3,16,8.0,0,0,1,8.3,8.3,81.8%,DAL,10,2019
27,Jalen Richard,2,0,0.0,0,0,0,4,4,43,10.8,0,0,1,8.3,8.3,1.0%,FA,10,2019
28,Alec Ingold,1,3,3.0,3,0,0,1,1,9,9.0,1,0,1,8.2,8.2,0.1%,MIA,10,2019
29,Saquon Barkley,13,1,0.1,3,0,0,5,5,30,6.0,0,0,1,8.1,8.1,100.0%,PHI,10,2019
30,Devin Singletary,8,42,5.3,10,0,0,3,6,8,2.7,0,0,1,8.0,8.0,87.8%,NYG,10,2019
31,Devonta Freeman,10,38,3.8,12,0,0,3,4,10,3.3,0,0,1,7.8,7.8,0.0%,FA,10,2019
32,Todd Gurley II,12,73,6.1,22,1,0,0,4,0,0.0,0,0,1,7.3,7.3,0.1%,FA,10,2019
33,Jaylen Samuels,14,29,2.1,8,0,0,3,7,11,3.7,0,0,1,7.0,7.0,0.0%,FA,10,2019
34,Alexander Mattison,8,52,6.5,16,0,0,1,1,2,2.0,0,0,1,6.4,6.4,7.9%,LV,10,2019
35,Jamaal Williams,13,63,4.8,16,0,0,0,1,0,0.0,0,0,1,6.3,6.3,5.0%,NO,10,2019
36,David Montgomery,17,60,3.5,9,0,0,0,0,0,0.0,0,0,1,6.0,6.0,95.7%,DET,10,2019
37,Dare Ogunbowale,0,0,0.0,0,0,0,3,3,24,8.0,0,0,1,5.4,5.4,0.2%,HOU,10,2019
38,Matt Breida,10,18,1.8,7,0,0,2,2,7,3.5,0,0,1,4.5,4.5,0.0%,FA,10,2019
39,Raheem Mostert,6,28,4.7,8,0,0,1,1,7,7.0,0,0,1,4.5,4.5,92.7%,MIA,10,2019
40,DeAndre Washington,1,0,0.0,0,0,0,2,2,19,9.5,0,0,1,3.9,3.9,11.0%,FA,10,2019
