Rank,Player,ATT,YDS,Y/A,LG,20+,TD,REC,TGT,YDS.1,Y/R,TD.1,FL,G,FPTS,FPTS/G,ROST,Team,Week,Year
1,Saquon Barkley,22,189,8.6,67,3,1,4,4,90,22.5,1,0,1,43.9,43.9,100.0%,PHI,16,2019
2,Devonta Freeman,13,53,4.1,17,0,1,9,10,74,8.2,1,0,1,33.7,33.7,0.0%,FA,16,2019
3,Kenyan Drake,24,166,6.9,80,1,2,3,4,18,6.0,0,0,1,33.4,33.4,0.0%,FA,16,2019
4,Christian McCaffrey,13,54,4.2,14,0,0,15,15,119,7.9,0,0,1,32.3,32.3,100.0%,SF,16,2019
5,Alvin Kamara,11,80,7.3,40,1,2,6,7,30,5.0,0,0,1,29.0,29.0,98.5%,NO,16,2019
6,Aaron Jones,23,154,6.7,56,1,2,2,3,6,3.0,0,1,1,28.0,28.0,96.1%,MIN,16,2019
7,Miles Sanders,20,79,4.0,38,1,1,5,6,77,15.4,0,0,1,26.6,26.6,8.5%,CAR,16,2019
8,Melvin Gordon III,9,15,1.7,10,0,2,6,7,32,5.3,0,0,1,22.7,22.7,0.0%,FA,16,2019
9,Ronald Jones II,14,77,5.5,49,1,1,3,4,32,10.7,0,0,1,19.9,19.9,0.0%,FA,16,2019
10,Phillip Lindsay,19,109,5.7,27,1,1,2,3,9,4.5,0,0,1,19.8,19.8,0.0%,FA,16,2019
11,DeAndre Washington,23,85,3.7,13,0,1,2,3,21,10.5,0,0,1,18.6,18.6,11.0%,FA,16,2019
12,Damien Williams,16,65,4.1,12,0,0,3,3,27,9.0,1,0,1,18.2,18.2,0.0%,FA,16,2019
13,Marlon Mack,16,95,5.9,30,1,1,2,2,6,3.0,0,0,1,18.1,18.1,0.0%,FA,16,2019
14,Rex Burkhead,5,20,4.0,6,0,1,4,4,77,19.3,0,1,1,17.7,17.7,10.0%,FA,16,2019
15,Mark Ingram II,8,55,6.9,27,1,0,2,2,36,18.0,1,0,1,17.1,17.1,0.1%,FA,16,2019
16,Todd Gurley II,15,48,3.2,8,0,2,0,2,0,0.0,0,0,1,16.8,16.8,0.1%,FA,16,2019
17,Ezekiel Elliott,13,47,3.6,10,0,0,7,7,37,5.3,0,0,1,15.4,15.4,81.8%,DAL,16,2019
