Rank,Player,CMP,ATT,PCT,YDS,Y/A,TD,INT,SACKS,ATT.1,YDS.1,TD.1,FL,G,FPTS,FPTS/G,ROST,Team,Week,Year
1,Joe Burrow,30,39,76.9,446,11.4,4,0,4,5,10,0,0,1,34.8,34.8,98.2%,CIN,17,2021
2,Russell Wilson,20,29,69.0,236,8.1,4,0,1,6,24,0,0,1,27.8,27.8,6.9%,PIT,17,2021
3,Tom Brady,34,50,68.0,410,8.2,3,1,1,0,0,0,0,1,27.4,27.4,2.7%,FA,17,2021
4,Josh Allen,11,26,42.3,120,4.6,0,3,0,15,81,2,0,1,23.9,23.9,100.0%,BUF,17,2021
5,Dak Prescott,24,38,63.2,226,5.9,3,0,1,5,20,0,1,1,23.0,23.0,96.3%,DAL,17,2021
6,Kyler Murray,26,38,68.4,263,6.9,2,0,1,9,44,0,0,1,22.9,22.9,94.7%,ARI,17,2021
7,Mac Jones,22,30,73.3,227,7.6,3,0,0,2,12,0,0,1,22.3,22.3,0.1%,JAC,17,2021
8,Patrick Mahomes II,26,35,74.3,259,7.4,2,0,0,2,25,0,0,1,20.9,20.9,99.9%,KC,17,2021
9,Aaron Rodgers,29,38,76.3,288,7.6,2,0,0,2,8,0,0,1,20.3,20.3,72.2%,NYJ,17,2021
10,Trey Lance,16,23,69.6,249,10.8,2,1,1,8,31,0,0,1,20.1,20.1,0.1%,DAL,17,2021
11,Tim Boyle,22,37,59.5,262,7.1,2,3,0,1,14,0,0,1,18.9,18.9,0.0%,MIA,17,2021
12,Justin Herbert,22,31,71.0,237,7.6,2,0,0,4,2,0,0,1,17.7,17.7,65.1%,LAC,17,2021
13,Taysom Hill,17,28,60.7,222,7.9,1,0,2,12,45,0,0,1,17.4,17.4,45.9%,NO,17,2021
14,Matthew Stafford,26,35,74.3,309,8.8,2,2,1,1,-1,0,1,1,16.3,16.3,49.9%,LAR,17,2021
15,Drew Lock,18,25,72.0,245,9.8,1,0,1,3,10,0,0,1,15.9,15.9,0.1%,NYG,17,2021
16,Baker Mayfield,16,38,42.1,185,4.9,2,2,9,2,16,0,0,1,15.0,15.0,31.7%,TB,17,2021
17,Ryan Tannehill,13,18,72.2,120,6.7,2,0,1,4,7,0,0,1,13.5,13.5,0.1%,FA,17,2021
18,Zach Wilson,19,33,57.6,234,7.1,1,0,1,2,0,0,0,1,13.4,13.4,0.1%,DEN,17,2021
19,Sean Mannion,22,36,61.1,189,5.3,1,0,2,2,14,0,0,1,13.0,13.0,0.0%,FA,17,2021
20,Jalen Hurts,17,26,65.4,214,8.2,0,0,1,7,44,0,0,1,13.0,13.0,99.9%,PHI,17,2021
21,Tyler Huntley,20,32,62.5,197,6.2,0,1,5,6,54,0,0,1,12.3,12.3,0.0%,BAL,17,2021
22,Derek Carr,24,31,77.4,255,8.2,1,2,2,0,0,0,0,1,12.2,12.2,7.1%,NO,17,2021
23,Andy Dalton,18,35,51.4,173,4.9,1,1,2,3,14,0,0,1,11.3,11.3,0.1%,CAR,17,2021
24,Carson Wentz,16,27,59.3,148,5.5,1,0,1,3,10,0,0,1,10.9,10.9,0.2%,KC,17,2021
25,Trevor Lawrence,17,27,63.0,193,7.1,1,3,2,2,16,0,0,1,10.3,10.3,66.9%,JAC,17,2021
26,Taylor Heinicke,27,36,75.0,247,6.9,0,1,3,2,14,0,0,1,10.3,10.3,0.0%,LAC,17,2021
27,Davis Mills,21,32,65.6,163,5.1,1,1,3,1,4,0,0,1,9.9,9.9,0.1%,HOU,17,2021
28,Ben Roethlisberger,24,46,52.2,123,2.7,1,1,2,1,-1,0,0,1,7.8,7.8,13.6%,FA,17,2021
29,Matt Ryan,13,23,56.5,197,8.6,0,0,5,2,7,0,1,1,6.6,6.6,0.1%,FA,17,2021
30,Tua Tagovailoa,18,38,47.4,205,5.4,0,1,4,2,1,0,1,1,5.3,5.3,80.1%,MIA,17,2021
31,Sam Darnold,17,26,65.4,132,5.1,0,1,7,2,7,0,1,1,3.0,3.0,6.3%,MIN,17,2021
32,Brian Hoyer,3,4,75.0,63,15.8,0,0,0,2,1,0,0,1,2.6,2.6,0.0%,FA,17,2021
33,Jordan Love,2,4,50.0,19,4.8,0,0,0,2,9,0,0,1,1.7,1.7,95.3%,GB,17,2021
34,Marcus Mariota,0,1,0.0,0,0.0,0,0,0,3,16,0,0,1,1.6,1.6,0.1%,WAS,17,2021
35,Cam Newton,0,0,0.0,0,0.0,0,0,0,1,5,0,0,1,0.5,0.5,9.1%,FA,17,2021
36,Kellen Mond,2,3,66.7,5,1.7,0,0,0,0,0,0,0,1,0.2,0.2,0.0%,FA,17,2021
37,Trace McSorley,0,0,0.0,0,0.0,0,0,0,0,0,0,0,1,0.0,0.0,0.1%,FA,17,2021
38,Brett Rypien,0,2,0.0,0,0.0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%,MIN,17,2021
39,Brandon Allen,0,1,0.0,0,0.0,0,0,0,1,0,0,0,1,0.0,0.0,0.0%,SF,17,2021
40,Jacoby Brissett,0,0,0.0,0,0.0,0,0,0,0,0,0,0,1,0.0,0.0,0.9%,NE,17,2021
41,Mike Glennon,4,11,36.4,24,2.2,0,2,4,1,13,0,2,1,-3.7,-3.7,1.0%,FA,17,2021
