Rank,Player,CMP,ATT,PCT,YDS,Y/A,TD,INT,SACKS,ATT.1,YDS.1,TD.1,FL,G,FPTS,FPTS/G,ROST,Team,Week,Year
1,Justin Herbert,30,41,73.2,382,9.3,3,1,2,9,90,0,0,1,35.3,35.3,65.1%,LAC,11,2021
2,Aaron Rodgers,23,33,69.7,385,11.7,4,0,2,2,21,0,0,1,33.5,33.5,72.2%,NYJ,11,2021
3,Jalen Hurts,13,24,54.2,147,6.1,0,0,3,18,69,3,0,1,30.8,30.8,99.9%,PHI,11,2021
4,Trevor Siemian,22,40,55.0,214,5.4,3,2,0,2,16,1,0,1,26.2,26.2,0.0%,FA,11,2021
5,Cam Newton,21,27,77.8,189,7.0,2,0,1,10,46,1,0,1,26.2,26.2,9.1%,FA,11,2021
6,Kirk Cousins,24,35,68.6,341,9.7,3,0,2,2,-4,0,0,1,25.2,25.2,64.2%,ATL,11,2021
7,Taylor Heinicke,16,22,72.7,206,9.4,3,0,3,6,29,0,0,1,23.1,23.1,0.0%,LAC,11,2021
8,Ben Roethlisberger,28,44,63.6,273,6.2,3,0,3,0,0,0,0,1,22.9,22.9,13.6%,FA,11,2021
9,Colt McCoy,35,44,79.5,328,7.5,2,0,2,6,18,0,0,1,22.9,22.9,0.0%,FA,11,2021
10,Tom Brady,30,46,65.2,307,6.7,2,1,0,1,10,0,0,1,20.3,20.3,2.7%,FA,11,2021
11,Tyrod Taylor,14,24,58.3,107,4.5,0,0,0,6,28,2,0,1,19.1,19.1,0.2%,NYJ,11,2021
12,Tua Tagovailoa,27,33,81.8,273,8.3,2,1,0,3,6,0,0,1,18.5,18.5,80.1%,MIA,11,2021
13,Josh Allen,21,35,60.0,209,6.0,2,2,1,2,18,0,0,1,18.2,18.2,100.0%,BUF,11,2021
14,Joe Flacco,24,39,61.5,291,7.5,2,0,2,2,3,0,1,1,17.9,17.9,0.7%,IND,11,2021
15,Andy Dalton,11,23,47.8,201,8.7,2,0,1,0,0,0,0,1,16.0,16.0,0.1%,CAR,11,2021
16,Jimmy Garoppolo,16,22,72.7,176,8.0,2,0,2,2,6,0,0,1,15.6,15.6,0.1%,LAR,11,2021
17,Ryan Tannehill,35,52,67.3,323,6.2,1,4,2,2,3,0,0,1,13.2,13.2,0.1%,FA,11,2021
18,Tyler Huntley,26,36,72.2,219,6.1,0,1,6,7,40,0,0,1,11.8,11.8,0.0%,BAL,11,2021
19,Mac Jones,22,26,84.6,207,8.0,1,1,3,6,1,0,0,1,11.4,11.4,0.1%,JAC,11,2021
20,Carson Wentz,11,20,55.0,106,5.3,1,0,0,2,18,0,0,1,10.0,10.0,0.2%,KC,11,2021
21,Baker Mayfield,15,29,51.7,176,6.1,1,2,1,4,9,0,0,1,9.9,9.9,31.7%,TB,11,2021
22,Daniel Jones,23,38,60.5,167,4.4,1,2,2,3,10,0,0,1,9.7,9.7,7.4%,NYG,11,2021
23,Derek Carr,19,27,70.4,215,8.0,1,1,2,0,0,0,1,1,9.6,9.6,7.1%,NO,11,2021
24,Joe Burrow,20,29,69.0,148,5.1,1,0,3,3,11,0,1,1,9.0,9.0,98.2%,CIN,11,2021
25,Trevor Lawrence,16,25,64.0,158,6.3,0,0,3,3,23,0,0,1,8.6,8.6,66.9%,JAC,11,2021
26,Russell Wilson,14,26,53.8,207,8.0,0,0,4,2,2,0,0,1,8.5,8.5,6.9%,PIT,11,2021
27,Patrick Mahomes II,23,37,62.2,260,7.0,0,1,3,7,11,0,1,1,8.5,8.5,99.9%,KC,11,2021
28,Dak Prescott,28,43,65.1,216,5.0,0,2,5,0,0,0,1,1,4.6,4.6,96.3%,DAL,11,2021
29,Matt Ryan,19,28,67.9,153,5.5,0,2,4,0,0,0,0,1,4.1,4.1,0.1%,FA,11,2021
30,Justin Fields,4,11,36.4,79,7.2,0,0,2,4,23,0,1,1,3.5,3.5,6.0%,PIT,11,2021
31,Tim Boyle,15,23,65.2,77,3.3,0,2,0,0,0,0,0,1,1.1,1.1,0.0%,MIA,11,2021
32,Sam Ehlinger,0,0,0.0,0,0.0,0,0,0,1,9,0,0,1,0.9,0.9,0.0%,IND,11,2021
33,Trey Lance,0,0,0.0,0,0.0,0,0,0,3,4,0,0,1,0.4,0.4,0.1%,DAL,11,2021
34,Blaine Gabbert,2,2,100.0,11,5.5,0,0,1,2,-2,0,0,1,0.2,0.2,0.0%,FA,11,2021
35,Jordan Love,0,0,0.0,0,0.0,0,0,0,1,-1,0,0,1,-0.1,-0.1,95.3%,GB,11,2021
36,Mitchell Trubisky,3,5,60.0,19,3.8,0,1,0,0,0,0,0,1,-0.2,-0.2,0.1%,BUF,11,2021
37,Josh Rosen,1,3,33.3,5,1.7,0,1,0,0,0,0,0,1,-0.8,-0.8,0.0%,FA,11,2021
38,Feleipe Franks,0,1,0.0,0,0.0,0,1,0,0,0,0,0,1,-1.0,-1.0,0.0%,CAR,11,2021
