Rank,Player,TACKLE,ASSIST,SACK,PD,INT,FF,FR,DEF TD,G,FPTS,FPTS/G,ROST,Team,Week,Year
1,Kenny Young,8,2,1.0,0,0,1,0,0,1,29.0,29.0,0.0%,FA,3,2021
2,Logan Wilson,6,8,0.0,2,2,0,0,0,1,28.0,28.0,29.1%,CIN,3,2021
3,Jordan Hicks,7,5,1.0,1,0,1,0,0,1,23.8,23.8,9.4%,CLE,3,2021
4,Elandon Roberts,3,3,0.0,1,1,1,0,1,1,22.5,22.5,1.2%,PIT,3,2021
5,Alexander Johnson,5,0,2.0,1,0,0,0,0,1,22.0,22.0,0.0%,FA,3,2021
6,Eric Kendricks,6,5,1.0,0,0,0,0,0,1,21.8,21.8,11.7%,DAL,3,2021
7,Cole Holcomb,10,5,0.0,0,0,0,0,0,1,20.5,20.5,1.7%,PIT,3,2021
8,Foyesade Oluokun,9,5,0.0,0,0,0,0,0,1,19.8,19.8,93.6%,JAC,3,2021
9,Demario Davis,7,1,0.0,2,0,0,0,0,1,19.3,19.3,10.9%,NO,3,2021
10,Matt Milano,5,2,0.0,1,0,0,1,0,1,18.8,18.8,2.7%,BUF,3,2021
11,Matt Judon,2,1,2.5,0,0,0,0,0,1,18.8,18.8,12.1%,ATL,3,2021
12,Deion Jones,8,4,0.0,0,0,0,0,0,1,18.3,18.3,0.1%,FA,3,2021
13,Denzel Perryman,10,4,0.0,0,0,0,0,0,1,18.0,18.0,3.9%,LAC,3,2021
14,Quincy Williams,6,0,0.0,0,0,1,0,0,1,18.0,18.0,41.0%,NYJ,3,2021
15,Bobby Okereke,6,2,1.0,0,0,0,0,0,1,17.0,17.0,86.0%,NYG,3,2021
16,Kyzir White,5,3,1.0,0,0,0,0,0,1,16.3,16.3,18.1%,ARI,3,2021
17,De'Vondre Campbell Sr.,5,6,0.0,0,0,0,1,0,1,16.0,16.0,2.1%,SF,3,2021
18,Khalil Mack,2,0,2.0,0,0,0,0,0,1,16.0,16.0,36.9%,LAC,3,2021
19,Drue Tranquill,6,2,0.5,0,0,0,0,0,1,15.0,15.0,7.7%,KC,3,2021
20,Zach Cunningham,6,8,0.0,0,0,0,0,0,1,15.0,15.0,0.1%,FA,3,2021
21,Cory Littleton,7,3,0.0,1,0,0,0,0,1,14.3,14.3,0.0%,FA,3,2021
