Rank,Player,REC,TGT,YDS,Y/R,LG,20+,TD,ATT,YDS.1,TD.1,FL,G,FPTS,FPTS/G,ROST,Team,Week,Year
1,George Kittle,9,12,181,20.1,48,4,2,1,5,0,0,1,39.6,39.6,99.1%,SF,13,2021
2,Dallas Goedert,6,6,105,17.5,36,2,2,0,0,0,0,1,28.5,28.5,86.6%,PHI,13,2021
3,Rob Gronkowski,4,8,58,14.5,27,1,2,0,0,0,0,1,21.8,21.8,1.5%,FA,13,2021
4,T.J. Hockenson,4,8,49,12.3,25,1,1,0,0,0,0,1,14.9,14.9,76.0%,MIN,13,2021
5,Logan Thomas,3,5,48,16.0,35,1,1,0,0,0,0,1,13.8,13.8,0.1%,FA,13,2021
6,Tyler Conklin,7,9,56,8.0,19,0,0,0,0,0,0,1,12.6,12.6,29.0%,NYJ,13,2021
7,Mike Gesicki,7,11,46,6.6,17,0,0,0,0,0,0,1,11.6,11.6,3.0%,CIN,13,2021
8,Brock Wright,2,3,28,14.0,23,1,1,0,0,0,0,1,10.8,10.8,0.1%,DET,13,2021
9,Evan Engram,4,5,61,15.3,18,0,0,0,0,0,0,1,10.1,10.1,97.1%,JAC,13,2021
10,Tyler Higbee,5,6,48,9.6,22,1,0,0,0,0,0,1,9.8,9.8,1.3%,LAR,13,2021
11,Ryan Griffin,2,2,15,7.5,14,0,1,0,0,0,0,1,9.5,9.5,0.0%,FA,13,2021
12,Dalton Schultz,5,5,43,8.6,12,0,0,0,0,0,0,1,9.3,9.3,79.8%,HOU,13,2021
13,Jimmy Graham,1,1,1,1.0,1,0,1,0,0,0,0,1,9.1,9.1,0.0%,FA,13,2021
14,Mark Andrews,4,9,50,12.5,29,1,0,0,0,0,0,1,9.0,9.0,99.8%,BAL,13,2021
15,Kyle Pitts,4,7,48,12.0,29,1,0,0,0,0,0,1,8.8,8.8,97.2%,ATL,13,2021
16,Nick Vannett,3,4,48,16.0,30,1,0,0,0,0,0,1,7.8,7.8,0.0%,TEN,13,2021
17,Pat Freiermuth,3,4,26,8.7,17,0,0,0,0,0,0,1,7.6,7.6,72.9%,PIT,13,2021
18,Noah Fant,4,4,33,8.3,12,0,0,0,0,0,0,1,7.3,7.3,19.4%,SEA,13,2021
19,Cameron Brate,1,1,3,3.0,3,0,1,0,0,0,0,1,7.3,7.3,2.0%,FA,13,2021
20,John Bates,3,4,42,14.0,23,1,0,0,0,0,0,1,7.2,7.2,0.0%,WAS,13,2021
21,Cole Kmet,3,7,41,13.7,24,1,0,0,0,0,0,1,7.1,7.1,56.2%,CHI,13,2021
22,Jared Cook,3,4,29,9.7,23,1,0,0,0,0,0,1,5.9,5.9,0.0%,FA,13,2021
23,Travis Kelce,3,8,27,9.0,14,0,0,0,0,0,0,1,5.7,5.7,100.0%,KC,13,2021
24,Albert Okwuegbunam Jr.,3,4,21,7.0,10,0,0,0,0,0,0,1,5.1,5.1,0.1%,PHI,13,2021
25,C.J. Uzomah,3,6,20,6.7,10,0,0,0,0,0,0,1,5.0,5.0,0.0%,FA,13,2021
26,Foster Moreau,1,3,34,34.0,34,1,0,0,0,0,0,1,4.4,4.4,0.0%,NO,13,2021
27,Pharaoh Brown,4,5,23,5.8,12,0,0,0,0,0,1,1,4.3,4.3,0.0%,SEA,13,2021
28,Kyle Rudolph,2,4,18,9.0,11,0,0,0,0,0,0,1,3.8,3.8,0.0%,FA,13,2021
29,Juwan Johnson,1,1,27,27.0,27,1,0,0,0,0,0,1,3.7,3.7,7.8%,NO,13,2021
30,Dawson Knox,2,6,14,7.0,7,0,0,0,0,0,0,1,3.4,3.4,3.6%,BUF,13,2021
31,James O'Shaughnessy,2,6,13,6.5,7,0,0,0,0,0,0,1,3.3,3.3,0.0%,FA,13,2021
32,Zach Gentry,2,2,10,5.0,5,0,0,0,0,0,0,1,3.0,3.0,0.0%,FA,13,2021
33,Demetrius Harris,2,2,7,3.5,7,0,0,0,0,0,0,1,2.7,2.7,0.0%,FA,13,2021
34,Will Dissly,2,2,7,3.5,5,0,0,0,0,0,0,1,2.7,2.7,0.6%,LAC,13,2021
35,Brevin Jordan,2,4,7,3.5,5,0,0,0,0,0,0,1,2.7,2.7,0.1%,HOU,13,2021
36,Donald Parham Jr.,2,4,3,1.5,6,0,0,0,0,0,0,1,2.3,2.3,0.0%,DEN,13,2021
37,Jack Doyle,1,1,13,13.0,13,0,0,0,0,0,0,1,2.3,2.3,2.0%,FA,13,2021
38,Jonnu Smith,1,1,12,12.0,12,0,0,1,-1,0,0,1,2.1,2.1,5.5%,MIA,13,2021
39,Zach Ertz,1,2,10,10.0,10,0,0,0,0,0,0,1,2.0,2.0,3.1%,WAS,13,2021
40,Garrett Griffin,1,1,9,9.0,9,0,0,0,0,0,0,1,1.9,1.9,0.0%,FA,13,2021
41,Hunter Long,1,1,8,8.0,8,0,0,0,0,0,0,1,1.8,1.8,0.0%,LAR,13,2021
42,Kylen Granson,1,2,6,6.0,6,0,0,0,0,0,0,1,1.6,1.6,0.4%,IND,13,2021
43,Kendall Blanton,1,2,6,6.0,6,0,0,0,0,0,0,1,1.6,1.6,0.0%,FA,13,2021
44,Mo Alie-Cox,1,1,0,0.0,0,0,0,0,0,0,0,1,1.0,1.0,0.1%,IND,13,2021
45,Gerald Everett,4,6,7,1.8,5,0,0,0,0,0,2,1,0.7,0.7,0.8%,CHI,13,2021
46,N'Keal Harry,0,0,0,0.0,0,0,0,0,0,0,1,1,0.0,0.0,0.0%,MIN,13,2021
47,Josh Oliver,0,0,0,0.0,0,0,0,0,0,0,0,1,0.0,0.0,0.1%,MIN,13,2021
48,Charlie Woerner,0,0,0,0.0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%,ATL,13,2021
49,Rashod Berry,0,0,0,0.0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%,FA,13,2021
50,Kenny Yeboah,0,1,0,0.0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%,NYJ,13,2021
51,Sammis Reyes,0,0,0,0.0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%,MIN,13,2021
52,Luke Stocker,0,0,0,0.0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%,FA,13,2021
53,Lee Smith,0,0,0,0.0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%,FA,13,2021
54,Durham Smythe,0,1,0,0.0,0,0,0,0,0,0,0,1,0.0,0.0,0.1%,MIA,13,2021
55,Taysom Hill,0,0,0,0.0,0,0,0,11,101,0,0,1,0.0,0.0,45.9%,NO,13,2021
56,Stephen Anderson,0,0,0,0.0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%,FA,13,2021
57,Eric Tomlinson,0,0,0,0.0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%,LAC,13,2021
