Rank,Player,REC,TGT,YDS,Y/R,LG,20+,TD,ATT,YDS.1,TD.1,FL,G,FPTS,FPTS/G,ROST,Team,Week,Year
1,Noah Fant,9,11,97,10.8,26,2,1,0,0,0,0,1,24.7,24.7,19.4%,SEA,6,2021
2,Mike Gesicki,8,9,115,14.4,32,4,0,0,0,0,0,1,19.5,19.5,3.0%,CIN,6,2021
3,Travis Kelce,8,11,99,12.4,20,1,0,0,0,0,0,1,17.9,17.9,100.0%,KC,6,2021
4,Mark Andrews,5,6,68,13.6,21,1,1,0,0,0,0,1,17.8,17.8,99.8%,BAL,6,2021
5,O.J. Howard,6,7,49,8.2,15,0,1,0,0,0,0,1,16.9,16.9,0.0%,FA,6,2021
6,Ricky Seals-Jones,4,6,58,14.5,39,1,1,0,0,0,0,1,15.8,15.8,0.0%,FA,6,2021
7,T.J. Hockenson,8,11,74,9.3,33,1,0,0,0,0,0,1,15.4,15.4,76.0%,MIN,6,2021
8,Zach Ertz,4,6,29,7.3,16,0,1,0,0,0,0,1,12.9,12.9,3.1%,WAS,6,2021
9,Dalton Schultz,5,6,79,15.8,23,2,0,0,0,0,0,1,12.9,12.9,79.8%,HOU,6,2021
10,Pat Freiermuth,7,7,58,8.3,12,0,0,0,0,0,0,1,12.8,12.8,72.9%,PIT,6,2021
11,Jared Cook,4,7,25,6.3,11,0,1,0,0,0,0,1,12.5,12.5,0.0%,FA,6,2021
12,Darren Waller,5,5,59,11.8,33,1,0,0,0,0,0,1,10.9,10.9,2.9%,FA,6,2021
13,Durham Smythe,5,6,59,11.8,25,1,0,0,0,0,0,1,10.9,10.9,0.1%,MIA,6,2021
14,C.J. Uzomah,3,3,15,5.0,8,0,1,0,0,0,0,1,10.5,10.5,0.0%,FA,6,2021
15,Hunter Henry,2,2,25,12.5,20,1,1,0,0,0,0,1,10.5,10.5,19.0%,NE,6,2021
16,Tyler Conklin,3,5,71,23.7,40,2,0,0,0,0,0,1,10.1,10.1,29.0%,NYJ,6,2021
17,Mo Alie-Cox,1,3,28,28.0,28,1,1,0,0,0,0,1,9.8,9.8,0.1%,IND,6,2021
18,Eric Ebron,2,2,10,5.0,6,0,0,1,1,1,0,1,9.1,9.1,0.0%,FA,6,2021
19,Cole Kmet,4,5,49,12.3,21,1,0,1,0,0,0,1,8.9,8.9,56.2%,CHI,6,2021
20,Will Dissly,2,2,8,4.0,7,0,1,0,0,0,0,1,8.8,8.8,0.6%,LAC,6,2021
21,Tyler Higbee,5,5,36,7.2,10,0,0,0,0,0,0,1,8.6,8.6,1.3%,LAR,6,2021
22,Jordan Akins,4,6,41,10.3,13,0,0,0,0,0,0,1,8.1,8.1,0.1%,CLE,6,2021
23,Dawson Knox,3,3,25,8.3,11,0,0,0,0,0,0,1,7.5,7.5,3.6%,BUF,6,2021
24,Chris Herndon IV,1,1,2,2.0,2,0,1,0,0,0,0,1,7.2,7.2,0.0%,FA,6,2021
25,Blake Jarwin,1,2,1,1.0,1,0,1,0,0,0,0,1,7.1,7.1,4.0%,FA,6,2021
26,Tommy Sweeney,1,1,1,1.0,1,0,1,0,0,0,0,1,7.1,7.1,0.0%,FA,6,2021
27,Gerald Everett,2,3,40,20.0,41,1,0,0,0,0,0,1,6.0,6.0,0.8%,CHI,6,2021
28,Cameron Brate,3,4,26,8.7,12,0,0,0,0,0,0,1,5.6,5.6,2.0%,FA,6,2021
29,Evan Engram,3,5,24,8.0,11,0,0,0,0,0,0,1,5.4,5.4,97.1%,JAC,6,2021
30,Eric Saubert,3,5,23,7.7,11,0,0,0,0,0,0,1,5.3,5.3,0.0%,SF,6,2021
31,Ian Thomas,1,2,41,41.0,41,1,0,0,0,0,0,1,5.1,5.1,0.0%,CAR,6,2021
32,Dan Arnold,2,5,27,13.5,19,0,0,0,0,0,0,1,4.7,4.7,0.0%,FA,6,2021
33,Kyle Rudolph,1,2,8,8.0,8,0,0,0,0,0,0,1,3.8,3.8,0.0%,FA,6,2021
34,Marcedes Lewis,2,2,17,8.5,9,0,0,0,0,0,0,1,3.7,3.7,0.0%,CHI,6,2021
35,Luke Farrell,1,1,21,21.0,21,1,0,0,0,0,0,1,3.1,3.1,0.0%,JAC,6,2021
36,Robert Tonyan,2,3,10,5.0,6,0,0,0,0,0,0,1,3.0,3.0,0.0%,MIN,6,2021
37,Donald Parham Jr.,2,2,10,5.0,5,0,0,0,0,0,0,1,3.0,3.0,0.0%,DEN,6,2021
38,Pharaoh Brown,2,3,8,4.0,5,0,0,0,0,0,0,1,2.8,2.8,0.0%,SEA,6,2021
39,Foster Moreau,1,1,11,11.0,11,0,0,0,0,0,0,1,2.1,2.1,0.0%,NO,6,2021
40,Chris Manhertz,1,1,11,11.0,11,0,0,0,0,0,0,1,2.1,2.1,0.0%,NYG,6,2021
41,Anthony Firkser,1,1,11,11.0,11,0,0,0,0,0,0,1,2.1,2.1,0.0%,NYJ,6,2021
42,Tommy Tremble,0,2,0,0.0,0,0,0,1,0,0,0,1,2.0,2.0,0.1%,CAR,6,2021
43,Jonnu Smith,1,2,9,9.0,9,0,0,0,0,0,0,1,1.9,1.9,5.5%,MIA,6,2021
44,Geoff Swaim,1,2,8,8.0,8,0,0,0,0,0,0,1,1.8,1.8,0.0%,FA,6,2021
45,Cethan Carter,1,1,8,8.0,8,0,0,0,0,0,0,1,1.8,1.8,0.0%,FA,6,2021
46,John Bates,1,1,7,7.0,7,0,0,0,0,0,0,1,1.7,1.7,0.0%,WAS,6,2021
47,David Njoku,1,2,6,6.0,6,0,0,0,0,0,0,1,1.6,1.6,93.2%,CLE,6,2021
48,Austin Hooper,1,3,4,4.0,4,0,0,0,0,0,0,1,1.4,1.4,0.2%,NE,6,2021
49,Josiah Deguara,1,1,4,4.0,4,0,0,0,0,0,0,1,1.4,1.4,0.0%,JAC,6,2021
50,Josh Oliver,1,1,2,2.0,2,0,0,0,0,0,0,1,1.2,1.2,0.1%,MIN,6,2021
51,Stephen Anderson,1,2,-1,-1.0,0,0,0,0,0,0,0,1,0.9,0.9,0.0%,FA,6,2021
52,Chris Myarick,0,0,0,0.0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%,FA,6,2021
53,Jesper Horsted,0,0,0,0.0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%,FA,6,2021
54,Drew Sample,0,1,0,0.0,0,0,0,0,0,0,0,1,0.0,0.0,0.1%,CIN,6,2021
55,Jody Fortson Jr.,1,1,27,27.0,27,1,0,0,0,0,0,1,0.0,0.0,0.0%,FA,6,2021
56,Tyler Davis,0,0,0,0.0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%,GB,6,2021
57,Hunter Long,0,1,0,0.0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%,LAR,6,2021
58,Jack Doyle,0,1,0,0.0,0,0,0,0,0,0,0,1,0.0,0.0,2.0%,FA,6,2021
59,Demetrius Harris,0,0,0,0.0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%,FA,6,2021
60,Jeremy Sprinkle,0,0,0,0.0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%,FA,6,2021
61,Jacob Hollister,0,1,0,0.0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%,FA,6,2021
62,Darrell Daniels,0,1,0,0.0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%,FA,6,2021
63,MyCole Pruitt,0,1,0,0.0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%,PIT,6,2021
