Rank,Player,SACK,INT,FR,FF,DEF TD,SFTY,SPC TD,G,FPTS,FPTS/G,ROST,Team,Week,Year
1,Los Angeles Rams,6,4,0,0,1,0,0,1,21.0,21.0,1.4%,LAR,16,2022
2,Los Angeles Chargers,7,3,0,0,0,0,0,1,20.0,20.0,9.6%,LAC,16,2022
3,Houston Texans,4,2,1,2,0,0,0,1,17.0,17.0,36.0%,HOU,16,2022
4,New England Patriots,2,2,1,1,1,0,0,1,14.0,14.0,2.9%,NE,16,2022
5,Jacksonville Jaguars,3,1,1,2,0,0,0,1,14.0,14.0,19.9%,JAC,16,2022
6,Pittsburgh Steelers,3,3,0,0,0,0,0,1,13.0,13.0,91.3%,PIT,16,2022
7,Green Bay Packers,2,3,1,2,0,0,0,1,11.0,11.0,10.2%,GB,16,2022
8,Philadelphia Eagles,6,1,0,1,1,0,0,1,10.0,10.0,43.3%,PHI,16,2022
9,Buffalo Bills,2,1,1,1,0,0,0,1,10.0,10.0,51.7%,BUF,16,2022
10,Cincinnati Bengals,4,0,1,2,0,0,0,1,10.0,10.0,58.3%,CIN,16,2022
11,Indianapolis Colts,4,1,1,1,0,0,0,1,9.0,9.0,6.9%,IND,16,2022
12,Minnesota Vikings,3,1,1,2,0,0,0,1,9.0,9.0,33.7%,MIN,16,2022
13,Tampa Bay Buccaneers,1,1,2,1,0,0,0,1,8.0,8.0,6.5%,TB,16,2022
14,Kansas City Chiefs,2,1,0,0,0,0,0,1,8.0,8.0,79.3%,KC,16,2022
15,Baltimore Ravens,2,0,1,1,0,0,0,1,8.0,8.0,97.7%,BAL,16,2022
16,New Orleans Saints,2,1,0,0,0,0,0,1,8.0,8.0,64.3%,NO,16,2022
17,Dallas Cowboys,0,2,2,1,0,0,0,1,7.0,7.0,98.7%,DAL,16,2022
18,San Francisco 49ers,2,1,1,1,0,0,0,1,7.0,7.0,99.0%,SF,16,2022
19,Tennessee Titans,1,1,0,1,0,0,0,1,7.0,7.0,1.1%,TEN,16,2022
20,Las Vegas Raiders,0,1,0,0,0,0,0,1,6.0,6.0,6.5%,LV,16,2022
21,Arizona Cardinals,0,2,0,0,0,0,0,1,5.0,5.0,0.4%,ARI,16,2022
22,Miami Dolphins,2,1,0,0,0,0,0,1,4.0,4.0,77.9%,MIA,16,2022
23,New York Jets,1,0,1,1,0,0,0,1,4.0,4.0,94.9%,NYJ,16,2022
24,New York Giants,4,0,0,0,0,0,0,1,4.0,4.0,3.3%,NYG,16,2022
25,Carolina Panthers,2,0,1,0,0,0,0,1,4.0,4.0,1.0%,CAR,16,2022
26,Atlanta Falcons,0,0,0,1,0,0,0,1,3.0,3.0,11.4%,ATL,16,2022
27,Cleveland Browns,0,1,0,0,0,0,0,1,3.0,3.0,97.8%,CLE,16,2022
28,Chicago Bears,1,2,1,1,0,0,0,1,3.0,3.0,46.1%,CHI,16,2022
29,Seattle Seahawks,1,0,0,0,0,0,0,1,1.0,1.0,32.1%,SEA,16,2022
30,Washington Commanders,3,1,0,0,0,0,0,1,1.0,1.0,1.0%,WAS,16,2022
31,Detroit Lions,0,0,0,0,0,0,0,1,-4.0,-4.0,40.6%,DET,16,2022
32,Denver Broncos,0,0,0,0,0,0,0,1,-4.0,-4.0,7.8%,DEN,16,2022
