Rank,Player,SACK,INT,FR,FF,DEF TD,SFTY,SPC TD,G,FPTS,FPTS/G,ROST,Team,Week,Year
1,Cincinnati Bengals,4,2,2,2,1,0,0,1,19.0,19.0,58.3%,CIN,18,2022
2,Buffalo Bills,1,3,0,1,0,0,2,1,19.0,19.0,51.7%,BUF,18,2022
3,Washington Commanders,1,1,1,0,1,0,0,1,18.0,18.0,1.0%,WAS,18,2022
4,San Francisco 49ers,3,3,1,1,0,0,0,1,15.0,15.0,99.0%,SF,18,2022
5,Carolina Panthers,1,0,1,1,0,0,0,1,15.0,15.0,1.0%,CAR,18,2022
6,Jacksonville Jaguars,4,1,1,2,1,0,0,1,15.0,15.0,19.9%,JAC,18,2022
7,Houston Texans,2,2,1,0,1,0,0,1,14.0,14.0,36.0%,HOU,18,2022
8,Kansas City Chiefs,6,1,1,2,0,0,0,1,14.0,14.0,79.3%,KC,18,2022
9,New Orleans Saints,2,2,0,1,0,0,0,1,13.0,13.0,64.3%,NO,18,2022
10,Indianapolis Colts,1,2,1,2,1,0,0,1,13.0,13.0,6.9%,IND,18,2022
11,Pittsburgh Steelers,7,2,0,0,0,0,0,1,12.0,12.0,91.3%,PIT,18,2022
12,Minnesota Vikings,1,2,0,0,0,0,0,1,9.0,9.0,33.7%,MIN,18,2022
13,Miami Dolphins,0,0,0,2,0,1,0,1,9.0,9.0,77.9%,MIA,18,2022
14,Los Angeles Rams,3,2,0,0,0,0,0,1,8.0,8.0,1.4%,LAR,18,2022
15,Seattle Seahawks,5,1,0,0,0,0,0,1,8.0,8.0,32.1%,SEA,18,2022
16,Detroit Lions,2,1,1,1,0,0,0,1,7.0,7.0,40.6%,DET,18,2022
17,Dallas Cowboys,3,1,0,0,0,0,0,1,6.0,6.0,98.7%,DAL,18,2022
18,New York Jets,1,0,0,0,0,0,0,1,5.0,5.0,94.9%,NYJ,18,2022
19,New York Giants,3,1,0,0,0,0,0,1,5.0,5.0,3.3%,NYG,18,2022
20,Los Angeles Chargers,2,1,1,0,0,0,0,1,5.0,5.0,9.6%,LAC,18,2022
21,Baltimore Ravens,2,0,1,1,0,0,0,1,4.0,4.0,97.7%,BAL,18,2022
22,Denver Broncos,1,0,2,2,0,0,0,1,4.0,4.0,7.8%,DEN,18,2022
23,New England Patriots,2,1,2,1,0,0,0,1,4.0,4.0,2.9%,NE,18,2022
24,Tennessee Titans,1,0,1,0,0,0,0,1,4.0,4.0,1.1%,TEN,18,2022
25,Atlanta Falcons,0,0,1,1,0,0,0,1,3.0,3.0,11.4%,ATL,18,2022
26,Philadelphia Eagles,2,0,0,0,0,0,0,1,3.0,3.0,43.3%,PHI,18,2022
27,Chicago Bears,0,1,1,2,0,0,0,1,3.0,3.0,46.1%,CHI,18,2022
28,Green Bay Packers,1,0,0,1,0,0,0,1,2.0,2.0,10.2%,GB,18,2022
29,Cleveland Browns,1,0,1,1,0,0,0,1,2.0,2.0,97.8%,CLE,18,2022
30,Tampa Bay Buccaneers,1,0,1,0,0,0,0,1,2.0,2.0,6.5%,TB,18,2022
31,Las Vegas Raiders,2,0,0,0,0,0,0,1,1.0,1.0,6.5%,LV,18,2022
32,Arizona Cardinals,4,0,0,0,0,0,0,1,0.0,0.0,0.4%,ARI,18,2022
