Rank,Player,SACK,INT,FR,FF,DEF TD,SFTY,SPC TD,G,FPTS,FPTS/G,ROST,Team,Week,Year
1,Washington Commanders,5,2,0,0,1,0,0,1,19.0,19.0,1.0%,WAS,11,2022
2,Baltimore Ravens,4,2,1,1,0,0,0,1,17.0,17.0,97.7%,BAL,11,2022
3,New England Patriots,4,0,0,0,0,0,1,1,17.0,17.0,2.9%,NE,11,2022
4,Dallas Cowboys,7,0,1,1,0,0,0,1,16.0,16.0,98.7%,DAL,11,2022
5,Atlanta Falcons,4,1,0,0,0,0,1,1,12.0,12.0,11.4%,ATL,11,2022
6,Detroit Lions,2,2,1,1,0,0,0,1,11.0,11.0,40.6%,DET,11,2022
7,San Francisco 49ers,3,2,0,1,0,0,0,1,11.0,11.0,99.0%,SF,11,2022
8,New York Jets,6,0,0,0,0,0,0,1,10.0,10.0,94.9%,NYJ,11,2022
9,Carolina Panthers,3,1,0,0,0,0,0,1,9.0,9.0,1.0%,CAR,11,2022
10,Kansas City Chiefs,5,1,1,1,0,0,0,1,9.0,9.0,79.3%,KC,11,2022
11,Indianapolis Colts,3,0,2,3,0,0,0,1,8.0,8.0,6.9%,IND,11,2022
12,Philadelphia Eagles,4,0,1,1,0,0,0,1,7.0,7.0,43.3%,PHI,11,2022
13,Las Vegas Raiders,3,0,0,1,0,0,0,1,6.0,6.0,6.5%,LV,11,2022
14,New Orleans Saints,4,0,0,0,0,0,0,1,5.0,5.0,64.3%,NO,11,2022
15,Green Bay Packers,3,1,0,0,0,0,0,1,5.0,5.0,10.2%,GB,11,2022
16,Buffalo Bills,1,0,1,0,0,0,0,1,5.0,5.0,51.7%,BUF,11,2022
17,Tennessee Titans,1,0,0,1,0,0,0,1,4.0,4.0,1.1%,TEN,11,2022
18,Chicago Bears,0,0,2,1,0,0,0,1,4.0,4.0,46.1%,CHI,11,2022
19,Los Angeles Rams,4,0,0,0,0,0,0,1,4.0,4.0,1.4%,LAR,11,2022
20,Pittsburgh Steelers,2,2,0,0,0,0,0,1,2.0,2.0,91.3%,PIT,11,2022
21,Los Angeles Chargers,1,0,1,2,0,0,0,1,2.0,2.0,9.6%,LAC,11,2022
22,Houston Texans,0,0,0,0,0,0,0,1,1.0,1.0,36.0%,HOU,11,2022
23,Denver Broncos,1,0,0,0,0,0,0,1,1.0,1.0,7.8%,DEN,11,2022
24,Cleveland Browns,2,0,0,0,0,0,0,1,1.0,1.0,97.8%,CLE,11,2022
25,Cincinnati Bengals,2,0,0,0,0,0,0,1,1.0,1.0,58.3%,CIN,11,2022
26,New York Giants,0,0,0,1,0,0,0,1,-1.0,-1.0,3.3%,NYG,11,2022
27,Minnesota Vikings,0,0,0,0,0,0,0,1,-4.0,-4.0,33.7%,MIN,11,2022
28,Arizona Cardinals,0,0,0,0,0,0,0,1,-4.0,-4.0,0.4%,ARI,11,2022
