Rank,Player,SACK,INT,FR,FF,DEF TD,SFTY,SPC TD,G,FPTS,FPTS/G,ROST,Team,Week,Year
1,Tampa Bay Buccaneers,6,3,2,3,1,0,0,1,26.0,26.0,6.5%,TB,2,2022
2,Jacksonville Jaguars,5,3,0,1,0,0,0,1,21.0,21.0,19.9%,JAC,2,2022
3,Buffalo Bills,2,2,2,0,1,0,0,1,20.0,20.0,51.7%,BUF,2,2022
4,Atlanta Falcons,1,2,1,1,0,1,1,1,16.0,16.0,11.4%,ATL,2,2022
5,San Francisco 49ers,2,2,1,0,0,0,0,1,15.0,15.0,99.0%,SF,2,2022
6,Philadelphia Eagles,2,3,0,1,0,0,0,1,12.0,12.0,43.3%,PHI,2,2022
7,Kansas City Chiefs,2,1,0,0,1,0,0,1,10.0,10.0,79.3%,KC,2,2022
8,Green Bay Packers,3,1,0,0,0,0,0,1,9.0,9.0,10.2%,GB,2,2022
9,Seattle Seahawks,1,0,0,1,0,0,1,1,9.0,9.0,32.1%,SEA,2,2022
10,Arizona Cardinals,1,0,1,2,1,0,0,1,9.0,9.0,0.4%,ARI,2,2022
11,Detroit Lions,5,1,0,1,0,1,0,1,9.0,9.0,40.6%,DET,2,2022
12,Los Angeles Rams,3,2,1,1,0,0,0,1,9.0,9.0,1.4%,LAR,2,2022
13,New England Patriots,3,1,1,0,0,0,0,1,8.0,8.0,2.9%,NE,2,2022
14,New York Giants,2,0,2,2,0,0,0,1,7.0,7.0,3.3%,NYG,2,2022
15,Dallas Cowboys,6,0,0,1,0,0,0,1,7.0,7.0,98.7%,DAL,2,2022
16,Baltimore Ravens,1,2,0,0,0,0,1,1,7.0,7.0,97.7%,BAL,2,2022
17,Denver Broncos,3,0,0,2,0,0,0,1,7.0,7.0,7.8%,DEN,2,2022
18,Minnesota Vikings,3,1,0,0,0,0,0,1,7.0,7.0,33.7%,MIN,2,2022
19,Houston Texans,3,1,0,0,0,0,0,1,6.0,6.0,36.0%,HOU,2,2022
20,Chicago Bears,3,0,1,0,0,0,0,1,5.0,5.0,46.1%,CHI,2,2022
21,Cincinnati Bengals,1,0,1,1,0,0,0,1,4.0,4.0,58.3%,CIN,2,2022
22,Carolina Panthers,3,0,0,0,0,0,0,1,4.0,4.0,1.0%,CAR,2,2022
23,New Orleans Saints,1,0,1,0,0,0,0,1,4.0,4.0,64.3%,NO,2,2022
24,Las Vegas Raiders,1,1,0,0,0,0,0,1,3.0,3.0,6.5%,LV,2,2022
25,Pittsburgh Steelers,0,1,0,0,0,0,0,1,3.0,3.0,91.3%,PIT,2,2022
26,Cleveland Browns,2,0,1,2,0,0,0,1,3.0,3.0,97.8%,CLE,2,2022
27,New York Jets,1,1,0,0,0,0,0,1,2.0,2.0,94.9%,NYJ,2,2022
28,Los Angeles Chargers,1,0,0,0,0,0,0,1,1.0,1.0,9.6%,LAC,2,2022
29,Indianapolis Colts,0,0,0,0,0,0,0,1,0.0,0.0,6.9%,IND,2,2022
30,Washington Commanders,3,0,0,0,0,0,0,1,-1.0,-1.0,1.0%,WAS,2,2022
31,Tennessee Titans,1,0,0,0,0,0,0,1,-3.0,-3.0,1.1%,TEN,2,2022
32,Miami Dolphins,0,0,0,0,0,0,0,1,-4.0,-4.0,77.9%,MIA,2,2022
