RANK,PLAYER,ATT,YDS,Y/A,LG,20+,TD,REC,TGT,YDS,Y/R,TD,FL,G,FPTS,FPTS/G,ROST,WEEK
1,Jahmyr Gibbs (DET),26.0,152.0,5.8,27.0,2.0,1.0,5.0,5.0,37.0,7.4,0.0,0.0,1.0,29.9,29.9,98.8%,8.0
2,Christian McCaffrey (SF),12.0,54.0,4.5,16.0,0.0,1.0,6.0,7.0,64.0,10.7,1.0,0.0,1.0,29.8,29.8,100.0%,8.0
3,Gus Edwards (BAL),19.0,80.0,4.2,10.0,0.0,3.0,2.0,2.0,14.0,7.0,0.0,0.0,1.0,29.4,29.4,85.8%,8.0
4,Alvin Kamara (NO),17.0,59.0,3.5,16.0,0.0,1.0,4.0,5.0,51.0,12.8,1.0,0.0,1.0,27.0,27.0,98.6%,8.0
5,Travis Etienne Jr. (JAC),24.0,79.0,3.3,13.0,0.0,0.0,3.0,6.0,70.0,23.3,1.0,0.0,1.0,25.9,25.9,99.9%,8.0
6,Austin Ekeler (LAC),15.0,29.0,1.9,7.0,0.0,0.0,7.0,8.0,94.0,13.4,1.0,1.0,1.0,23.3,23.3,100.0%,8.0
7,Breece Hall (NYJ),12.0,17.0,1.4,5.0,0.0,0.0,6.0,9.0,76.0,12.7,1.0,0.0,1.0,21.3,21.3,98.1%,8.0
8,Joe Mixon (CIN),16.0,87.0,5.4,20.0,1.0,1.0,3.0,3.0,23.0,7.7,0.0,0.0,1.0,20.0,20.0,98.7%,8.0
9,Javonte Williams (DEN),27.0,85.0,3.1,15.0,0.0,0.0,3.0,3.0,13.0,4.3,1.0,0.0,1.0,18.8,18.8,91.3%,8.0
10,Rachaad White (TB),9.0,39.0,4.3,15.0,0.0,0.0,7.0,7.0,70.0,10.0,0.0,0.0,1.0,17.9,17.9,95.1%,8.0
11,Josh Jacobs (LV),15.0,61.0,4.1,9.0,0.0,1.0,2.0,4.0,27.0,13.5,0.0,0.0,1.0,16.8,16.8,99.8%,8.0
12,Derrick Henry (TEN),22.0,101.0,4.6,14.0,0.0,0.0,4.0,4.0,21.0,5.3,0.0,0.0,1.0,16.2,16.2,99.9%,8.0
13,Saquon Barkley (NYG),36.0,128.0,3.6,34.0,2.0,0.0,3.0,5.0,0.0,0.0,0.0,0.0,1.0,15.8,15.8,100.0%,8.0
14,D'Andre Swift (PHI),16.0,57.0,3.6,9.0,0.0,1.0,2.0,3.0,7.0,3.5,0.0,0.0,1.0,14.4,14.4,97.6%,8.0
15,Zack Moss (IND),11.0,66.0,6.0,41.0,3.0,1.0,1.0,1.0,8.0,8.0,0.0,0.0,1.0,14.4,14.4,56.4%,8.0
16,Kareem Hunt (CLE),14.0,55.0,3.9,9.0,0.0,1.0,1.0,1.0,12.0,12.0,0.0,0.0,1.0,13.7,13.7,65.9%,8.0
17,Darrynton Evans (MIA),4.0,18.0,4.5,11.0,0.0,1.0,3.0,4.0,22.0,7.3,0.0,0.0,1.0,13.0,13.0,0.2%,8.0
18,Bijan Robinson (ATL),11.0,62.0,5.6,25.0,1.0,1.0,0.0,5.0,0.0,0.0,0.0,0.0,1.0,12.2,12.2,99.7%,8.0
19,Darrell Henderson Jr. (LAR),12.0,31.0,2.6,7.0,0.0,0.0,3.0,3.0,54.0,18.0,0.0,0.0,1.0,11.5,11.5,38.3%,8.0
20,Jonathan Taylor (IND),12.0,95.0,7.9,42.0,3.0,0.0,1.0,2.0,2.0,2.0,0.0,0.0,1.0,10.7,10.7,98.5%,8.0
21,Raheem Mostert (MIA),13.0,46.0,3.5,10.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,10.6,10.6,97.7%,8.0
22,Najee Harris (PIT),7.0,13.0,1.9,3.0,0.0,0.0,5.0,5.0,42.0,8.4,0.0,0.0,1.0,10.5,10.5,93.0%,8.0
23,Royce Freeman (LAR),9.0,44.0,4.9,10.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,10.4,10.4,16.6%,8.0
24,AJ Dillon (GB),6.0,11.0,1.8,7.0,0.0,0.0,5.0,5.0,41.0,8.2,0.0,0.0,1.0,10.2,10.2,65.8%,8.0
25,Brian Robinson Jr. (WAS),10.0,59.0,5.9,29.0,1.0,0.0,2.0,2.0,20.0,10.0,0.0,0.0,1.0,9.9,9.9,91.1%,8.0
26,Cam Akers (MIN),9.0,19.0,2.1,9.0,0.0,1.0,1.0,1.0,6.0,6.0,0.0,0.0,1.0,9.5,9.5,24.5%,8.0
27,Justice Hill (BAL),4.0,15.0,3.8,7.0,0.0,0.0,4.0,4.0,40.0,10.0,0.0,0.0,1.0,9.5,9.5,18.1%,8.0
28,Antonio Gibson (WAS),2.0,14.0,7.0,8.0,0.0,0.0,5.0,5.0,28.0,5.6,0.0,0.0,1.0,9.2,9.2,47.3%,8.0
29,Pierre Strong Jr. (CLE),10.0,41.0,4.1,12.0,0.0,0.0,1.0,1.0,41.0,41.0,0.0,0.0,1.0,9.2,9.2,0.9%,8.0
30,Emari Demercado (ARI),20.0,78.0,3.9,13.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,8.9,8.9,9.6%,8.0
31,Aaron Jones (GB),7.0,29.0,4.1,7.0,0.0,0.0,4.0,5.0,17.0,4.3,0.0,0.0,1.0,8.6,8.6,94.7%,8.0
32,Zach Charbonnet (SEA),5.0,53.0,10.6,21.0,2.0,0.0,2.0,2.0,11.0,5.5,0.0,0.0,1.0,8.4,8.4,64.6%,8.0
33,James Cook (BUF),14.0,67.0,4.8,18.0,0.0,0.0,1.0,1.0,6.0,6.0,0.0,0.0,1.0,8.3,8.3,94.7%,8.0
34,Kenneth Walker III (SEA),8.0,66.0,8.3,45.0,3.0,0.0,1.0,2.0,4.0,4.0,0.0,0.0,1.0,8.0,8.0,98.0%,8.0
35,Jaylen Warren (PIT),5.0,19.0,3.8,8.0,0.0,0.0,4.0,5.0,19.0,4.8,0.0,0.0,1.0,7.8,7.8,80.3%,8.0
36,Craig Reynolds (DET),14.0,74.0,5.3,13.0,0.0,0.0,1.0,1.0,12.0,12.0,0.0,1.0,1.0,7.6,7.6,2.7%,8.0
37,Chuba Hubbard (CAR),15.0,28.0,1.9,8.0,0.0,0.0,2.0,2.0,26.0,13.0,0.0,0.0,1.0,7.4,7.4,55.5%,8.0
38,Rhamondre Stevenson (NE),10.0,39.0,3.9,11.0,0.0,0.0,2.0,4.0,11.0,5.5,0.0,0.0,1.0,7.0,7.0,95.1%,8.0
39,Isiah Pacheco (KC),8.0,40.0,5.0,19.0,0.0,0.0,3.0,4.0,-3.0,-1.0,0.0,0.0,1.0,6.7,6.7,96.2%,8.0
40,Tyjae Spears (TEN),3.0,27.0,9.0,23.0,1.0,0.0,3.0,4.0,9.0,3.0,0.0,0.0,1.0,6.6,6.6,36.1%,8.0
41,Tony Pollard (DAL),12.0,53.0,4.4,13.0,0.0,0.0,1.0,1.0,2.0,2.0,0.0,0.0,1.0,6.5,6.5,99.7%,8.0
42,Devin Singletary (HOU),10.0,30.0,3.0,9.0,0.0,0.0,2.0,2.0,13.0,6.5,0.0,0.0,1.0,6.3,6.3,78.0%,8.0
43,Roschon Johnson (CHI),6.0,21.0,3.5,11.0,0.0,0.0,3.0,4.0,10.0,3.3,0.0,0.0,1.0,6.1,6.1,21.6%,8.0
44,Jaleel McLaughlin (DEN),4.0,33.0,8.3,13.0,0.0,0.0,2.0,2.0,6.0,3.0,0.0,0.0,1.0,5.9,5.9,17.6%,8.0
45,Jeff Wilson Jr. (MIA),5.0,23.0,4.6,11.0,0.0,0.0,2.0,2.0,14.0,7.0,0.0,0.0,1.0,5.7,5.7,16.6%,8.0
46,Salvon Ahmed (MIA),2.0,1.0,0.5,2.0,0.0,0.0,4.0,4.0,16.0,4.0,0.0,0.0,1.0,5.7,5.7,2.0%,8.0
47,Kenneth Gainwell (PHI),2.0,-4.0,-2.0,0.0,0.0,0.0,5.0,5.0,30.0,6.0,0.0,1.0,1.0,5.6,5.6,20.8%,8.0
48,Raheem Blackshear (CAR),3.0,5.0,1.7,6.0,0.0,0.0,2.0,2.0,26.0,13.0,0.0,0.0,1.0,5.1,5.1,0.4%,8.0
49,Jerome Ford (CLE),9.0,37.0,4.1,12.0,0.0,0.0,1.0,2.0,2.0,2.0,0.0,0.0,1.0,4.9,4.9,87.4%,8.0
50,Jamaal Williams (NO),6.0,30.0,5.0,10.0,0.0,0.0,1.0,1.0,8.0,8.0,0.0,0.0,1.0,4.8,4.8,20.6%,8.0
51,Dameon Pierce (HOU),12.0,46.0,3.8,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.6,4.6,69.9%,8.0
52,D'Onta Foreman (CHI),9.0,34.0,3.8,12.0,0.0,0.0,1.0,2.0,2.0,2.0,0.0,0.0,1.0,4.6,4.6,50.2%,8.0
53,Rico Dowdle (DAL),5.0,18.0,3.6,7.0,0.0,0.0,2.0,2.0,7.0,3.5,0.0,0.0,1.0,4.5,4.5,10.7%,8.0
54,Alexander Mattison (MIN),16.0,31.0,1.9,10.0,0.0,0.0,1.0,1.0,2.0,2.0,0.0,0.0,1.0,4.3,4.3,89.6%,8.0
55,Chase Edmonds (TB),3.0,5.0,1.7,2.0,0.0,0.0,2.0,3.0,16.0,8.0,0.0,0.0,1.0,4.1,4.1,0.9%,8.0
56,Samaje Perine (DEN),1.0,5.0,5.0,5.0,0.0,0.0,2.0,3.0,16.0,8.0,0.0,0.0,1.0,4.1,4.1,22.4%,8.0
57,Ezekiel Elliott (NE),7.0,36.0,5.1,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.6,3.6,36.9%,8.0
58,Tyler Allgeier (ATL),8.0,31.0,3.9,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.1,3.1,50.6%,8.0
59,Kendre Miller (NO),3.0,10.0,3.3,7.0,0.0,0.0,1.0,1.0,9.0,9.0,0.0,0.0,1.0,2.9,2.9,3.9%,8.0
60,Ameer Abdullah (LV),1.0,7.0,7.0,7.0,0.0,0.0,1.0,1.0,12.0,12.0,0.0,0.0,1.0,2.9,2.9,0.5%,8.0
61,Matt Breida (NYG),5.0,13.0,2.6,6.0,0.0,0.0,1.0,1.0,4.0,4.0,0.0,0.0,1.0,2.7,2.7,3.1%,8.0
62,Keaontay Ingram (ARI),2.0,9.0,4.5,14.0,0.0,0.0,1.0,1.0,7.0,7.0,0.0,0.0,1.0,2.6,2.6,3.1%,8.0
63,Mike Boone (HOU),1.0,5.0,5.0,5.0,0.0,0.0,1.0,1.0,11.0,11.0,0.0,0.0,1.0,2.6,2.6,1.2%,8.0
64,Latavius Murray (BUF),5.0,7.0,1.4,5.0,0.0,0.0,1.0,1.0,4.0,4.0,0.0,0.0,1.0,2.1,2.1,19.8%,8.0
65,Joshua Kelley (LAC),6.0,21.0,3.5,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.1,2.1,13.4%,8.0
66,Damien Williams (FA),2.0,5.0,2.5,7.0,0.0,0.0,1.0,1.0,4.0,4.0,0.0,0.0,1.0,1.9,1.9,0.1%,8.0
67,Isaiah Spiller (LAC),3.0,3.0,1.0,2.0,0.0,0.0,1.0,1.0,5.0,5.0,0.0,0.0,1.0,1.8,1.8,0.3%,8.0
68,Jerick McKinnon (KC),2.0,-2.0,-1.0,1.0,0.0,0.0,1.0,2.0,10.0,10.0,0.0,0.0,1.0,1.8,1.8,29.1%,8.0
69,Alec Ingold (MIA),0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,5.0,5.0,0.0,0.0,1.0,1.5,1.5,0.1%,8.0
70,Boston Scott (PHI),0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.0,4.0,0.0,0.0,1.0,1.4,1.4,0.2%,8.0
71,C.J. Ham (MIN),0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,0.0,0.0,1.0,1.2,1.2,0.1%,8.0
72,Alex Armah Jr. (WAS),0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0%,8.0
73,D'Ernest Johnson (JAC),2.0,8.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.8,0.8,0.6%,8.0
74,Hunter Luepke (DAL),0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,-2.0,-2.0,0.0,0.0,1.0,0.8,0.8,0.0%,8.0
75,Cordarrelle Patterson (ATL),2.0,7.0,3.5,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.7,0.7,1.8%,8.0
76,Trayveon Williams (CIN),2.0,6.0,3.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.6,0.6,0.7%,8.0
77,Dalvin Cook (NYJ),2.0,5.0,2.5,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,0.5,26.7%,8.0
78,Clyde Edwards-Helaire (KC),1.0,4.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.4,0.4,3.8%,8.0
79,Elijah Mitchell (SF),3.0,2.0,0.7,5.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.2,0.2,17.1%,8.0
80,Michael Carter (ARI),2.0,2.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.2,0.2,1.7%,8.0
81,Ke'Shawn Vaughn (TB),1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.1,0.1,0.3%,8.0
82,Austin Walter (LV),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0%,8.0
83,Khari Blasingame (CHI),0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0%,8.0
84,Andrew Beck (HOU),2.0,1.0,0.5,1.0,0.0,1.0,1.0,1.0,8.0,8.0,0.0,1.0,1.0,0.0,0.0,0.0%,8.0
85,Jakob Johnson (LV),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0%,8.0
86,J.J. Taylor (HOU),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0%,8.0
87,Trey Sermon (IND),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1%,8.0
88,Anthony McFarland Jr. (PIT),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1%,8.0
89,Eno Benjamin (NO),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0%,8.0
90,La'Mical Perine (KC),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0%,8.0
91,J.K. Dobbins (BAL),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.7%,8.0
92,Derrick Gore (WAS),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0%,8.0
93,Miles Sanders (CAR),2.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,55.3%,8.0
