RANK,PLAYER,ATT,YDS,Y/A,LG,20+,TD,REC,TGT,YDS,Y/R,TD,FL,G,FPTS,FPTS/G,ROST,WEEK
1,Aaron Jones (GB),9.0,41.0,4.6,9.0,0.0,1.0,2.0,4.0,86.0,43.0,1.0,0.0,1.0,26.7,26.7,94.7%,1.0
2,Austin Ekeler (LAC),16.0,117.0,7.3,55.0,4.0,1.0,4.0,5.0,47.0,11.8,0.0,0.0,1.0,26.4,26.4,100.0%,1.0
3,Christian McCaffrey (SF),22.0,152.0,6.9,65.0,4.0,1.0,3.0,5.0,17.0,5.7,0.0,0.0,1.0,25.9,25.9,100.0%,1.0
4,Tyler Allgeier (ATL),15.0,75.0,5.0,22.0,1.0,2.0,3.0,3.0,19.0,6.3,0.0,0.0,1.0,24.4,24.4,50.6%,1.0
5,Tony Pollard (DAL),14.0,70.0,5.0,25.0,1.0,2.0,2.0,3.0,12.0,6.0,0.0,0.0,1.0,22.2,22.2,99.7%,1.0
6,Travis Etienne Jr. (JAC),18.0,77.0,4.3,26.0,1.0,1.0,5.0,5.0,27.0,5.4,0.0,0.0,1.0,21.4,21.4,99.9%,1.0
7,Bijan Robinson (ATL),10.0,56.0,5.6,21.0,1.0,0.0,6.0,6.0,27.0,4.5,1.0,0.0,1.0,20.3,20.3,99.7%,1.0
8,Roschon Johnson (CHI),5.0,20.0,4.0,11.0,0.0,1.0,6.0,7.0,35.0,5.8,0.0,0.0,1.0,17.5,17.5,21.6%,1.0
9,Kyren Williams (LAR),15.0,52.0,3.5,9.0,0.0,2.0,0.0,2.0,2.0,0.0,0.0,0.0,1.0,17.4,17.4,88.9%,1.0
10,Nick Chubb (CLE),18.0,106.0,5.9,17.0,0.0,0.0,4.0,4.0,21.0,5.3,0.0,0.0,1.0,16.7,16.7,22.8%,1.0
11,Breece Hall (NYJ),10.0,127.0,12.7,83.0,5.0,0.0,1.0,2.0,20.0,20.0,0.0,0.0,1.0,15.7,15.7,98.1%,1.0
12,Joshua Kelley (LAC),16.0,91.0,5.7,14.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,15.1,15.1,13.4%,1.0
13,Rhamondre Stevenson (NE),12.0,25.0,2.1,5.0,0.0,0.0,6.0,6.0,64.0,10.7,0.0,0.0,1.0,14.9,14.9,95.1%,1.0
14,Derrick Henry (TEN),15.0,63.0,4.2,18.0,0.0,0.0,2.0,3.0,56.0,28.0,0.0,0.0,1.0,13.9,13.9,99.9%,1.0
15,Brian Robinson Jr. (WAS),19.0,59.0,3.1,7.0,0.0,0.0,1.0,2.0,7.0,7.0,1.0,0.0,1.0,13.6,13.6,91.1%,1.0
16,Alexander Mattison (MIN),11.0,34.0,3.1,9.0,0.0,0.0,3.0,4.0,10.0,3.3,1.0,0.0,1.0,13.4,13.4,89.6%,1.0
17,David Montgomery (DET),21.0,74.0,3.5,8.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,13.4,13.4,96.0%,1.0
18,Raheem Mostert (MIA),10.0,37.0,3.7,12.0,0.0,1.0,2.0,2.0,13.0,6.5,0.0,0.0,1.0,13.0,13.0,97.7%,1.0
19,Justice Hill (BAL),8.0,9.0,1.1,4.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,12.9,12.9,18.1%,1.0
20,James Conner (ARI),14.0,62.0,4.4,12.0,0.0,0.0,5.0,5.0,8.0,1.6,0.0,0.0,1.0,12.0,12.0,91.9%,1.0
21,Samaje Perine (DEN),8.0,41.0,5.1,12.0,0.0,0.0,4.0,4.0,37.0,9.3,0.0,0.0,1.0,11.8,11.8,22.4%,1.0
22,Miles Sanders (CAR),18.0,72.0,4.0,10.0,0.0,0.0,4.0,6.0,26.0,6.5,0.0,1.0,1.0,11.8,11.8,55.3%,1.0
23,J.K. Dobbins (BAL),8.0,22.0,2.8,4.0,0.0,1.0,2.0,3.0,15.0,7.5,0.0,0.0,1.0,11.7,11.7,16.7%,1.0
24,Kenneth Gainwell (PHI),14.0,54.0,3.9,16.0,0.0,0.0,4.0,4.0,20.0,5.0,0.0,0.0,1.0,11.4,11.4,20.8%,1.0
25,Khalil Herbert (CHI),9.0,27.0,3.0,12.0,0.0,0.0,3.0,5.0,37.0,12.3,0.0,0.0,1.0,11.4,11.4,70.5%,1.0
26,Kenneth Walker III (SEA),12.0,64.0,5.3,15.0,0.0,0.0,4.0,5.0,3.0,0.8,0.0,0.0,1.0,10.7,10.7,98.0%,1.0
27,Joe Mixon (CIN),13.0,56.0,4.3,22.0,1.0,0.0,3.0,5.0,17.0,5.7,0.0,0.0,1.0,10.3,10.3,98.7%,1.0
28,James Cook (BUF),12.0,46.0,3.8,13.0,0.0,0.0,4.0,6.0,17.0,4.3,0.0,0.0,1.0,10.3,10.3,94.7%,1.0
29,Javonte Williams (DEN),13.0,52.0,4.0,11.0,0.0,0.0,4.0,6.0,5.0,1.3,0.0,0.0,1.0,9.7,9.7,91.3%,1.0
30,Isiah Pacheco (KC),8.0,23.0,2.9,7.0,0.0,0.0,4.0,4.0,31.0,7.8,0.0,0.0,1.0,9.4,9.4,96.2%,1.0
31,Saquon Barkley (NYG),12.0,51.0,4.3,18.0,0.0,0.0,3.0,4.0,12.0,4.0,0.0,0.0,1.0,9.3,9.3,100.0%,1.0
32,Josh Jacobs (LV),19.0,48.0,2.5,7.0,0.0,0.0,2.0,3.0,23.0,11.5,0.0,0.0,1.0,9.1,9.1,99.8%,1.0
33,Cam Akers (MIN),22.0,29.0,1.3,12.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,8.9,8.9,24.5%,1.0
34,Chuba Hubbard (CAR),9.0,60.0,6.7,21.0,1.0,0.0,2.0,2.0,9.0,4.5,0.0,0.0,1.0,8.9,8.9,55.5%,1.0
35,Dalvin Cook (NYJ),13.0,33.0,2.5,10.0,0.0,0.0,3.0,3.0,26.0,8.7,0.0,0.0,1.0,8.9,8.9,26.7%,1.0
36,Jahmyr Gibbs (DET),7.0,42.0,6.0,18.0,0.0,0.0,2.0,2.0,18.0,9.0,0.0,0.0,1.0,8.0,8.0,98.8%,1.0
37,Ezekiel Elliott (NE),7.0,29.0,4.1,11.0,0.0,0.0,5.0,7.0,14.0,2.8,0.0,1.0,1.0,7.3,7.3,36.9%,1.0
38,Jamaal Williams (NO),18.0,45.0,2.5,11.0,0.0,0.0,2.0,2.0,7.0,3.5,0.0,0.0,1.0,7.2,7.2,20.6%,1.0
39,Rachaad White (TB),17.0,39.0,2.3,6.0,0.0,0.0,2.0,2.0,10.0,5.0,0.0,0.0,1.0,6.9,6.9,95.1%,1.0
