RANK,PLAYER,ATT,YDS,Y/A,LG,20+,TD,REC,TGT,YDS,Y/R,TD,FL,G,FPTS,FPTS/G,ROST,WEEK
1,Travis Etienne Jr. (JAC),26.0,136.0,5.2,35.0,4.0,2.0,4.0,5.0,48.0,12.0,0.0,0.0,1.0,36.4,36.4,99.9%,5.0
2,Zack Moss (IND),23.0,165.0,7.2,56.0,4.0,2.0,2.0,2.0,30.0,15.0,0.0,0.0,1.0,33.5,33.5,56.4%,5.0
3,Breece Hall (NYJ),22.0,177.0,8.0,72.0,4.0,1.0,3.0,3.0,17.0,5.7,0.0,0.0,1.0,28.4,28.4,98.1%,5.0
4,De'Von Achane (MIA),11.0,151.0,13.7,76.0,5.0,1.0,1.0,1.0,14.0,14.0,0.0,1.0,1.0,21.5,21.5,92.6%,5.0
5,David Montgomery (DET),19.0,109.0,5.7,42.0,3.0,1.0,2.0,6.0,20.0,10.0,0.0,0.0,1.0,20.9,20.9,96.0%,5.0
6,Josh Jacobs (LV),20.0,69.0,3.5,24.0,1.0,1.0,5.0,5.0,20.0,4.0,0.0,0.0,1.0,19.9,19.9,99.8%,5.0
7,Alvin Kamara (NO),22.0,80.0,3.6,10.0,0.0,1.0,3.0,3.0,17.0,5.7,0.0,0.0,1.0,18.7,18.7,98.6%,5.0
8,Jaleel McLaughlin (DEN),9.0,68.0,7.6,38.0,3.0,0.0,3.0,4.0,21.0,7.0,1.0,0.0,1.0,17.9,17.9,17.6%,5.0
9,Tyjae Spears (TEN),7.0,34.0,4.9,19.0,0.0,1.0,4.0,5.0,35.0,8.8,0.0,0.0,1.0,16.9,16.9,36.1%,5.0
10,D'Andre Swift (PHI),17.0,70.0,4.1,17.0,0.0,0.0,6.0,6.0,38.0,6.3,0.0,0.0,1.0,16.8,16.8,97.6%,5.0
11,Raheem Mostert (MIA),10.0,65.0,6.5,23.0,1.0,1.0,2.0,2.0,13.0,6.5,0.0,0.0,1.0,15.8,15.8,97.7%,5.0
12,Christian McCaffrey (SF),19.0,51.0,2.7,8.0,0.0,1.0,2.0,3.0,27.0,13.5,0.0,1.0,1.0,13.8,13.8,100.0%,5.0
13,AJ Dillon (GB),20.0,76.0,3.8,11.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,13.6,13.6,65.8%,5.0
14,Joe Mixon (CIN),25.0,81.0,3.2,10.0,0.0,0.0,4.0,4.0,13.0,3.3,0.0,0.0,1.0,13.4,13.4,98.7%,5.0
15,Isiah Pacheco (KC),16.0,55.0,3.4,11.0,0.0,1.0,1.0,1.0,9.0,9.0,0.0,0.0,1.0,13.4,13.4,96.2%,5.0
16,Kendre Miller (NO),12.0,37.0,3.1,8.0,0.0,0.0,4.0,4.0,53.0,13.3,0.0,0.0,1.0,13.0,13.0,3.9%,5.0
17,Jordan Mason (SF),10.0,69.0,6.9,26.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,12.9,12.9,1.7%,5.0
18,Emari Demercado (ARI),10.0,45.0,4.5,11.0,0.0,1.0,1.0,3.0,12.0,12.0,0.0,0.0,1.0,12.7,12.7,9.6%,5.0
19,Alexander Mattison (MIN),8.0,26.0,3.3,7.0,0.0,0.0,2.0,3.0,20.0,10.0,1.0,0.0,1.0,12.6,12.6,89.6%,5.0
20,Kyle Juszczyk (SF),0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,26.0,6.5,1.0,0.0,1.0,12.6,12.6,0.3%,5.0
21,Justice Hill (BAL),7.0,32.0,4.6,14.0,0.0,1.0,4.0,4.0,13.0,3.3,0.0,1.0,1.0,12.5,12.5,18.1%,5.0
22,Bijan Robinson (ATL),14.0,46.0,3.3,13.0,0.0,0.0,2.0,2.0,12.0,6.0,1.0,1.0,1.0,11.8,11.8,99.7%,5.0
23,Samaje Perine (DEN),6.0,22.0,3.7,8.0,0.0,0.0,4.0,5.0,73.0,18.3,0.0,1.0,1.0,11.5,11.5,22.4%,5.0
24,Craig Reynolds (DET),7.0,52.0,7.4,19.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,11.2,11.2,2.7%,5.0
25,Jaylen Warren (PIT),9.0,40.0,4.4,16.0,0.0,0.0,3.0,3.0,39.0,13.0,0.0,0.0,1.0,10.9,10.9,80.3%,5.0
26,Antonio Gibson (WAS),0.0,0.0,0.0,0.0,0.0,0.0,4.0,6.0,64.0,16.0,0.0,0.0,1.0,10.4,10.4,47.3%,5.0
27,Derrick Henry (TEN),13.0,43.0,3.3,8.0,0.0,0.0,3.0,3.0,19.0,6.3,0.0,0.0,1.0,9.2,9.2,99.9%,5.0
28,Dameon Pierce (HOU),20.0,66.0,3.3,15.0,0.0,0.0,1.0,1.0,16.0,16.0,0.0,0.0,1.0,9.2,9.2,69.9%,5.0
29,Tony Pollard (DAL),8.0,29.0,3.6,10.0,0.0,0.0,4.0,5.0,35.0,8.8,0.0,1.0,1.0,8.4,8.4,99.7%,5.0
30,Brian Robinson Jr. (WAS),6.0,10.0,1.7,5.0,0.0,0.0,4.0,4.0,33.0,8.3,0.0,0.0,1.0,8.3,8.3,91.1%,5.0
31,Ezekiel Elliott (NE),8.0,21.0,2.6,8.0,0.0,0.0,4.0,4.0,17.0,4.3,0.0,0.0,1.0,7.8,7.8,36.9%,5.0
32,Kyren Williams (LAR),13.0,53.0,4.1,11.0,0.0,0.0,2.0,2.0,4.0,2.0,0.0,0.0,1.0,7.7,7.7,88.9%,5.0
33,Khalil Herbert (CHI),10.0,76.0,7.6,34.0,2.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,7.6,7.6,70.5%,5.0
34,Tyler Allgeier (ATL),17.0,40.0,2.4,12.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,6.0,6.0,50.6%,5.0
35,Michael Carter (ARI),1.0,8.0,8.0,8.0,0.0,0.0,3.0,3.0,14.0,4.7,0.0,0.0,1.0,5.2,5.2,1.7%,5.0
36,James Cook (BUF),5.0,-4.0,-0.8,5.0,0.0,0.0,3.0,4.0,25.0,8.3,0.0,0.0,1.0,5.1,5.1,94.7%,5.0
37,Najee Harris (PIT),14.0,37.0,2.6,8.0,0.0,0.0,1.0,1.0,3.0,3.0,0.0,0.0,1.0,5.0,5.0,93.0%,5.0
38,Gus Edwards (BAL),12.0,48.0,4.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.8,4.8,85.8%,5.0
39,James Conner (ARI),6.0,46.0,7.7,35.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.6,4.6,91.9%,5.0
40,Chuba Hubbard (CAR),9.0,35.0,3.9,6.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,4.5,4.5,55.5%,5.0
41,Jerick McKinnon (KC),1.0,7.0,7.0,7.0,0.0,0.0,2.0,3.0,18.0,9.0,0.0,0.0,1.0,4.5,4.5,29.1%,5.0
42,Jonathan Taylor (IND),6.0,18.0,3.0,5.0,0.0,0.0,1.0,1.0,16.0,16.0,0.0,0.0,1.0,4.4,4.4,98.5%,5.0
43,Keith Smith (ATL),0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,28.0,28.0,0.0,0.0,1.0,3.8,3.8,0.0%,5.0
44,Cam Akers (MIN),5.0,15.0,3.0,6.0,0.0,0.0,2.0,2.0,3.0,1.5,0.0,0.0,1.0,3.8,3.8,24.5%,5.0
45,Eric Gray (NYG),12.0,25.0,2.1,8.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,3.6,3.6,0.1%,5.0
46,Matt Breida (NYG),9.0,21.0,2.3,8.0,0.0,0.0,1.0,1.0,3.0,3.0,0.0,0.0,1.0,3.4,3.4,3.1%,5.0
47,Kenneth Gainwell (PHI),7.0,17.0,2.4,4.0,0.0,0.0,1.0,2.0,7.0,7.0,0.0,0.0,1.0,3.4,3.4,20.8%,5.0
48,Patrick Taylor Jr. (GB),2.0,2.0,1.0,5.0,0.0,0.0,2.0,5.0,5.0,2.5,0.0,0.0,1.0,2.7,2.7,0.3%,5.0
49,Khari Blasingame (CHI),8.0,26.0,3.3,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.6,2.6,0.0%,5.0
50,Ameer Abdullah (LV),1.0,4.0,4.0,4.0,0.0,0.0,1.0,1.0,11.0,11.0,0.0,0.0,1.0,2.5,2.5,0.5%,5.0
51,Rhamondre Stevenson (NE),8.0,24.0,3.0,8.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,2.4,2.4,95.1%,5.0
52,Dalvin Cook (NYJ),6.0,23.0,3.8,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.3,2.3,26.7%,5.0
53,Tyrion Davis-Price (SF),6.0,21.0,3.5,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.1,2.1,0.1%,5.0
54,Michael Burton (DEN),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,0.0%,5.0
55,Roschon Johnson (CHI),3.0,19.0,6.3,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.9,1.9,21.6%,5.0
56,Zonovan Knight (DET),0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,8.0,8.0,0.0,0.0,1.0,1.8,1.8,0.3%,5.0
57,Deuce Vaughn (DAL),3.0,7.0,2.3,4.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.8,1.8,1.2%,5.0
58,Cordarrelle Patterson (ATL),0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,7.0,7.0,0.0,0.0,1.0,1.7,1.7,1.8%,5.0
59,Latavius Murray (BUF),2.0,6.0,3.0,4.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.7,1.7,19.8%,5.0
60,Ty Montgomery II (NE),1.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,5.0,5.0,0.0,0.0,1.0,1.5,1.5,0.2%,5.0
61,Ty Chandler (MIN),1.0,15.0,15.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.5,1.5,46.9%,5.0
62,Rico Dowdle (DAL),5.0,15.0,3.0,8.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.5,1.5,10.7%,5.0
