RANK,PLAYER,ATT,YDS,Y/A,LG,20+,TD,REC,TGT,YDS,Y/R,TD,FL,G,FPTS,FPTS/G,ROST,WEEK
1,Saquon Barkley (NYG),14.0,83.0,5.9,36.0,4.0,0.0,4.0,5.0,57.0,14.3,2.0,0.0,1.0,30.0,30.0,100.0%,11.0
2,Jaylen Warren (PIT),9.0,129.0,14.3,74.0,5.0,1.0,3.0,3.0,16.0,5.3,0.0,0.0,1.0,23.5,23.5,80.3%,11.0
3,Jahmyr Gibbs (DET),8.0,36.0,4.5,14.0,0.0,1.0,6.0,6.0,59.0,9.8,0.0,0.0,1.0,21.5,21.5,98.8%,11.0
4,Christian McCaffrey (SF),21.0,78.0,3.7,12.0,0.0,0.0,5.0,5.0,25.0,5.0,1.0,0.0,1.0,21.3,21.3,100.0%,11.0
5,Joe Mixon (CIN),16.0,69.0,4.3,14.0,0.0,0.0,5.0,5.0,31.0,6.2,1.0,0.0,1.0,21.0,21.0,98.7%,11.0
6,Gus Edwards (BAL),12.0,62.0,5.2,26.0,1.0,2.0,2.0,2.0,8.0,4.0,0.0,0.0,1.0,21.0,21.0,85.8%,11.0
7,Brian Robinson Jr. (WAS),17.0,73.0,4.3,18.0,0.0,0.0,7.0,9.0,59.0,8.4,0.0,0.0,1.0,20.2,20.2,91.1%,11.0
8,Devin Singletary (HOU),22.0,112.0,5.1,21.0,1.0,1.0,2.0,2.0,6.0,3.0,0.0,0.0,1.0,19.8,19.8,78.0%,11.0
9,D'Andre Swift (PHI),12.0,76.0,6.3,35.0,2.0,1.0,3.0,3.0,31.0,10.3,0.0,0.0,1.0,19.7,19.7,97.6%,11.0
10,James Cook (BUF),17.0,73.0,4.3,12.0,0.0,0.0,3.0,4.0,29.0,9.7,1.0,0.0,1.0,19.2,19.2,94.7%,11.0
11,Breece Hall (NYJ),10.0,23.0,2.3,14.0,0.0,0.0,5.0,6.0,50.0,10.0,1.0,0.0,1.0,18.3,18.3,98.1%,11.0
12,Tony Pollard (DAL),12.0,61.0,5.1,22.0,2.0,1.0,4.0,5.0,19.0,4.8,0.0,0.0,1.0,18.0,18.0,99.7%,11.0
13,Rachaad White (TB),9.0,30.0,3.3,7.0,0.0,1.0,6.0,7.0,28.0,4.7,0.0,0.0,1.0,17.8,17.8,95.1%,11.0
14,David Montgomery (DET),12.0,76.0,6.3,20.0,1.0,1.0,2.0,2.0,22.0,11.0,0.0,0.0,1.0,17.8,17.8,96.0%,11.0
15,Ty Chandler (MIN),10.0,73.0,7.3,31.0,2.0,0.0,4.0,4.0,37.0,9.3,0.0,0.0,1.0,15.0,15.0,46.9%,11.0
16,Ty Johnson (BUF),3.0,11.0,3.7,13.0,0.0,0.0,3.0,3.0,47.0,15.7,1.0,0.0,1.0,14.8,14.8,0.2%,11.0
17,Samaje Perine (DEN),1.0,7.0,7.0,7.0,0.0,0.0,7.0,7.0,60.0,8.6,0.0,0.0,1.0,13.7,13.7,22.4%,11.0
18,Zach Charbonnet (SEA),15.0,47.0,3.1,11.0,0.0,0.0,6.0,6.0,22.0,3.7,0.0,0.0,1.0,12.9,12.9,64.6%,11.0
19,Darrell Henderson Jr. (LAR),6.0,1.0,0.2,4.0,0.0,1.0,4.0,7.0,28.0,7.0,0.0,0.0,1.0,12.9,12.9,38.3%,11.0
20,Salvon Ahmed (MIA),3.0,6.0,2.0,3.0,0.0,0.0,3.0,3.0,25.0,8.3,1.0,0.0,1.0,12.1,12.1,2.0%,11.0
21,Jerome Ford (CLE),12.0,31.0,2.6,13.0,0.0,1.0,2.0,5.0,8.0,4.0,0.0,0.0,1.0,11.9,11.9,87.4%,11.0
22,Raheem Mostert (MIA),22.0,86.0,3.9,10.0,0.0,0.0,1.0,2.0,7.0,7.0,0.0,0.0,1.0,10.3,10.3,97.7%,11.0
23,AJ Dillon (GB),14.0,29.0,2.1,6.0,0.0,0.0,4.0,4.0,32.0,8.0,0.0,0.0,1.0,10.1,10.1,65.8%,11.0
24,Isiah Pacheco (KC),19.0,89.0,4.7,24.0,1.0,0.0,1.0,1.0,2.0,2.0,0.0,0.0,1.0,10.1,10.1,96.2%,11.0
25,Travis Etienne Jr. (JAC),14.0,52.0,3.7,11.0,0.0,0.0,3.0,3.0,7.0,2.3,0.0,0.0,1.0,8.9,8.9,99.9%,11.0
26,Chuba Hubbard (CAR),10.0,57.0,5.7,14.0,0.0,0.0,2.0,2.0,8.0,4.0,0.0,0.0,1.0,8.5,8.5,55.5%,11.0
27,James Conner (ARI),14.0,62.0,4.4,14.0,0.0,0.0,2.0,3.0,1.0,0.5,0.0,0.0,1.0,8.3,8.3,91.9%,11.0
28,D'Onta Foreman (CHI),6.0,14.0,2.3,13.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7.4,7.4,50.2%,11.0
29,Royce Freeman (LAR),17.0,73.0,4.3,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7.3,7.3,16.6%,11.0
30,Javonte Williams (DEN),11.0,37.0,3.4,15.0,0.0,0.0,2.0,2.0,16.0,8.0,0.0,0.0,1.0,7.3,7.3,91.3%,11.0
31,Alexander Mattison (MIN),18.0,81.0,4.5,15.0,0.0,0.0,1.0,2.0,-1.0,-1.0,0.0,1.0,1.0,7.0,7.0,89.6%,11.0
32,Austin Ekeler (LAC),10.0,64.0,6.4,37.0,2.0,0.0,2.0,3.0,6.0,3.0,0.0,1.0,1.0,7.0,7.0,100.0%,11.0
33,Kareem Hunt (CLE),12.0,36.0,3.0,16.0,0.0,0.0,3.0,3.0,1.0,0.3,0.0,0.0,1.0,6.7,6.7,65.9%,11.0
34,Jaleel McLaughlin (DEN),1.0,1.0,1.0,1.0,0.0,0.0,5.0,5.0,14.0,2.8,0.0,0.0,1.0,6.5,6.5,17.6%,11.0
35,D'Ernest Johnson (JAC),7.0,20.0,2.9,9.0,0.0,0.0,1.0,1.0,34.0,34.0,0.0,0.0,1.0,6.4,6.4,0.6%,11.0
36,Miles Sanders (CAR),11.0,50.0,4.5,15.0,0.0,0.0,1.0,1.0,2.0,2.0,0.0,0.0,1.0,6.2,6.2,55.3%,11.0
37,Khalil Herbert (CHI),16.0,35.0,2.2,9.0,0.0,0.0,2.0,3.0,6.0,3.0,0.0,0.0,1.0,6.1,6.1,70.5%,11.0
38,Josh Jacobs (LV),14.0,39.0,2.8,9.0,0.0,0.0,1.0,1.0,12.0,12.0,0.0,0.0,1.0,6.1,6.1,99.8%,11.0
39,Derrick Henry (TEN),10.0,38.0,3.8,16.0,0.0,0.0,1.0,2.0,6.0,6.0,0.0,0.0,1.0,5.4,5.4,99.9%,11.0
40,Keaton Mitchell (BAL),8.0,33.0,4.1,21.0,1.0,0.0,1.0,1.0,8.0,8.0,0.0,0.0,1.0,5.1,5.1,46.9%,11.0
41,Najee Harris (PIT),12.0,35.0,2.9,17.0,0.0,0.0,1.0,2.0,1.0,1.0,0.0,0.0,1.0,4.6,4.6,93.0%,11.0
42,Tyjae Spears (TEN),4.0,14.0,3.5,5.0,0.0,0.0,2.0,2.0,12.0,6.0,0.0,0.0,1.0,4.6,4.6,36.1%,11.0
43,Alec Ingold (MIA),0.0,0.0,0.0,0.0,0.0,0.0,3.0,4.0,16.0,5.3,0.0,0.0,1.0,4.6,4.6,0.1%,11.0
44,Rico Dowdle (DAL),8.0,23.0,2.9,11.0,0.0,0.0,2.0,2.0,-3.0,-1.5,0.0,0.0,1.0,4.0,4.0,10.7%,11.0
45,Chris Rodriguez Jr. (WAS),6.0,43.0,7.2,16.0,0.0,0.0,1.0,1.0,5.0,5.0,0.0,1.0,1.0,3.8,3.8,0.8%,11.0
46,Jerick McKinnon (KC),1.0,7.0,7.0,7.0,0.0,0.0,2.0,3.0,8.0,4.0,0.0,0.0,1.0,3.5,3.5,29.1%,11.0
47,Latavius Murray (BUF),10.0,35.0,3.5,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.5,3.5,19.8%,11.0
48,Tony Jones Jr. (NO),1.0,10.0,10.0,10.0,0.0,0.0,1.0,1.0,11.0,11.0,0.0,0.0,1.0,3.1,3.1,0.3%,11.0
49,Emanuel Wilson (GB),3.0,12.0,4.0,5.0,0.0,0.0,1.0,2.0,9.0,9.0,0.0,0.0,1.0,3.1,3.1,0.1%,11.0
50,Roschon Johnson (CHI),6.0,30.0,5.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,3.0,21.6%,11.0
51,Chase Edmonds (TB),4.0,8.0,2.0,3.0,0.0,0.0,1.0,1.0,11.0,11.0,0.0,0.0,1.0,2.9,2.9,0.9%,11.0
52,Aaron Jones (GB),4.0,14.0,3.5,9.0,0.0,0.0,1.0,2.0,3.0,3.0,0.0,0.0,1.0,2.7,2.7,94.7%,11.0
53,Israel Abanikanda (NYJ),1.0,11.0,11.0,11.0,0.0,0.0,1.0,2.0,5.0,5.0,0.0,0.0,1.0,2.6,2.6,0.3%,11.0
54,Kenneth Walker III (SEA),4.0,18.0,4.5,6.0,0.0,0.0,1.0,1.0,-2.0,-2.0,0.0,0.0,1.0,2.6,2.6,98.0%,11.0
55,DeeJay Dallas (SEA),1.0,4.0,4.0,4.0,0.0,0.0,1.0,1.0,10.0,10.0,0.0,0.0,1.0,2.4,2.4,0.5%,11.0
56,Elijah Mitchell (SF),4.0,24.0,6.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.4,2.4,17.1%,11.0
57,Derrick Gore (WAS),2.0,23.0,11.5,23.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.3,2.3,0.0%,11.0
58,Tank Bigsby (JAC),9.0,21.0,2.3,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.1,2.1,6.4%,11.0
59,Trayveon Williams (CIN),2.0,20.0,10.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,0.7%,11.0
60,Clyde Edwards-Helaire (KC),2.0,20.0,10.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,3.8%,11.0
61,Justice Hill (BAL),1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,6.0,6.0,0.0,0.0,1.0,1.7,1.7,18.1%,11.0
62,Mike Boone (HOU),1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,5.0,5.0,0.0,0.0,1.0,1.5,1.5,1.2%,11.0
63,De'Von Achane (MIA),1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,4.0,4.0,0.0,0.0,1.0,1.5,1.5,92.6%,11.0
64,Kenneth Gainwell (PHI),1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,4.0,4.0,0.0,0.0,1.0,1.5,1.5,20.8%,11.0
65,Pierre Strong Jr. (CLE),1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,4.0,4.0,0.0,0.0,1.0,1.5,1.5,0.9%,11.0
66,Ameer Abdullah (LV),0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.0,4.0,0.0,0.0,1.0,1.4,1.4,0.5%,11.0
67,Joshua Kelley (LAC),6.0,13.0,2.2,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.3,1.3,13.4%,11.0
68,Dalvin Cook (NYJ),2.0,13.0,6.5,10.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.3,1.3,26.7%,11.0
69,Boston Scott (PHI),2.0,8.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.8,0.8,0.2%,11.0
70,Austin Walter (LV),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0%,11.0
71,Khari Blasingame (CHI),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0%,11.0
72,Andrew Beck (HOU),1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0%,11.0
73,Jakob Johnson (LV),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0%,11.0
74,Ke'Shawn Vaughn (TB),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3%,11.0
75,Trey Sermon (IND),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1%,11.0
76,Darrynton Evans (MIA),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2%,11.0
77,Anthony McFarland Jr. (PIT),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.1%,11.0
78,Eno Benjamin (NO),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0%,11.0
79,La'Mical Perine (KC),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0%,11.0
80,Cam Akers (MIN),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.5%,11.0
81,Zack Moss (IND),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.4%,11.0
82,J.K. Dobbins (BAL),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.7%,11.0
83,Jonathan Taylor (IND),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98.5%,11.0
84,J.J. Taylor (HOU),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0%,11.0
85,Patrick Laird (TB),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0%,11.0
86,Damien Harris (BUF),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.9%,11.0
87,Travis Homer (CHI),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1%,11.0
88,Mike Weber (NYG),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0%,11.0
89,Qadree Ollison (PIT),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0%,11.0
90,Raheem Blackshear (CAR),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.4%,11.0
91,Deon Jackson (NYG),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3%,11.0
