RANK,PLAYER,ATT,YDS,Y/A,LG,20+,TD,REC,TGT,YDS,Y/R,TD,FL,G,FPTS,FPTS/G,ROST,WEEK
1,Christian McCaffrey (SF),20.0,106.0,5.3,18.0,0.0,3.0,7.0,8.0,71.0,10.1,1.0,0.0,1.0,48.7,48.7,100.0%,4.0
2,David Montgomery (DET),32.0,121.0,3.8,16.0,0.0,3.0,2.0,2.0,20.0,10.0,0.0,0.0,1.0,34.1,34.1,96.0%,4.0
3,Josh Jacobs (LV),17.0,58.0,3.4,9.0,0.0,1.0,8.0,11.0,81.0,10.1,0.0,0.0,1.0,27.9,27.9,99.8%,4.0
4,Kyren Williams (LAR),25.0,103.0,4.1,20.0,1.0,2.0,3.0,3.0,24.0,8.0,0.0,0.0,1.0,27.7,27.7,88.9%,4.0
5,De'Von Achane (MIA),8.0,101.0,12.6,55.0,4.0,2.0,3.0,5.0,19.0,6.3,0.0,0.0,1.0,27.0,27.0,92.6%,4.0
6,Isiah Pacheco (KC),20.0,115.0,5.8,48.0,3.0,1.0,3.0,3.0,43.0,14.3,0.0,0.0,1.0,24.8,24.8,96.2%,4.0
7,Derrick Henry (TEN),22.0,122.0,5.5,29.0,1.0,1.0,1.0,1.0,11.0,11.0,0.0,0.0,1.0,24.4,24.4,99.9%,4.0
8,Khalil Herbert (CHI),18.0,103.0,5.7,24.0,2.0,0.0,4.0,5.0,19.0,4.8,1.0,0.0,1.0,22.2,22.2,70.5%,4.0
9,Alvin Kamara (NO),11.0,51.0,4.6,13.0,0.0,0.0,13.0,14.0,33.0,2.5,0.0,0.0,1.0,21.4,21.4,98.6%,4.0
10,Jaleel McLaughlin (DEN),7.0,72.0,10.3,31.0,2.0,0.0,3.0,3.0,32.0,10.7,1.0,0.0,1.0,19.4,19.4,17.6%,4.0
11,Bijan Robinson (ATL),14.0,105.0,7.5,38.0,3.0,0.0,5.0,5.0,32.0,6.4,0.0,0.0,1.0,18.7,18.7,99.7%,4.0
12,D'Andre Swift (PHI),14.0,56.0,4.0,8.0,0.0,1.0,4.0,4.0,23.0,5.8,0.0,0.0,1.0,17.9,17.9,97.6%,4.0
13,James Cook (BUF),12.0,29.0,2.4,8.0,0.0,1.0,1.0,1.0,48.0,48.0,0.0,0.0,1.0,14.7,14.7,94.7%,4.0
14,Kenneth Walker III (SEA),17.0,79.0,4.6,31.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,13.9,13.9,98.0%,4.0
15,Brian Robinson Jr. (WAS),14.0,45.0,3.2,15.0,0.0,1.0,2.0,2.0,6.0,3.0,0.0,0.0,1.0,13.1,13.1,91.1%,4.0
16,Matt Breida (NYG),14.0,30.0,2.1,5.0,0.0,0.0,5.0,5.0,48.0,9.6,0.0,0.0,1.0,12.8,12.8,3.1%,4.0
17,Dameon Pierce (HOU),24.0,81.0,3.4,13.0,0.0,0.0,1.0,2.0,27.0,27.0,0.0,0.0,1.0,11.8,11.8,69.9%,4.0
18,Jaylen Warren (PIT),8.0,29.0,3.6,18.0,0.0,0.0,6.0,6.0,26.0,4.3,0.0,0.0,1.0,11.5,11.5,80.3%,4.0
19,Najee Harris (PIT),14.0,71.0,5.1,23.0,1.0,0.0,1.0,2.0,32.0,32.0,0.0,0.0,1.0,11.3,11.3,93.0%,4.0
20,Alexander Mattison (MIN),17.0,95.0,5.6,17.0,0.0,0.0,1.0,1.0,3.0,3.0,0.0,0.0,1.0,10.8,10.8,89.6%,4.0
21,Rachaad White (TB),15.0,56.0,3.7,11.0,0.0,0.0,3.0,3.0,22.0,7.3,0.0,0.0,1.0,10.8,10.8,95.1%,4.0
22,Travis Etienne Jr. (JAC),20.0,55.0,2.8,7.0,0.0,0.0,3.0,3.0,17.0,5.7,0.0,0.0,1.0,10.2,10.2,99.9%,4.0
23,Breece Hall (NYJ),6.0,56.0,9.3,43.0,3.0,0.0,3.0,4.0,13.0,4.3,0.0,0.0,1.0,9.9,9.9,98.1%,4.0
24,Jerome Ford (CLE),9.0,26.0,2.9,10.0,0.0,0.0,5.0,6.0,19.0,3.8,0.0,0.0,1.0,9.5,9.5,87.4%,4.0
25,Jahmyr Gibbs (DET),8.0,40.0,5.0,9.0,0.0,0.0,4.0,5.0,11.0,2.8,0.0,0.0,1.0,9.1,9.1,98.8%,4.0
26,Tony Pollard (DAL),11.0,47.0,4.3,16.0,0.0,0.0,3.0,3.0,13.0,4.3,0.0,0.0,1.0,9.0,9.0,99.7%,4.0
27,Zack Moss (IND),18.0,70.0,3.9,20.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,9.0,9.0,56.4%,4.0
28,Tyjae Spears (TEN),5.0,40.0,8.0,22.0,1.0,0.0,3.0,4.0,18.0,6.0,0.0,0.0,1.0,8.8,8.8,36.1%,4.0
29,Devin Singletary (HOU),7.0,25.0,3.6,9.0,0.0,0.0,1.0,1.0,11.0,11.0,0.0,0.0,1.0,8.8,8.8,78.0%,4.0
30,Joe Mixon (CIN),14.0,67.0,4.8,13.0,0.0,0.0,1.0,1.0,9.0,9.0,0.0,0.0,1.0,8.6,8.6,98.7%,4.0
31,Ronnie Rivers (LAR),9.0,47.0,5.2,9.0,0.0,0.0,2.0,2.0,10.0,5.0,0.0,0.0,1.0,7.7,7.7,0.3%,4.0
32,Latavius Murray (BUF),4.0,32.0,8.0,29.0,1.0,0.0,2.0,2.0,24.0,12.0,0.0,0.0,1.0,7.6,7.6,19.8%,4.0
33,Chuba Hubbard (CAR),14.0,41.0,2.9,7.0,0.0,0.0,2.0,2.0,12.0,6.0,0.0,0.0,1.0,7.3,7.3,55.5%,4.0
34,Cam Akers (MIN),5.0,40.0,8.0,10.0,0.0,0.0,2.0,2.0,11.0,5.5,0.0,0.0,1.0,7.1,7.1,24.5%,4.0
35,Gus Edwards (BAL),15.0,48.0,3.2,16.0,0.0,0.0,2.0,3.0,1.0,0.5,0.0,0.0,1.0,6.9,6.9,85.8%,4.0
36,James Conner (ARI),11.0,52.0,4.7,11.0,0.0,0.0,1.0,2.0,4.0,4.0,0.0,0.0,1.0,6.6,6.6,91.9%,4.0
37,Joshua Kelley (LAC),17.0,65.0,3.8,22.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.5,6.5,13.4%,4.0
38,Hunter Luepke (DAL),2.0,4.0,2.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.4,6.4,0.0%,4.0
39,Miles Sanders (CAR),13.0,19.0,1.5,6.0,0.0,0.0,3.0,3.0,13.0,4.3,0.0,0.0,1.0,6.2,6.2,55.3%,4.0
40,Kenneth Gainwell (PHI),4.0,14.0,3.5,13.0,0.0,0.0,2.0,2.0,7.0,3.5,0.0,0.0,1.0,6.1,6.1,20.8%,4.0
41,Rhamondre Stevenson (NE),14.0,30.0,2.1,8.0,0.0,0.0,2.0,3.0,10.0,5.0,0.0,0.0,1.0,6.0,6.0,95.1%,4.0
42,Samaje Perine (DEN),6.0,12.0,2.0,5.0,0.0,0.0,2.0,2.0,23.0,11.5,0.0,0.0,1.0,5.5,5.5,22.4%,4.0
43,Raheem Mostert (MIA),7.0,9.0,1.3,6.0,0.0,0.0,3.0,5.0,36.0,12.0,0.0,1.0,1.0,5.5,5.5,97.7%,4.0
44,Melvin Gordon III (BAL),3.0,21.0,7.0,22.0,1.0,0.0,1.0,1.0,23.0,23.0,0.0,0.0,1.0,5.4,5.4,0.1%,4.0
45,Emari Demercado (ARI),1.0,3.0,3.0,3.0,0.0,0.0,3.0,4.0,21.0,7.0,0.0,0.0,1.0,5.4,5.4,9.6%,4.0
46,Zach Charbonnet (SEA),5.0,31.0,6.2,15.0,0.0,0.0,1.0,3.0,9.0,9.0,0.0,0.0,1.0,5.0,5.0,64.6%,4.0
47,Pierre Strong Jr. (CLE),5.0,49.0,9.8,40.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.9,4.9,0.9%,4.0
48,Isaiah Spiller (LAC),5.0,12.0,2.4,4.0,0.0,0.0,2.0,2.0,15.0,7.5,0.0,0.0,1.0,4.7,4.7,0.3%,4.0
