RANK,PLAYER,ATT,YDS,Y/A,LG,20+,TD,REC,TGT,YDS,Y/R,TD,FL,G,FPTS,FPTS/G,ROST,WEEK
1,Rachaad White (TB),20.0,73.0,3.7,16.0,0.0,2.0,4.0,4.0,46.0,11.5,0.0,0.0,1.0,27.9,27.9,95.1%,9.0
2,Rhamondre Stevenson (NE),9.0,87.0,9.7,64.0,4.0,1.0,4.0,6.0,42.0,10.5,0.0,0.0,1.0,22.9,22.9,95.1%,9.0
3,Josh Jacobs (LV),26.0,98.0,3.8,15.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,21.8,21.8,99.8%,9.0
4,Austin Ekeler (LAC),14.0,47.0,3.4,20.0,1.0,2.0,2.0,7.0,23.0,11.5,0.0,0.0,1.0,21.0,21.0,100.0%,9.0
5,Keaton Mitchell (BAL),9.0,138.0,15.3,60.0,7.0,1.0,1.0,1.0,-4.0,-4.0,0.0,0.0,1.0,20.4,20.4,46.9%,9.0
6,Derrick Henry (TEN),17.0,75.0,4.4,15.0,0.0,1.0,3.0,4.0,27.0,9.0,0.0,0.0,1.0,19.2,19.2,99.9%,9.0
7,Jonathan Taylor (IND),18.0,47.0,2.6,13.0,0.0,0.0,5.0,5.0,22.0,4.4,1.0,0.0,1.0,17.9,17.9,98.5%,9.0
8,Aaron Jones (GB),20.0,73.0,3.7,9.0,0.0,1.0,4.0,6.0,26.0,6.5,0.0,1.0,1.0,17.9,17.9,94.7%,9.0
9,Joe Mixon (CIN),14.0,37.0,2.6,12.0,0.0,1.0,5.0,6.0,31.0,6.2,0.0,0.0,1.0,17.8,17.8,98.7%,9.0
10,Alexander Mattison (MIN),16.0,44.0,2.8,8.0,0.0,0.0,2.0,2.0,49.0,24.5,1.0,0.0,1.0,17.3,17.3,89.6%,9.0
11,Gus Edwards (BAL),5.0,52.0,10.4,42.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,17.2,17.2,85.8%,9.0
12,Najee Harris (PIT),16.0,69.0,4.3,25.0,1.0,1.0,2.0,4.0,7.0,3.5,0.0,0.0,1.0,15.6,15.6,93.0%,9.0
13,Raheem Mostert (MIA),12.0,85.0,7.1,25.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,14.5,14.5,97.7%,9.0
14,Jaylen Warren (PIT),11.0,88.0,8.0,22.0,1.0,0.0,3.0,3.0,25.0,8.3,0.0,0.0,1.0,14.3,14.3,80.3%,9.0
15,Saquon Barkley (NYG),16.0,90.0,5.6,26.0,1.0,0.0,3.0,4.0,23.0,7.7,0.0,0.0,1.0,14.3,14.3,100.0%,9.0
16,Jerome Ford (CLE),20.0,44.0,2.2,9.0,0.0,0.0,5.0,7.0,33.0,6.6,0.0,0.0,1.0,12.7,12.7,87.4%,9.0
17,Antonio Gibson (WAS),6.0,34.0,5.7,12.0,0.0,0.0,5.0,5.0,42.0,8.4,0.0,0.0,1.0,12.6,12.6,47.3%,9.0
18,Brian Robinson Jr. (WAS),18.0,63.0,3.5,9.0,0.0,1.0,1.0,2.0,4.0,4.0,0.0,1.0,1.0,11.7,11.7,91.1%,9.0
