RANK,PLAYER,ATT,YDS,Y/A,LG,20+,TD,REC,TGT,YDS,Y/R,TD,FL,G,FPTS,FPTS/G,ROST,WEEK
1,Brian Robinson Jr. (WAS),8.0,38.0,4.8,15.0,0.0,0.0,6.0,6.0,119.0,19.8,1.0,0.0,1.0,27.7,27.7,91.1%,10.0
2,Jahmyr Gibbs (DET),14.0,77.0,5.5,35.0,2.0,2.0,3.0,5.0,35.0,11.7,0.0,0.0,1.0,26.2,26.2,98.8%,10.0
3,Devin Singletary (HOU),30.0,150.0,5.0,22.0,1.0,1.0,1.0,2.0,11.0,11.0,0.0,0.0,1.0,23.1,23.1,78.0%,10.0
4,Austin Ekeler (LAC),19.0,67.0,3.5,17.0,0.0,1.0,4.0,7.0,48.0,12.0,0.0,0.0,1.0,21.5,21.5,100.0%,10.0
5,Javonte Williams (DEN),21.0,79.0,3.8,11.0,0.0,0.0,4.0,4.0,31.0,7.8,1.0,0.0,1.0,21.0,21.0,91.3%,10.0
6,Christian McCaffrey (SF),16.0,95.0,5.9,19.0,0.0,0.0,6.0,10.0,47.0,7.8,0.0,0.0,1.0,20.2,20.2,100.0%,10.0
7,Kenneth Walker III (SEA),19.0,63.0,3.3,13.0,0.0,0.0,1.0,2.0,64.0,64.0,1.0,0.0,1.0,19.7,19.7,98.0%,10.0
8,Jaylen Warren (PIT),15.0,101.0,6.7,20.0,1.0,1.0,2.0,4.0,9.0,4.5,0.0,0.0,1.0,19.0,19.0,80.3%,10.0
9,Najee Harris (PIT),16.0,82.0,5.1,24.0,1.0,1.0,3.0,4.0,14.0,4.7,0.0,0.0,1.0,18.6,18.6,93.0%,10.0
10,Alvin Kamara (NO),9.0,42.0,4.7,9.0,0.0,0.0,7.0,7.0,33.0,4.7,0.0,0.0,1.0,18.5,18.5,98.6%,10.0
11,Rachaad White (TB),20.0,51.0,2.6,11.0,0.0,0.0,2.0,3.0,47.0,23.5,1.0,0.0,1.0,17.8,17.8,95.1%,10.0
12,Bijan Robinson (ATL),22.0,95.0,4.3,17.0,0.0,1.0,1.0,2.0,11.0,11.0,0.0,0.0,1.0,17.6,17.6,99.7%,10.0
13,David Montgomery (DET),12.0,116.0,9.7,75.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,17.6,17.6,96.0%,10.0
14,D'Onta Foreman (CHI),21.0,80.0,3.8,11.0,0.0,1.0,2.0,2.0,12.0,6.0,0.0,0.0,1.0,17.2,17.2,50.2%,10.0
15,Antonio Gibson (WAS),4.0,13.0,3.3,6.0,0.0,0.0,5.0,6.0,42.0,8.4,1.0,0.0,1.0,16.5,16.5,47.3%,10.0
16,Latavius Murray (BUF),9.0,68.0,7.6,21.0,1.0,1.0,2.0,3.0,1.0,0.5,0.0,0.0,1.0,14.9,14.9,19.8%,10.0
17,Jonathan Taylor (IND),23.0,69.0,3.0,10.0,0.0,1.0,1.0,1.0,6.0,6.0,0.0,0.0,1.0,14.5,14.5,98.5%,10.0
18,Rico Dowdle (DAL),12.0,79.0,6.6,21.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,13.9,13.9,10.7%,10.0
19,Keaton Mitchell (BAL),3.0,34.0,11.3,39.0,2.0,1.0,1.0,2.0,32.0,32.0,0.0,0.0,1.0,13.6,13.6,46.9%,10.0
20,Rhamondre Stevenson (NE),20.0,88.0,4.4,10.0,0.0,0.0,3.0,5.0,14.0,4.7,0.0,0.0,1.0,13.2,13.2,95.1%,10.0
21,Josh Jacobs (LV),27.0,116.0,4.3,40.0,3.0,0.0,2.0,2.0,11.0,5.5,0.0,1.0,1.0,12.7,12.7,99.8%,10.0
22,Joe Mixon (CIN),11.0,46.0,4.2,15.0,0.0,1.0,2.0,3.0,-1.0,-0.5,0.0,0.0,1.0,12.5,12.5,98.7%,10.0
23,James Cook (BUF),12.0,109.0,9.1,42.0,3.0,0.0,2.0,2.0,11.0,5.5,0.0,1.0,1.0,12.0,12.0,94.7%,10.0
24,Jerome Ford (CLE),17.0,107.0,6.3,28.0,1.0,0.0,1.0,1.0,2.0,2.0,0.0,0.0,1.0,11.9,11.9,87.4%,10.0
25,Ezekiel Elliott (NE),13.0,54.0,4.2,9.0,0.0,0.0,2.0,2.0,34.0,17.0,0.0,0.0,1.0,10.8,10.8,36.9%,10.0
26,Kyle Juszczyk (SF),0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,26.0,13.0,1.0,0.0,1.0,10.6,10.6,0.3%,10.0
27,Ty Chandler (MIN),15.0,45.0,3.0,13.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,10.5,10.5,46.9%,10.0
28,Breece Hall (NYJ),13.0,28.0,2.2,7.0,0.0,0.0,3.0,3.0,47.0,15.7,0.0,0.0,1.0,10.5,10.5,98.1%,10.0
29,Zach Charbonnet (SEA),6.0,44.0,7.3,12.0,0.0,0.0,4.0,5.0,18.0,4.5,0.0,0.0,1.0,10.2,10.2,64.6%,10.0
30,Tyjae Spears (TEN),5.0,18.0,3.6,15.0,0.0,0.0,4.0,5.0,42.0,10.5,0.0,0.0,1.0,10.0,10.0,36.1%,10.0
31,Gus Edwards (BAL),11.0,24.0,2.2,6.0,0.0,1.0,1.0,1.0,4.0,4.0,0.0,0.0,1.0,9.8,9.8,85.8%,10.0
