RANK,PLAYER,ATT,YDS,Y/A,LG,20+,TD,REC,TGT,YDS,Y/R,TD,FL,G,FPTS,FPTS/G,ROST,WEEK
1,Raheem Mostert (MIA),17.0,115.0,6.8,49.0,3.0,2.0,3.0,3.0,17.0,5.7,1.0,0.0,1.0,34.2,34.2,97.7%,6.0
2,Travis Etienne Jr. (JAC),18.0,55.0,3.1,22.0,1.0,2.0,3.0,3.0,28.0,9.3,0.0,0.0,1.0,23.3,23.3,99.9%,6.0
3,Kyren Williams (LAR),20.0,158.0,7.9,31.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,21.8,21.8,88.9%,6.0
4,Breece Hall (NYJ),12.0,39.0,3.3,9.0,0.0,1.0,5.0,5.0,54.0,10.8,0.0,0.0,1.0,20.3,20.3,98.1%,6.0
5,Derrick Henry (TEN),12.0,97.0,8.1,63.0,4.0,1.0,2.0,2.0,16.0,8.0,0.0,0.0,1.0,19.3,19.3,99.9%,6.0
6,Rhamondre Stevenson (NE),10.0,46.0,4.6,15.0,0.0,1.0,5.0,6.0,24.0,4.8,0.0,0.0,1.0,18.0,18.0,95.1%,6.0
7,Zack Moss (IND),7.0,21.0,3.0,9.0,0.0,1.0,6.0,7.0,38.0,6.3,0.0,0.0,1.0,17.9,17.9,56.4%,6.0
8,Kenneth Walker III (SEA),19.0,62.0,3.3,21.0,1.0,1.0,3.0,3.0,27.0,9.0,0.0,0.0,1.0,17.9,17.9,98.0%,6.0
9,D'Andre Swift (PHI),10.0,18.0,1.8,9.0,0.0,0.0,8.0,10.0,40.0,5.0,1.0,1.0,1.0,17.8,17.8,97.6%,6.0
10,Alvin Kamara (NO),19.0,68.0,3.6,13.0,0.0,0.0,7.0,8.0,36.0,5.1,0.0,0.0,1.0,17.4,17.4,98.6%,6.0
11,Tony Pollard (DAL),15.0,30.0,2.0,7.0,0.0,0.0,6.0,7.0,80.0,13.3,0.0,0.0,1.0,17.0,17.0,99.7%,6.0
12,Kareem Hunt (CLE),12.0,47.0,3.9,16.0,0.0,1.0,3.0,3.0,24.0,8.0,0.0,0.0,1.0,16.1,16.1,65.9%,6.0
13,Chuba Hubbard (CAR),19.0,88.0,4.6,19.0,0.0,1.0,1.0,1.0,2.0,2.0,0.0,0.0,1.0,16.0,16.0,55.5%,6.0
14,Isiah Pacheco (KC),16.0,62.0,3.9,15.0,0.0,0.0,6.0,6.0,36.0,6.0,0.0,0.0,1.0,15.8,15.8,96.2%,6.0
15,Christian McCaffrey (SF),11.0,43.0,3.9,27.0,1.0,0.0,3.0,3.0,9.0,3.0,1.0,0.0,1.0,14.2,14.2,100.0%,6.0
16,Saquon Barkley (NYG),24.0,93.0,3.9,34.0,2.0,0.0,4.0,5.0,5.0,1.3,0.0,0.0,1.0,13.8,13.8,100.0%,6.0
17,Brian Robinson Jr. (WAS),10.0,31.0,3.1,9.0,0.0,0.0,2.0,2.0,25.0,12.5,1.0,0.0,1.0,13.6,13.6,91.1%,6.0
18,Bijan Robinson (ATL),13.0,37.0,2.8,9.0,0.0,0.0,5.0,8.0,43.0,8.6,0.0,0.0,1.0,13.0,13.0,99.7%,6.0
19,Salvon Ahmed (MIA),6.0,23.0,3.8,9.0,0.0,1.0,3.0,5.0,11.0,3.7,0.0,0.0,1.0,12.4,12.4,2.0%,6.0
20,Ezekiel Elliott (NE),7.0,34.0,4.9,8.0,0.0,1.0,1.0,1.0,15.0,15.0,0.0,0.0,1.0,11.9,11.9,36.9%,6.0
21,Jonathan Taylor (IND),8.0,19.0,2.4,5.0,0.0,0.0,5.0,6.0,46.0,9.2,0.0,0.0,1.0,11.5,11.5,98.5%,6.0
