RANK,PLAYER,ATT,YDS,Y/A,LG,20+,TD,REC,TGT,YDS,Y/R,TD,FL,G,FPTS,FPTS/G,ROST,WEEK
1,Brian Robinson Jr. (WAS),18.0,87.0,4.8,27.0,1.0,2.0,2.0,3.0,42.0,21.0,0.0,0.0,1.0,28.9,28.9,91.1%,2.0
2,Kyren Williams (LAR),14.0,52.0,3.7,8.0,0.0,1.0,6.0,10.0,48.0,8.0,1.0,0.0,1.0,28.0,28.0,88.9%,2.0
3,Saquon Barkley (NYG),17.0,63.0,3.7,16.0,0.0,1.0,6.0,7.0,29.0,4.8,1.0,0.0,1.0,27.2,27.2,100.0%,2.0
4,D'Andre Swift (PHI),28.0,175.0,6.3,43.0,3.0,1.0,3.0,3.0,6.0,2.0,0.0,0.0,1.0,27.1,27.1,97.6%,2.0
5,Raheem Mostert (MIA),18.0,121.0,6.7,43.0,3.0,2.0,1.0,1.0,6.0,6.0,0.0,0.0,1.0,25.7,25.7,97.7%,2.0
6,Jerome Ford (CLE),16.0,106.0,6.6,69.0,4.0,0.0,3.0,4.0,25.0,8.3,1.0,0.0,1.0,24.1,24.1,87.4%,2.0
7,Christian McCaffrey (SF),20.0,116.0,5.8,51.0,4.0,1.0,3.0,3.0,19.0,6.3,0.0,0.0,1.0,22.5,22.5,100.0%,2.0
8,Rachaad White (TB),17.0,73.0,4.3,13.0,0.0,1.0,5.0,5.0,30.0,6.0,0.0,0.0,1.0,21.3,21.3,95.1%,2.0
9,Bijan Robinson (ATL),19.0,124.0,6.5,19.0,0.0,0.0,4.0,5.0,48.0,12.0,0.0,0.0,1.0,21.2,21.2,99.7%,2.0
10,Zack Moss (IND),18.0,88.0,4.9,11.0,0.0,1.0,4.0,4.0,19.0,4.8,0.0,0.0,1.0,20.7,20.7,56.4%,2.0
11,James Cook (BUF),17.0,123.0,7.2,36.0,2.0,0.0,4.0,4.0,36.0,9.0,0.0,0.0,1.0,19.9,19.9,94.7%,2.0
12,Tony Pollard (DAL),25.0,72.0,2.9,23.0,1.0,0.0,7.0,8.0,37.0,5.3,0.0,0.0,1.0,19.9,19.9,99.7%,2.0
13,Derrick Henry (TEN),25.0,80.0,3.2,23.0,1.0,1.0,3.0,4.0,15.0,5.0,0.0,0.0,1.0,18.5,18.5,99.9%,2.0
14,Kenneth Walker III (SEA),17.0,43.0,2.5,14.0,0.0,2.0,1.0,2.0,11.0,11.0,0.0,0.0,1.0,18.4,18.4,98.0%,2.0
15,James Conner (ARI),23.0,106.0,4.6,22.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,16.6,16.6,91.9%,2.0
16,Tony Jones Jr. (NO),12.0,34.0,2.8,6.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,15.4,15.4,0.3%,2.0
17,Rhamondre Stevenson (NE),15.0,50.0,3.3,12.0,0.0,1.0,3.0,3.0,10.0,3.3,0.0,0.0,1.0,15.0,15.0,95.1%,2.0
18,Joe Mixon (CIN),13.0,59.0,4.5,14.0,0.0,0.0,4.0,5.0,36.0,9.0,0.0,0.0,1.0,13.5,13.5,98.7%,2.0
19,Jaylen Warren (PIT),6.0,20.0,3.3,8.0,0.0,0.0,4.0,6.0,66.0,16.5,0.0,0.0,1.0,12.6,12.6,80.3%,2.0
20,Jahmyr Gibbs (DET),7.0,17.0,2.4,8.0,0.0,0.0,7.0,9.0,39.0,5.6,0.0,0.0,1.0,12.6,12.6,98.8%,2.0
21,David Montgomery (DET),16.0,67.0,4.2,16.0,0.0,1.0,1.0,1.0,7.0,7.0,0.0,1.0,1.0,12.4,12.4,96.0%,2.0
22,Gus Edwards (BAL),10.0,62.0,6.2,20.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,12.2,12.2,85.8%,2.0
23,Latavius Murray (BUF),6.0,22.0,3.7,8.0,0.0,1.0,2.0,2.0,9.0,4.5,0.0,0.0,1.0,11.1,11.1,19.8%,2.0
24,Chuba Hubbard (CAR),2.0,16.0,8.0,14.0,0.0,0.0,5.0,5.0,34.0,6.8,0.0,0.0,1.0,10.0,10.0,55.5%,2.0
25,Josh Jacobs (LV),9.0,-2.0,-0.2,3.0,0.0,0.0,5.0,6.0,51.0,10.2,0.0,0.0,1.0,9.9,9.9,99.8%,2.0
26,Damien Harris (BUF),7.0,33.0,4.7,11.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,9.3,9.3,7.9%,2.0
27,Justice Hill (BAL),11.0,41.0,3.7,11.0,0.0,0.0,3.0,3.0,12.0,4.0,0.0,0.0,1.0,8.3,8.3,18.1%,2.0
28,Antonio Gibson (WAS),2.0,9.0,4.5,7.0,0.0,0.0,3.0,3.0,44.0,14.7,0.0,0.0,1.0,8.3,8.3,47.3%,2.0
29,Isiah Pacheco (KC),12.0,70.0,5.8,31.0,2.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,8.0,8.0,96.2%,2.0
30,Javonte Williams (DEN),12.0,44.0,3.7,15.0,0.0,0.0,2.0,3.0,14.0,7.0,0.0,0.0,1.0,7.8,7.8,91.3%,2.0
31,Miles Sanders (CAR),14.0,43.0,3.1,13.0,0.0,0.0,3.0,5.0,4.0,1.3,0.0,0.0,1.0,7.7,7.7,55.3%,2.0
