RANK,PLAYER,ATT,YDS,Y/A,LG,20+,TD,REC,TGT,YDS,Y/R,TD,FL,G,FPTS,FPTS/G,ROST,WEEK
1,De'Von Achane (MIA),18.0,203.0,11.3,67.0,8.0,2.0,4.0,4.0,30.0,7.5,2.0,0.0,1.0,51.3,51.3,92.6%,3.0
2,Raheem Mostert (MIA),13.0,82.0,6.3,20.0,1.0,3.0,7.0,7.0,60.0,8.6,1.0,0.0,1.0,45.2,45.2,97.7%,3.0
3,Kenneth Walker III (SEA),18.0,97.0,5.4,36.0,2.0,2.0,3.0,3.0,59.0,19.7,0.0,0.0,1.0,30.6,30.6,98.0%,3.0
4,Christian McCaffrey (SF),18.0,85.0,4.7,12.0,0.0,1.0,5.0,5.0,34.0,6.8,0.0,0.0,1.0,22.9,22.9,100.0%,3.0
5,Zack Moss (IND),30.0,122.0,4.1,24.0,2.0,0.0,2.0,3.0,23.0,11.5,1.0,0.0,1.0,22.5,22.5,56.4%,3.0
6,James Conner (ARI),14.0,98.0,7.0,26.0,2.0,1.0,2.0,2.0,18.0,9.0,0.0,0.0,1.0,19.6,19.6,91.9%,3.0
7,Jerome Ford (CLE),10.0,18.0,1.8,9.0,0.0,1.0,2.0,3.0,33.0,16.5,1.0,0.0,1.0,19.1,19.1,87.4%,3.0
8,Travis Etienne Jr. (JAC),19.0,88.0,4.6,16.0,0.0,0.0,4.0,5.0,50.0,12.5,0.0,0.0,1.0,17.8,17.8,99.9%,3.0
9,Jerick McKinnon (KC),2.0,9.0,4.5,10.0,0.0,0.0,3.0,3.0,19.0,6.3,2.0,0.0,1.0,17.8,17.8,29.1%,3.0
10,Alexander Mattison (MIN),20.0,93.0,4.7,15.0,0.0,0.0,5.0,7.0,32.0,6.4,0.0,0.0,1.0,17.5,17.5,89.6%,3.0
11,Miles Sanders (CAR),9.0,24.0,2.7,15.0,0.0,1.0,5.0,9.0,38.0,7.6,0.0,0.0,1.0,17.2,17.2,55.3%,3.0
12,Isiah Pacheco (KC),15.0,62.0,4.1,18.0,0.0,1.0,2.0,3.0,16.0,8.0,0.0,0.0,1.0,15.8,15.8,96.2%,3.0
13,Tony Pollard (DAL),23.0,122.0,5.3,31.0,2.0,0.0,3.0,3.0,-1.0,-0.3,0.0,0.0,1.0,15.1,15.1,99.7%,3.0
14,Dameon Pierce (HOU),14.0,31.0,2.2,10.0,0.0,1.0,3.0,3.0,28.0,9.3,0.0,0.0,1.0,14.9,14.9,69.9%,3.0
15,D'Andre Swift (PHI),16.0,130.0,8.1,29.0,2.0,0.0,1.0,2.0,8.0,8.0,0.0,0.0,1.0,14.8,14.8,97.6%,3.0
16,Joe Mixon (CIN),19.0,65.0,3.4,14.0,0.0,1.0,1.0,2.0,5.0,5.0,0.0,0.0,1.0,14.0,14.0,98.7%,3.0
17,Rico Dowdle (DAL),4.0,21.0,5.3,10.0,0.0,0.0,3.0,3.0,25.0,8.3,1.0,0.0,1.0,13.6,13.6,10.7%,3.0
18,James Cook (BUF),15.0,98.0,6.5,34.0,2.0,0.0,2.0,3.0,14.0,7.0,0.0,0.0,1.0,13.2,13.2,94.7%,3.0
