RANK,PLAYER,ATT,YDS,Y/A,LG,20+,TD,REC,TGT,YDS,Y/R,TD,FL,G,FPTS,FPTS/G,ROST,WEEK
42,Josh Jacobs (LV),11.0,35.0,3.2,11.0,0.0,0.0,1.0,4.0,6.0,6.0,0.0,0.0,1.0,5.1,5.1,99.8%,7.0
43,Patrick Ricard (BAL),0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,31.0,15.5,0.0,0.0,1.0,5.1,5.1,0.1%,7.0
44,Latavius Murray (BUF),4.0,8.0,2.0,3.0,0.0,0.0,2.0,2.0,20.0,10.0,0.0,0.0,1.0,4.8,4.8,19.8%,7.0
45,Emanuel Wilson (GB),2.0,19.0,9.5,14.0,0.0,0.0,2.0,2.0,8.0,4.0,0.0,0.0,1.0,4.7,4.7,0.1%,7.0
46,Jerick McKinnon (KC),2.0,2.0,1.0,3.0,0.0,0.0,2.0,2.0,24.0,12.0,0.0,0.0,1.0,4.6,4.6,29.1%,7.0
47,Craig Reynolds (DET),3.0,16.0,5.3,12.0,0.0,0.0,1.0,1.0,9.0,9.0,0.0,0.0,1.0,3.5,3.5,2.7%,7.0
48,Chris Rodriguez Jr. (WAS),7.0,31.0,4.4,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.1,3.1,0.8%,7.0
49,Pierre Strong Jr. (CLE),8.0,25.0,3.1,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.5,2.5,0.9%,7.0
50,Ty Chandler (MIN),0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,12.0,12.0,0.0,0.0,1.0,2.2,2.2,46.9%,7.0
51,Matt Breida (NYG),3.0,4.0,1.3,6.0,0.0,0.0,1.0,1.0,5.0,5.0,0.0,0.0,1.0,1.9,1.9,3.1%,7.0
52,Keaton Mitchell (BAL),0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,9.0,9.0,0.0,0.0,1.0,1.9,1.9,46.9%,7.0
53,Jamaal Williams (NO),5.0,14.0,2.8,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.4,1.4,20.6%,7.0
54,Khari Blasingame (CHI),0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.0,4.0,0.0,0.0,1.0,1.4,1.4,0.0%,7.0
55,Jeff Wilson Jr. (MIA),0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.0,4.0,0.0,0.0,1.0,1.4,1.4,16.6%,7.0
