RANK,PLAYER,TACKLE,ASSIST,SACK,PD,INT,FF,FR,DEF TD,G,FPTS,FPTS/G,ROST,WEEK
1,Foyesade Oluokun (JAC),6.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,26.8,26.8,96.8%,10.0
2,Roquan Smith (BAL),14.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,26.3,26.3,96.2%,10.0
3,Zaire Franklin (IND),12.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,24.3,24.3,85.9%,10.0
4,Nate Landman (ATL),7.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,24.3,24.3,10.5%,10.0
5,Robert Spillane (LV),4.0,3.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,21.3,21.3,26.4%,10.0
6,Terrel Bernard (BUF),8.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,19.8,19.8,69.7%,10.0
7,Kaden Elliss (ATL),6.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,19.3,19.3,5.6%,10.0
8,Jamin Davis (WAS),6.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,17.8,17.8,11.2%,10.0
9,T.J. Watt (PIT),7.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,17.8,17.8,70.8%,10.0
10,Demario Davis (NO),6.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,17.8,17.8,12.6%,10.0
11,Bobby Wagner (SEA),6.0,4.0,0.5,2.0,0.0,0.0,0.0,0.0,1.0,17.0,17.0,75.4%,10.0
12,Jeremiah Owusu-Koramoah (CLE),4.0,3.0,0.5,1.0,0.0,0.0,0.0,0.0,1.0,16.8,16.8,7.0%,10.0
13,Harold Landry III (TEN),4.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,16.3,16.3,8.9%,10.0
14,Fred Warner (SF),4.0,3.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,14.8,14.8,85.5%,10.0
15,Alex Singleton (DEN),3.0,8.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,14.5,14.5,49.0%,10.0
16,Elandon Roberts (PIT),6.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,14.5,14.5,21.9%,10.0
17,C.J. Mosley (NYJ),5.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,14.3,14.3,83.3%,10.0
18,Dennis Gardeck (ARI),3.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,14.0,14.0,0.9%,10.0
19,Bobby Okereke (NYG),7.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,13.5,13.5,81.2%,10.0
20,Dre Greenlaw (SF),6.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,13.0,13.0,36.9%,10.0
21,T.J. Edwards (CHI),5.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,12.8,12.8,89.5%,10.0
22,Frankie Luvu (CAR),6.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,12.8,12.8,40.9%,10.0
23,Kyzir White (ARI),6.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,12.8,12.8,17.6%,10.0
24,Logan Wilson (CIN),2.0,3.0,0.5,1.0,0.0,1.0,0.0,0.0,1.0,12.8,12.8,57.6%,10.0
25,Devin Lloyd (JAC),7.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,12.8,12.8,11.3%,10.0
26,Isaiah McDuffie (GB),7.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,12.8,12.8,1.4%,10.0
27,Lavonte David (TB),3.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,12.5,12.5,39.8%,10.0
28,Denzel Perryman (HOU),4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,11.8,11.8,5.5%,10.0
29,Devin White (TB),2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,11.8,11.8,22.1%,10.0
30,Preston Smith (GB),3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,11.8,11.8,4.4%,10.0
31,Jamien Sherwood (NYJ),3.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,11.5,11.5,0.3%,10.0
32,Germaine Pratt (CIN),4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,11.5,11.5,14.2%,10.0
33,Patrick Queen (BAL),6.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,11.3,11.3,44.3%,10.0
34,Alex Anzalone (DET),4.0,5.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,11.3,11.3,25.7%,10.0
35,Deion Jones (CAR),4.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,10.8,10.8,0.3%,10.0
36,Quincy Williams (NYJ),4.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,10.8,10.8,61.4%,10.0
37,Shaquil Barrett (TB),2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,10.3,10.3,5.8%,10.0
38,Jordan Hicks (MIN),3.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,10.0,10.0,26.4%,10.0
39,Micah McFadden (NYG),4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,10.0,10.0,4.6%,10.0
40,Divine Deablo (LV),4.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,9.8,9.8,11.9%,10.0
41,Jahlani Tavai (NE),4.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,9.8,9.8,1.3%,10.0
42,Pete Werner (NO),3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,9.3,9.3,7.4%,10.0
43,Kenneth Murray Jr. (LAC),4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,9.3,9.3,10.4%,10.0
44,Jack Sanborn (CHI),3.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,9.0,9.0,8.4%,10.0
