RANK,PLAYER,TACKLE,ASSIST,SACK,PD,INT,FF,FR,DEF TD,G,FPTS,FPTS/G,ROST,WEEK
1,Khalil Mack (LAC),8.0,2.0,6.0,1.0,0.0,2.0,0.0,0.0,1.0,59.5,59.5,21.4%,4.0
2,Nicholas Morrow (PHI),10.0,1.0,3.0,0.0,0.0,1.0,0.0,0.0,1.0,39.3,39.3,1.6%,4.0
3,Bobby Wagner (SEA),9.0,8.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,32.5,32.5,75.4%,4.0
4,Quincy Williams (NYJ),10.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,25.3,25.3,61.4%,4.0
5,Jordyn Brooks (SEA),4.0,6.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,25.0,25.0,28.9%,4.0
6,Quay Walker (GB),10.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,24.3,24.3,29.6%,4.0
7,Andrew Van Ginkel (MIA),4.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,22.3,22.3,1.2%,4.0
8,Uchenna Nwosu (SEA),4.0,2.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,22.0,22.0,5.3%,4.0
9,Foyesade Oluokun (JAC),8.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,20.3,20.3,96.8%,4.0
10,Bobby Okereke (NYG),6.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,18.5,18.5,81.2%,4.0
11,Leighton Vander Esch (DAL),4.0,3.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,18.3,18.3,2.7%,4.0
12,Patrick Queen (BAL),4.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,18.3,18.3,44.3%,4.0
13,Jahlani Tavai (NE),4.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,18.0,18.0,1.3%,4.0
14,C.J. Mosley (NYJ),4.0,7.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,17.8,17.8,83.3%,4.0
15,David Long Jr. (MIA),7.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,17.8,17.8,4.3%,4.0
16,Matt Milano (BUF),8.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,17.5,17.5,8.3%,4.0
17,Roquan Smith (BAL),6.0,4.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,17.5,17.5,96.2%,4.0
