Rank,Player,FG,FGA,PCT,LG,1-19,20-29,30-39,40-49,50+,XPT,XPA,G,FPTS,FPTS/G,ROST,Team,Week,Year
1,Chase McLaughlin,4,4,100.0,57,0,1,0,1,2,2,2,1,19.0,19.0,3.7%,TB,3,2021
2,Justin Tucker,4,5,80.0,66,0,0,2,0,2,1,1,1,17.0,17.0,99.8%,BAL,3,2021
3,Brandon McManus,4,4,100.0,47,0,1,1,2,0,2,2,1,16.0,16.0,0.1%,FA,3,2021
4,Mason Crosby,3,3,100.0,54,0,0,1,0,2,3,3,1,16.0,16.0,0.1%,FA,3,2021
5,Tyler Bass,3,3,100.0,48,0,2,0,1,0,4,4,1,14.0,14.0,40.1%,BUF,3,2021
6,Greg Joseph,3,3,100.0,43,0,1,1,1,0,3,3,1,13.0,13.0,0.1%,FA,3,2021
7,Daniel Carlson,3,3,100.0,50,0,1,1,0,1,2,3,1,13.0,13.0,9.8%,LV,3,2021
8,Matt Gay,2,2,100.0,48,0,1,0,1,0,4,4,1,11.0,11.0,30.7%,IND,3,2021
9,Jason Sanders,2,3,66.7,50,0,0,0,1,1,2,2,1,11.0,11.0,49.7%,MIA,3,2021
10,Rodrigo Blankenship,3,4,75.0,43,0,2,0,1,0,1,1,1,11.0,11.0,0.1%,FA,3,2021
11,Nick Folk,2,2,100.0,45,0,1,0,1,0,1,1,1,8.0,8.0,2.5%,TEN,3,2021
12,Cairo Santos,2,2,100.0,47,0,1,0,1,0,0,0,1,7.0,7.0,28.4%,CHI,3,2021
13,Jason Myers,1,2,50.0,53,0,0,0,0,1,2,2,1,7.0,7.0,8.8%,SEA,3,2021
14,Matt Prater,1,2,50.0,34,0,0,1,0,0,4,4,1,7.0,7.0,3.7%,ARI,3,2021
15,Evan McPherson,1,1,100.0,43,0,0,0,1,0,3,3,1,7.0,7.0,88.7%,CIN,3,2021
16,Graham Gano,2,2,100.0,31,0,1,1,0,0,0,0,1,6.0,6.0,1.0%,NYG,3,2021
17,Harrison Butker,1,1,100.0,34,0,0,1,0,0,3,3,1,6.0,6.0,98.8%,KC,3,2021
18,Younghoe Koo,1,1,100.0,40,0,0,0,1,0,2,2,1,6.0,6.0,79.8%,ATL,3,2021
19,Ryan Succop,1,2,50.0,26,0,1,0,0,0,3,3,1,6.0,6.0,0.0%,FA,3,2021
20,Zane Gonzalez,1,1,100.0,21,0,1,0,0,0,3,3,1,6.0,6.0,0.1%,FA,3,2021
21,Greg Zuerlein,0,0,0.0,0,0,0,0,0,0,5,6,1,5.0,5.0,52.1%,NYJ,3,2021
22,Randy Bullock,1,1,100.0,32,0,0,1,0,0,2,2,1,5.0,5.0,0.0%,FA,3,2021
23,Joey Slye,1,1,100.0,53,0,0,0,0,1,0,1,1,5.0,5.0,0.2%,NE,3,2021
24,Ryan Santoso,1,1,100.0,35,0,0,1,0,0,2,2,1,5.0,5.0,0.0%,FA,3,2021
25,Aldrick Rosas,0,2,0.0,0,0,0,0,0,0,4,4,1,4.0,4.0,0.0%,FA,3,2021
26,Tristan Vizcaino,1,1,100.0,24,0,1,0,0,0,1,3,1,4.0,4.0,0.0%,FA,3,2021
27,Chris Boswell,1,2,50.0,26,0,1,0,0,0,1,1,1,4.0,4.0,4.4%,PIT,3,2021
28,Robbie Gould,0,0,0.0,0,0,0,0,0,0,4,4,1,4.0,4.0,0.1%,FA,3,2021
29,Jake Elliott,0,0,0.0,0,0,0,0,0,0,3,3,1,3.0,3.0,95.3%,PHI,3,2021
30,Dustin Hopkins,0,0,0.0,0,0,0,0,0,0,3,3,1,3.0,3.0,20.7%,CLE,3,2021
31,Josh Lambo,0,0,0.0,0,0,0,0,0,0,1,3,1,1.0,1.0,0.1%,FA,3,2021
32,Matt Ammendola,0,0,0.0,0,0,0,0,0,0,0,0,1,0.0,0.0,2.0%,FA,3,2021
33,Cameron Nizialek,0,0,0.0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%,FA,3,2021
34,Michael Palardy,0,0,0.0,0,0,0,0,0,0,0,0,1,0.0,0.0,33.3%,FA,3,2021
35,Ty Long,0,0,0.0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.7%,FA,3,2021
