Rank,Player,FG,FGA,PCT,LG,1-19,20-29,30-39,40-49,50+,XPT,XPA,G,FPTS,FPTS/G,ROST,Team,Week,Year
1,Tyler Bass,4,4,100.0,33,0,3,1,0,0,4,4,1,16.0,16.0,40.1%,BUF,4,2021
2,Ryan Succop,4,5,80.0,48,0,2,0,2,0,1,1,1,15.0,15.0,0.0%,FA,4,2021
3,Matt Prater,3,3,100.0,55,0,2,0,0,1,4,4,1,15.0,15.0,3.7%,ARI,4,2021
4,Justin Tucker,3,3,100.0,46,0,1,0,2,0,2,2,1,13.0,13.0,99.8%,BAL,4,2021
5,Randy Bullock,3,4,75.0,46,0,0,1,2,0,1,1,1,12.0,12.0,0.0%,FA,4,2021
6,Jake Elliott,3,3,100.0,31,0,2,1,0,0,3,3,1,12.0,12.0,95.3%,PHI,4,2021
7,Rodrigo Blankenship,2,2,100.0,43,0,0,1,1,0,3,3,1,10.0,10.0,0.1%,FA,4,2021
8,Mason Crosby,2,2,100.0,29,0,2,0,0,0,3,3,1,9.0,9.0,0.1%,FA,4,2021
9,Matt Gay,2,3,66.7,42,0,1,0,1,0,2,2,1,9.0,9.0,30.7%,IND,4,2021
10,Matt Ammendola,2,2,100.0,27,0,2,0,0,0,3,3,1,9.0,9.0,2.0%,FA,4,2021
11,Chase McLaughlin,2,2,100.0,53,0,0,0,1,1,0,0,1,9.0,9.0,3.7%,TB,4,2021
12,Graham Gano,2,3,66.7,48,0,1,0,1,0,1,1,1,8.0,8.0,1.0%,NYG,4,2021
13,Chris Boswell,1,1,100.0,52,0,0,0,0,1,2,2,1,7.0,7.0,4.4%,PIT,4,2021
14,Cairo Santos,1,1,100.0,33,0,0,1,0,0,3,3,1,6.0,6.0,28.4%,CHI,4,2021
15,Harrison Butker,0,0,0.0,0,0,0,0,0,0,6,6,1,6.0,6.0,98.8%,KC,4,2021
16,Greg Zuerlein,1,1,100.0,37,0,0,1,0,0,3,3,1,6.0,6.0,52.1%,NYJ,4,2021
17,Younghoe Koo,1,1,100.0,25,0,1,0,0,0,3,3,1,6.0,6.0,79.8%,ATL,4,2021
18,Evan McPherson,1,2,50.0,35,0,0,1,0,0,3,3,1,6.0,6.0,88.7%,CIN,4,2021
19,Jason Sanders,1,1,100.0,38,0,0,1,0,0,2,2,1,5.0,5.0,49.7%,MIA,4,2021
20,Nick Folk,1,2,50.0,27,0,1,0,0,0,2,2,1,5.0,5.0,2.5%,TEN,4,2021
21,Tristan Vizcaino,0,0,0.0,0,0,0,0,0,0,4,4,1,4.0,4.0,0.0%,FA,4,2021
22,Jason Myers,0,0,0.0,0,0,0,0,0,0,4,4,1,4.0,4.0,8.8%,SEA,4,2021
23,Dustin Hopkins,1,1,100.0,21,0,1,0,0,0,1,3,1,4.0,4.0,20.7%,CLE,4,2021
24,Zane Gonzalez,0,1,0.0,0,0,0,0,0,0,4,4,1,4.0,4.0,0.1%,FA,4,2021
25,Aldrick Rosas,0,1,0.0,0,0,0,0,0,0,3,3,1,3.0,3.0,0.0%,FA,4,2021
26,Matthew Wright,0,0,0.0,0,0,0,0,0,0,3,3,1,3.0,3.0,0.0%,FA,4,2021
27,Daniel Carlson,0,1,0.0,0,0,0,0,0,0,2,2,1,2.0,2.0,9.8%,LV,4,2021
28,Ryan Santoso,0,0,0.0,0,0,0,0,0,0,2,2,1,2.0,2.0,0.0%,FA,4,2021
29,Greg Joseph,0,0,0.0,0,0,0,0,0,0,1,1,1,1.0,1.0,0.1%,FA,4,2021
30,Brandon McManus,0,0,0.0,0,0,0,0,0,0,1,1,1,1.0,1.0,0.1%,FA,4,2021
31,Cameron Nizialek,0,0,0.0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%,FA,4,2021
32,Ka'imi Fairbairn,0,0,0.0,0,0,0,0,0,0,0,0,1,0.0,0.0,89.8%,HOU,4,2021
33,Michael Palardy,0,0,0.0,0,0,0,0,0,0,0,0,1,0.0,0.0,33.3%,FA,4,2021
34,Ty Long,0,0,0.0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.7%,FA,4,2021
