Rank,Player,FG,FGA,PCT,LG,1-19,20-29,30-39,40-49,50+,XPT,XPA,G,FPTS,FPTS/G,ROST,Team,Week,Year
1,Daniel Carlson,5,5,100.0,56,0,2,1,1,1,3,3,1,21.0,21.0,9.8%,LV,12,2021
2,Nick Folk,5,6,83.3,52,0,2,1,1,1,3,3,1,21.0,21.0,2.5%,TEN,12,2021
3,Mason Crosby,3,4,75.0,45,0,2,0,1,0,3,3,1,13.0,13.0,0.1%,FA,12,2021
4,Evan McPherson,2,2,100.0,51,0,0,1,0,1,5,5,1,13.0,13.0,88.7%,CIN,12,2021
5,Justin Tucker,3,3,100.0,52,0,1,0,1,1,1,1,1,13.0,13.0,99.8%,BAL,12,2021
6,Cairo Santos,3,4,75.0,43,0,2,0,1,0,1,1,1,11.0,11.0,28.4%,CHI,12,2021
7,Robbie Gould,2,3,66.7,46,0,1,0,1,0,4,4,1,11.0,11.0,0.1%,FA,12,2021
8,Jason Sanders,2,2,100.0,46,0,0,1,1,0,3,4,1,10.0,10.0,49.7%,MIA,12,2021
9,Matt Gay,2,2,100.0,39,0,0,2,0,0,2,2,1,8.0,8.0,30.7%,IND,12,2021
10,Ryan Succop,1,1,100.0,25,0,1,0,0,0,5,5,1,8.0,8.0,0.0%,FA,12,2021
11,Greg Zuerlein,2,3,66.7,45,0,1,0,1,0,1,2,1,8.0,8.0,52.1%,NYJ,12,2021
12,Michael Badgley,1,1,100.0,45,0,0,0,1,0,4,4,1,8.0,8.0,1.1%,DET,12,2021
13,Tyler Bass,1,1,100.0,34,0,0,1,0,0,4,4,1,7.0,7.0,40.1%,BUF,12,2021
14,Matt Ammendola,2,3,66.7,37,0,0,2,0,0,1,1,1,7.0,7.0,2.0%,FA,12,2021
15,Graham Gano,2,3,66.7,39,0,0,2,0,0,1,1,1,7.0,7.0,1.0%,NYG,12,2021
16,Matthew Wright,2,2,100.0,34,0,1,1,0,0,0,0,1,6.0,6.0,0.0%,FA,12,2021
17,Zane Gonzalez,1,1,100.0,41,0,0,0,1,0,1,1,1,5.0,5.0,0.1%,FA,12,2021
18,Chris Boswell,1,1,100.0,40,0,0,0,1,0,1,1,1,5.0,5.0,4.4%,PIT,12,2021
19,Chase McLaughlin,1,2,50.0,46,0,0,0,1,0,1,1,1,5.0,5.0,3.7%,TB,12,2021
20,Brandon McManus,0,0,0.0,0,0,0,0,0,0,4,4,1,4.0,4.0,0.1%,FA,12,2021
21,Younghoe Koo,0,0,0.0,0,0,0,0,0,0,3,3,1,3.0,3.0,79.8%,ATL,12,2021
22,Joey Slye,1,1,100.0,23,0,1,0,0,0,0,1,1,3.0,3.0,0.2%,NE,12,2021
23,Riley Patterson,0,0,0.0,0,0,0,0,0,0,2,2,1,2.0,2.0,0.1%,FA,12,2021
24,Ka'imi Fairbairn,0,1,0.0,0,0,0,0,0,0,2,2,1,2.0,2.0,89.8%,HOU,12,2021
25,Greg Joseph,0,0,0.0,0,0,0,0,0,0,2,3,1,2.0,2.0,0.1%,FA,12,2021
26,Jason Myers,0,0,0.0,0,0,0,0,0,0,1,1,1,1.0,1.0,8.8%,SEA,12,2021
27,Dustin Hopkins,0,1,0.0,0,0,0,0,0,0,1,1,1,1.0,1.0,20.7%,CLE,12,2021
28,Jake Elliott,0,0,0.0,0,0,0,0,0,0,1,1,1,1.0,1.0,95.3%,PHI,12,2021
29,Randy Bullock,0,1,0.0,0,0,0,0,0,0,1,2,1,1.0,1.0,0.0%,FA,12,2021
30,Michael Palardy,0,0,0.0,0,0,0,0,0,0,0,0,1,0.0,0.0,33.3%,FA,12,2021
31,Ty Long,0,0,0.0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.7%,FA,12,2021
32,Brett Maher,0,0,0.0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%,FA,12,2021
