Rank,Player,FG,FGA,PCT,LG,1-19,20-29,30-39,40-49,50+,XPT,XPA,G,FPTS,FPTS/G,ROST,Team,Week,Year
1,Zane Gonzalez,4,4,100.0,49,0,1,0,3,0,2,2,1,17.0,17.0,0.1%,FA,10,2021
2,Jake Elliott,3,3,100.0,52,0,1,1,0,1,3,3,1,14.0,14.0,95.3%,PHI,10,2021
3,Chris Boswell,3,3,100.0,51,0,2,0,0,1,1,1,1,12.0,12.0,4.4%,PIT,10,2021
4,Harrison Butker,2,3,66.7,40,0,0,1,1,0,5,5,1,12.0,12.0,98.8%,KC,10,2021
5,Joey Slye,3,3,100.0,46,0,2,0,1,0,2,2,1,12.0,12.0,0.2%,NE,10,2021
6,Randy Bullock,3,3,100.0,36,0,1,2,0,0,2,2,1,11.0,11.0,0.0%,FA,10,2021
7,Michael Badgley,3,3,100.0,37,0,2,1,0,0,2,2,1,11.0,11.0,1.1%,DET,10,2021
8,Greg Joseph,2,2,100.0,46,0,0,1,1,0,3,3,1,10.0,10.0,0.1%,FA,10,2021
9,Jason Sanders,3,3,100.0,31,0,2,1,0,0,1,1,1,10.0,10.0,49.7%,MIA,10,2021
10,Robbie Gould,1,1,100.0,50,0,0,0,0,1,4,4,1,9.0,9.0,0.1%,FA,10,2021
11,Tyler Bass,1,1,100.0,29,0,1,0,0,0,6,6,1,9.0,9.0,40.1%,BUF,10,2021
12,Dustin Hopkins,2,2,100.0,46,0,1,0,1,0,2,2,1,9.0,9.0,20.7%,CLE,10,2021
13,Nick Folk,1,1,100.0,38,0,0,1,0,0,6,6,1,9.0,9.0,2.5%,TEN,10,2021
14,Ryan Succop,2,2,100.0,31,0,1,1,0,0,1,2,1,7.0,7.0,0.0%,FA,10,2021
15,Brandon McManus,2,3,66.7,28,0,2,0,0,0,1,1,1,7.0,7.0,0.1%,FA,10,2021
16,Matt Ammendola,1,1,100.0,48,0,0,0,1,0,2,2,1,6.0,6.0,2.0%,FA,10,2021
17,Matt Prater,1,1,100.0,47,0,0,0,1,0,1,1,1,5.0,5.0,3.7%,ARI,10,2021
18,Lirim Hajrullahu,0,0,0.0,0,0,0,0,0,0,5,5,1,5.0,5.0,0.1%,FA,10,2021
19,Mason Crosby,1,2,50.0,27,0,1,0,0,0,2,2,1,5.0,5.0,0.1%,FA,10,2021
20,Justin Tucker,1,2,50.0,46,0,0,0,1,0,1,1,1,5.0,5.0,99.8%,BAL,10,2021
21,Matthew Wright,1,2,50.0,56,0,0,0,0,1,0,1,1,5.0,5.0,0.0%,FA,10,2021
22,Matt Gay,1,1,100.0,37,0,0,1,0,0,1,1,1,4.0,4.0,30.7%,IND,10,2021
23,Ryan Santoso,1,2,50.0,20,0,1,0,0,0,1,2,1,4.0,4.0,0.0%,FA,10,2021
24,Brian Johnson,1,1,100.0,20,0,1,0,0,0,0,2,1,3.0,3.0,0.0%,FA,10,2021
25,Younghoe Koo,1,1,100.0,35,0,0,1,0,0,0,0,1,3.0,3.0,79.8%,ATL,10,2021
26,Daniel Carlson,0,0,0.0,0,0,0,0,0,0,2,2,1,2.0,2.0,9.8%,LV,10,2021
27,Chase McLaughlin,0,0,0.0,0,0,0,0,0,0,1,1,1,1.0,1.0,3.7%,TB,10,2021
28,Michael Palardy,0,0,0.0,0,0,0,0,0,0,0,0,1,0.0,0.0,33.3%,FA,10,2021
29,Jason Myers,0,0,0.0,0,0,0,0,0,0,0,0,1,0.0,0.0,8.8%,SEA,10,2021
30,Ty Long,0,0,0.0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.7%,FA,10,2021
