Rank,Player,FG,FGA,PCT,LG,1-19,20-29,30-39,40-49,50+,XPT,XPA,G,FPTS,FPTS/G,ROST,Team,Week,Year
1,Jake Elliott,4,4,100.0,46,0,0,2,2,0,3,3,1,17.0,17.0,95.3%,PHI,13,2021
2,Matt Gay,3,3,100.0,44,0,0,1,2,0,4,4,1,15.0,15.0,30.7%,IND,13,2021
3,Riley Patterson,3,3,100.0,49,0,0,1,2,0,2,2,1,13.0,13.0,0.1%,FA,13,2021
4,Harrison Butker,3,3,100.0,56,0,1,0,1,1,1,2,1,13.0,13.0,98.8%,KC,13,2021
5,Greg Zuerlein,2,2,100.0,55,0,0,1,0,1,3,3,1,11.0,11.0,52.1%,NYJ,13,2021
6,Daniel Carlson,3,3,100.0,52,0,0,2,0,1,0,0,1,11.0,11.0,9.8%,LV,13,2021
7,Graham Gano,3,4,75.0,51,0,0,2,0,1,0,0,1,11.0,11.0,1.0%,NYG,13,2021
8,Dustin Hopkins,2,2,100.0,43,0,0,0,2,0,3,4,1,11.0,11.0,20.7%,CLE,13,2021
9,Greg Joseph,3,3,100.0,41,0,0,2,1,0,0,0,1,10.0,10.0,0.1%,FA,13,2021
10,Jason Sanders,2,3,66.7,48,0,0,0,2,0,2,2,1,10.0,10.0,49.7%,MIA,13,2021
11,Matt Prater,2,2,100.0,33,0,1,1,0,0,3,3,1,9.0,9.0,3.7%,ARI,13,2021
12,Chris Boswell,2,2,100.0,53,0,0,0,1,1,0,1,1,9.0,9.0,4.4%,PIT,13,2021
13,Nick Folk,2,2,100.0,41,0,0,1,1,0,0,0,1,7.0,7.0,2.5%,TEN,13,2021
14,Justin Tucker,2,2,100.0,35,0,1,1,0,0,1,1,1,7.0,7.0,99.8%,BAL,13,2021
15,Michael Badgley,1,2,50.0,23,0,1,0,0,0,4,4,1,7.0,7.0,1.1%,DET,13,2021
16,Robbie Gould,1,1,100.0,50,0,0,0,0,1,2,3,1,7.0,7.0,0.1%,FA,13,2021
17,Brian Johnson,1,1,100.0,48,0,0,0,1,0,2,2,1,6.0,6.0,0.0%,FA,13,2021
18,Ryan Succop,1,1,100.0,31,0,0,1,0,0,3,4,1,6.0,6.0,0.0%,FA,13,2021
19,Brett Maher,1,2,50.0,42,0,0,0,1,0,2,2,1,6.0,6.0,0.0%,FA,13,2021
20,Evan McPherson,1,1,100.0,48,0,0,0,1,0,1,2,1,5.0,5.0,88.7%,CIN,13,2021
21,Younghoe Koo,1,1,100.0,21,0,1,0,0,0,2,2,1,5.0,5.0,79.8%,ATL,13,2021
22,Jason Myers,0,1,0.0,0,0,0,0,0,0,4,4,1,4.0,4.0,8.8%,SEA,13,2021
23,Brandon McManus,1,1,100.0,42,0,0,0,1,0,0,0,1,4.0,4.0,0.1%,FA,13,2021
24,Tyler Bass,1,2,50.0,35,0,0,1,0,0,1,1,1,4.0,4.0,40.1%,BUF,13,2021
25,Cairo Santos,0,0,0.0,0,0,0,0,0,0,2,2,1,2.0,2.0,28.4%,CHI,13,2021
26,Matthew Wright,0,0,0.0,0,0,0,0,0,0,1,1,1,1.0,1.0,0.0%,FA,13,2021
27,Alex Kessman,0,0,0.0,0,0,0,0,0,0,0,2,1,0.0,0.0,0.0%,FA,13,2021
28,Ka'imi Fairbairn,0,0,0.0,0,0,0,0,0,0,0,0,1,0.0,0.0,89.8%,HOU,13,2021
29,Michael Palardy,0,0,0.0,0,0,0,0,0,0,0,0,1,0.0,0.0,33.3%,FA,13,2021
30,Ty Long,0,0,0.0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.7%,FA,13,2021
